eigenvector_centrality,[9 0]
0,"[0.103, 0.104, 0.104, 0.101, 0.094, 0.092, 0.103, 0.134, 0.11, 0.1]"
1,"[0.103, 0.107, 0.095, 0.101, 0.094, 0.092, 0.102, 0.115, 0.093, 0.102]"
2,"[0.103, 0.093, 0.104, 0.101, 0.094, 0.092, 0.102, 0.089, 0.07, 0.124]"
3,"[0.103, 0.11, 0.155, 0.101, 0.094, 0.092, 0.102, 0.102, 0.093, 0.102]"
4,"[0.103, 0.107, 0.104, 0.101, 0.094, 0.092, 0.102, 0.102, 0.093, 0.101]"
5,"[0.103, 0.117, 0.112, 0.116, 0.093, 0.099, 0.102, 0.102, 0.093, 0.102]"
6,"[0.103, 0.201, 0.173, 0.116, 0.125, 0.095, 0.132, 0.167, 0.161, 0.115]"
7,"[0.328, 0.297, 0.234, 0.222, 0.113, 0.213, 0.181, 0.165, 0.093, 0.217]"
8,"[0.215, 0.302, 0.331, 0.286, 0.277, 0.351, 0.326, 0.339, 0.407, 0.217]"
9,"[0.533, 0.508, 0.33, 0.492, 0.298, 0.402, 0.386, 0.392, 0.237, 0.454]"
10,"[0.363, 0.443, 0.425, 0.353, 0.423, 0.493, 0.484, 0.452, 0.422, 0.309]"
11,"[0.449, 0.347, 0.332, 0.467, 0.242, 0.549, 0.444, 0.382, 0.217, 0.342]"
12,"[0.369, 0.385, 0.408, 0.337, 0.378, 0.48, 0.483, 0.454, 0.387, 0.299]"
13,"[0.454, 0.372, 0.378, 0.469, 0.318, 0.372, 0.398, 0.388, 0.348, 0.382]"
14,"[0.53, 0.362, 0.369, 0.459, 0.394, 0.423, 0.422, 0.417, 0.373, 0.332]"
15,"[0.477, 0.378, 0.403, 0.456, 0.435, 0.292, 0.429, 0.467, 0.443, 0.365]"
16,"[0.484, 0.401, 0.336, 0.458, 0.389, 0.464, 0.45, 0.418, 0.356, 0.415]"
17,"[0.466, 0.395, 0.366, 0.442, 0.404, 0.324, 0.465, 0.439, 0.387, 0.363]"
18,"[0.45, 0.427, 0.368, 0.441, 0.387, 0.493, 0.462, 0.398, 0.349, 0.387]"
19,"[0.434, 0.377, 0.4, 0.458, 0.346, 0.362, 0.451, 0.41, 0.346, 0.384]"
20,"[0.436, 0.431, 0.321, 0.43, 0.336, 0.515, 0.429, 0.358, 0.318, 0.36]"
21,"[0.436, 0.382, 0.404, 0.465, 0.335, 0.418, 0.407, 0.41, 0.339, 0.352]"
22,"[0.419, 0.425, 0.334, 0.446, 0.303, 0.511, 0.429, 0.38, 0.317, 0.336]"
23,"[0.442, 0.404, 0.39, 0.425, 0.315, 0.47, 0.379, 0.369, 0.349, 0.327]"
24,"[0.438, 0.414, 0.353, 0.496, 0.313, 0.505, 0.412, 0.379, 0.364, 0.302]"
25,"[0.525, 0.427, 0.401, 0.396, 0.321, 0.48, 0.374, 0.377, 0.425, 0.461]"
26,"[0.578, 0.416, 0.379, 0.48, 0.423, 0.463, 0.325, 0.445, 0.413, 0.493]"
27,"[0.56, 0.503, 0.351, 0.434, 0.425, 0.465, 0.398, 0.409, 0.445, 0.494]"
28,"[0.533, 0.448, 0.382, 0.49, 0.388, 0.481, 0.405, 0.385, 0.373, 0.531]"
29,"[0.502, 0.404, 0.383, 0.411, 0.381, 0.43, 0.355, 0.341, 0.393, 0.454]"
30,"[0.479, 0.495, 0.339, 0.435, 0.336, 0.409, 0.341, 0.344, 0.369, 0.36]"
31,"[0.302, 0.311, 0.368, 0.368, 0.386, 0.382, 0.286, 0.393, 0.374, 0.303]"
32,"[0.508, 0.43, 0.265, 0.347, 0.282, 0.327, 0.431, 0.295, 0.382, 0.362]"
33,"[0.263, 0.253, 0.362, 0.318, 0.417, 0.374, 0.26, 0.44, 0.424, 0.352]"
34,"[0.459, 0.4, 0.235, 0.365, 0.25, 0.29, 0.457, 0.262, 0.305, 0.327]"
35,"[0.17, 0.238, 0.372, 0.26, 0.41, 0.347, 0.259, 0.409, 0.397, 0.386]"
36,"[0.367, 0.385, 0.22, 0.35, 0.213, 0.268, 0.395, 0.225, 0.24, 0.313]"
37,"[0.137, 0.236, 0.369, 0.237, 0.33, 0.281, 0.23, 0.311, 0.359, 0.386]"
38,"[0.357, 0.264, 0.206, 0.311, 0.175, 0.273, 0.34, 0.216, 0.19, 0.269]"
39,"[0.23, 0.238, 0.306, 0.204, 0.268, 0.276, 0.203, 0.286, 0.318, 0.359]"
40,"[0.277, 0.26, 0.182, 0.27, 0.133, 0.275, 0.3, 0.188, 0.129, 0.26]"
41,"[0.323, 0.251, 0.281, 0.155, 0.206, 0.277, 0.117, 0.243, 0.249, 0.332]"
