eigenvector_centrality,[3 4]
0,"[0.115, 0.146, 0.168, 0.082, 0.138, 0.095, 0.222, 0.085, 0.099, 0.101]"
1,"[0.095, 0.095, 0.108, 0.097, 0.091, 0.112, 0.289, 0.085, 0.099, 0.101]"
2,"[0.095, 0.171, 0.108, 0.15, 0.059, 0.112, 0.22, 0.086, 0.099, 0.12]"
3,"[0.228, 0.104, 0.187, 0.187, 0.155, 0.113, 0.095, 0.177, 0.169, 0.22]"
4,"[0.185, 0.179, 0.206, 0.23, 0.096, 0.17, 0.109, 0.211, 0.202, 0.234]"
5,"[0.257, 0.268, 0.192, 0.193, 0.111, 0.241, 0.093, 0.234, 0.246, 0.298]"
6,"[0.2, 0.273, 0.331, 0.193, 0.103, 0.269, 0.111, 0.262, 0.303, 0.314]"
7,"[0.365, 0.279, 0.204, 0.386, 0.123, 0.214, 0.163, 0.351, 0.277, 0.37]"
8,"[0.303, 0.355, 0.433, 0.151, 0.332, 0.444, 0.239, 0.214, 0.398, 0.32]"
9,"[0.277, 0.288, 0.183, 0.391, 0.094, 0.175, 0.309, 0.366, 0.345, 0.419]"
10,"[0.254, 0.427, 0.411, 0.117, 0.269, 0.426, 0.092, 0.116, 0.296, 0.341]"
11,"[0.181, 0.288, 0.22, 0.412, 0.094, 0.285, 0.32, 0.36, 0.286, 0.441]"
12,"[0.277, 0.46, 0.419, 0.117, 0.322, 0.439, 0.092, 0.148, 0.324, 0.288]"
13,"[0.151, 0.307, 0.37, 0.393, 0.094, 0.342, 0.362, 0.438, 0.338, 0.46]"
14,"[0.309, 0.436, 0.436, 0.161, 0.345, 0.331, 0.092, 0.312, 0.417, 0.221]"
15,"[0.293, 0.286, 0.401, 0.397, 0.094, 0.304, 0.37, 0.459, 0.359, 0.39]"
16,"[0.395, 0.331, 0.366, 0.238, 0.375, 0.253, 0.092, 0.409, 0.328, 0.272]"
17,"[0.433, 0.247, 0.308, 0.421, 0.096, 0.274, 0.414, 0.25, 0.268, 0.266]"
18,"[0.201, 0.318, 0.366, 0.331, 0.39, 0.344, 0.105, 0.318, 0.271, 0.259]"
19,"[0.313, 0.265, 0.261, 0.452, 0.147, 0.329, 0.444, 0.228, 0.244, 0.293]"
20,"[0.179, 0.358, 0.522, 0.39, 0.423, 0.386, 0.203, 0.292, 0.28, 0.411]"
21,"[0.297, 0.368, 0.323, 0.404, 0.234, 0.36, 0.468, 0.411, 0.377, 0.348]"
22,"[0.323, 0.416, 0.351, 0.334, 0.4, 0.389, 0.33, 0.363, 0.355, 0.437]"
23,"[0.342, 0.421, 0.272, 0.271, 0.203, 0.319, 0.451, 0.342, 0.379, 0.37]"
24,"[0.374, 0.452, 0.3, 0.315, 0.329, 0.354, 0.32, 0.251, 0.346, 0.424]"
25,"[0.313, 0.432, 0.35, 0.502, 0.538, 0.401, 0.402, 0.327, 0.391, 0.466]"
26,"[0.36, 0.458, 0.418, 0.499, 0.452, 0.37, 0.577, 0.333, 0.413, 0.435]"
27,"[0.312, 0.371, 0.493, 0.382, 0.403, 0.479, 0.461, 0.338, 0.378, 0.454]"
28,"[0.35, 0.415, 0.336, 0.375, 0.44, 0.39, 0.416, 0.456, 0.468, 0.403]"
29,"[0.387, 0.331, 0.361, 0.317, 0.433, 0.401, 0.209, 0.31, 0.369, 0.431]"
30,"[0.311, 0.463, 0.353, 0.496, 0.404, 0.397, 0.188, 0.372, 0.463, 0.433]"
31,"[0.421, 0.329, 0.346, 0.359, 0.415, 0.398, 0.171, 0.317, 0.416, 0.467]"
32,"[0.321, 0.299, 0.416, 0.479, 0.29, 0.358, 0.148, 0.337, 0.487, 0.452]"
33,"[0.384, 0.348, 0.314, 0.337, 0.394, 0.388, 0.141, 0.406, 0.419, 0.367]"
34,"[0.402, 0.317, 0.392, 0.494, 0.177, 0.351, 0.133, 0.325, 0.378, 0.441]"
35,"[0.352, 0.352, 0.308, 0.368, 0.171, 0.397, 0.116, 0.314, 0.392, 0.275]"
36,"[0.39, 0.326, 0.323, 0.508, 0.103, 0.393, 0.144, 0.323, 0.347, 0.346]"
37,"[0.291, 0.327, 0.349, 0.347, 0.103, 0.499, 0.099, 0.32, 0.363, 0.317]"
38,"[0.394, 0.351, 0.252, 0.526, 0.103, 0.415, 0.16, 0.329, 0.44, 0.253]"
39,"[0.304, 0.33, 0.331, 0.334, 0.103, 0.493, 0.092, 0.27, 0.346, 0.364]"
40,"[0.276, 0.351, 0.253, 0.506, 0.103, 0.455, 0.146, 0.322, 0.433, 0.238]"
41,"[0.369, 0.318, 0.269, 0.342, 0.103, 0.469, 0.092, 0.267, 0.334, 0.253]"
42,"[0.249, 0.32, 0.257, 0.468, 0.103, 0.424, 0.095, 0.271, 0.411, 0.223]"
43,"[0.306, 0.312, 0.24, 0.333, 0.103, 0.398, 0.089, 0.268, 0.394, 0.206]"
44,"[0.238, 0.333, 0.256, 0.43, 0.103, 0.357, 0.107, 0.246, 0.351, 0.216]"
45,"[0.223, 0.3, 0.232, 0.341, 0.103, 0.348, 0.085, 0.256, 0.373, 0.19]"
46,"[0.234, 0.33, 0.232, 0.414, 0.103, 0.372, 0.109, 0.246, 0.328, 0.195]"
47,"[0.226, 0.331, 0.241, 0.348, 0.103, 0.292, 0.1, 0.248, 0.34, 0.191]"
48,"[0.231, 0.319, 0.216, 0.373, 0.103, 0.353, 0.131, 0.255, 0.29, 0.19]"
49,"[0.238, 0.339, 0.242, 0.319, 0.103, 0.223, 0.096, 0.24, 0.298, 0.192]"
50,"[0.237, 0.32, 0.219, 0.316, 0.103, 0.297, 0.16, 0.248, 0.28, 0.194]"
51,"[0.238, 0.319, 0.254, 0.173, 0.103, 0.243, 0.095, 0.24, 0.298, 0.193]"
52,"[0.229, 0.28, 0.237, 0.366, 0.103, 0.271, 0.098, 0.254, 0.279, 0.195]"
53,"[0.234, 0.291, 0.236, 0.106, 0.103, 0.278, 0.095, 0.264, 0.263, 0.195]"
54,"[0.234, 0.277, 0.241, 0.334, 0.103, 0.108, 0.096, 0.254, 0.252, 0.197]"
55,"[0.246, 0.253, 0.243, 0.09, 0.103, 0.326, 0.095, 0.269, 0.257, 0.2]"
56,"[0.236, 0.263, 0.243, 0.301, 0.103, 0.108, 0.095, 0.248, 0.254, 0.206]"
57,"[0.249, 0.225, 0.256, 0.097, 0.103, 0.315, 0.095, 0.284, 0.218, 0.21]"
58,"[0.241, 0.242, 0.268, 0.217, 0.103, 0.108, 0.095, 0.245, 0.231, 0.211]"
59,"[0.251, 0.215, 0.274, 0.211, 0.103, 0.274, 0.095, 0.274, 0.215, 0.224]"
60,"[0.243, 0.235, 0.262, 0.104, 0.103, 0.108, 0.095, 0.272, 0.185, 0.215]"
61,"[0.251, 0.139, 0.214, 0.296, 0.103, 0.264, 0.095, 0.232, 0.217, 0.237]"
62,"[0.264, 0.247, 0.245, 0.087, 0.103, 0.108, 0.095, 0.277, 0.109, 0.228]"
63,"[0.258, 0.112, 0.192, 0.302, 0.103, 0.227, 0.095, 0.271, 0.219, 0.246]"
64,"[0.252, 0.252, 0.246, 0.086, 0.103, 0.108, 0.095, 0.269, 0.109, 0.203]"
65,"[0.227, 0.112, 0.186, 0.323, 0.103, 0.262, 0.095, 0.209, 0.214, 0.25]"
66,"[0.193, 0.248, 0.228, 0.082, 0.103, 0.108, 0.095, 0.234, 0.109, 0.208]"
67,"[0.203, 0.112, 0.191, 0.286, 0.103, 0.248, 0.095, 0.194, 0.208, 0.232]"
68,"[0.155, 0.235, 0.23, 0.086, 0.103, 0.108, 0.095, 0.232, 0.109, 0.177]"
69,"[0.206, 0.112, 0.2, 0.295, 0.103, 0.232, 0.095, 0.195, 0.204, 0.155]"
70,"[0.164, 0.243, 0.231, 0.09, 0.103, 0.108, 0.095, 0.182, 0.109, 0.175]"
71,"[0.23, 0.112, 0.201, 0.306, 0.103, 0.227, 0.095, 0.186, 0.204, 0.11]"
72,"[0.227, 0.236, 0.236, 0.116, 0.103, 0.108, 0.095, 0.158, 0.11, 0.184]"
73,"[0.133, 0.112, 0.201, 0.318, 0.103, 0.145, 0.095, 0.176, 0.198, 0.123]"
74,"[0.218, 0.239, 0.168, 0.131, 0.103, 0.108, 0.095, 0.158, 0.109, 0.173]"
75,"[0.114, 0.112, 0.199, 0.289, 0.103, 0.177, 0.095, 0.19, 0.204, 0.095]"
76,"[0.183, 0.227, 0.125, 0.148, 0.103, 0.108, 0.095, 0.113, 0.109, 0.138]"
77,"[0.107, 0.112, 0.198, 0.248, 0.103, 0.234, 0.095, 0.191, 0.205, 0.09]"
78,"[0.11, 0.206, 0.129, 0.143, 0.103, 0.108, 0.095, 0.106, 0.109, 0.108]"
79,"[0.105, 0.112, 0.199, 0.271, 0.103, 0.235, 0.095, 0.194, 0.208, 0.086]"
80,"[0.108, 0.21, 0.134, 0.165, 0.103, 0.108, 0.095, 0.105, 0.109, 0.116]"
81,"[0.103, 0.112, 0.2, 0.206, 0.103, 0.239, 0.095, 0.191, 0.211, 0.085]"
82,"[0.159, 0.234, 0.157, 0.241, 0.103, 0.108, 0.095, 0.107, 0.109, 0.128]"
83,"[0.104, 0.112, 0.196, 0.129, 0.103, 0.237, 0.095, 0.178, 0.219, 0.112]"
84,"[0.189, 0.264, 0.211, 0.313, 0.103, 0.108, 0.095, 0.114, 0.109, 0.157]"
85,"[0.116, 0.112, 0.2, 0.193, 0.103, 0.242, 0.095, 0.157, 0.218, 0.186]"
86,"[0.203, 0.262, 0.189, 0.287, 0.103, 0.108, 0.095, 0.135, 0.109, 0.168]"
87,"[0.176, 0.112, 0.201, 0.187, 0.103, 0.244, 0.095, 0.164, 0.217, 0.179]"
