eigenvector_centrality,[1 3]
57,"[0.204, 0.318, 0.465, 0.53, 0.255, 0.134, 0.103, 0.251, 0.11, 0.326]"
58,"[0.439, 0.43, 0.218, 0.253, 0.35, 0.103, 0.099, 0.176, 0.103, 0.241]"
59,"[0.213, 0.294, 0.459, 0.555, 0.242, 0.135, 0.101, 0.242, 0.109, 0.366]"
60,"[0.421, 0.456, 0.18, 0.309, 0.349, 0.104, 0.1, 0.159, 0.103, 0.211]"
61,"[0.19, 0.243, 0.426, 0.534, 0.245, 0.111, 0.1, 0.203, 0.109, 0.356]"
62,"[0.399, 0.412, 0.148, 0.322, 0.43, 0.103, 0.097, 0.161, 0.103, 0.263]"
63,"[0.184, 0.194, 0.429, 0.468, 0.292, 0.113, 0.101, 0.247, 0.105, 0.456]"
64,"[0.456, 0.506, 0.19, 0.353, 0.438, 0.103, 0.099, 0.154, 0.103, 0.293]"
65,"[0.254, 0.206, 0.475, 0.435, 0.327, 0.111, 0.102, 0.277, 0.106, 0.477]"
66,"[0.479, 0.506, 0.214, 0.386, 0.354, 0.111, 0.106, 0.157, 0.103, 0.28]"
67,"[0.226, 0.223, 0.499, 0.331, 0.271, 0.108, 0.108, 0.316, 0.113, 0.511]"
68,"[0.485, 0.476, 0.196, 0.488, 0.366, 0.106, 0.118, 0.177, 0.103, 0.293]"
69,"[0.22, 0.284, 0.501, 0.288, 0.285, 0.116, 0.113, 0.288, 0.147, 0.469]"
70,"[0.484, 0.436, 0.155, 0.539, 0.454, 0.106, 0.117, 0.182, 0.104, 0.29]"
71,"[0.225, 0.346, 0.481, 0.264, 0.385, 0.113, 0.113, 0.361, 0.156, 0.498]"
72,"[0.495, 0.462, 0.241, 0.553, 0.44, 0.126, 0.12, 0.202, 0.104, 0.275]"
73,"[0.28, 0.394, 0.504, 0.253, 0.372, 0.107, 0.114, 0.316, 0.148, 0.484]"
74,"[0.497, 0.495, 0.243, 0.526, 0.361, 0.15, 0.115, 0.2, 0.104, 0.248]"
75,"[0.228, 0.375, 0.46, 0.251, 0.314, 0.103, 0.11, 0.23, 0.186, 0.511]"
76,"[0.422, 0.471, 0.216, 0.506, 0.313, 0.148, 0.108, 0.175, 0.103, 0.205]"
77,"[0.213, 0.408, 0.448, 0.281, 0.325, 0.103, 0.106, 0.214, 0.155, 0.486]"
78,"[0.438, 0.454, 0.197, 0.525, 0.342, 0.174, 0.108, 0.17, 0.103, 0.209]"
79,"[0.212, 0.451, 0.426, 0.293, 0.377, 0.103, 0.102, 0.265, 0.144, 0.52]"
80,"[0.452, 0.501, 0.177, 0.55, 0.419, 0.19, 0.106, 0.174, 0.104, 0.234]"
81,"[0.262, 0.474, 0.46, 0.297, 0.408, 0.103, 0.102, 0.294, 0.152, 0.501]"
82,"[0.46, 0.563, 0.262, 0.548, 0.43, 0.191, 0.105, 0.162, 0.104, 0.292]"
83,"[0.327, 0.481, 0.486, 0.347, 0.384, 0.103, 0.102, 0.361, 0.19, 0.507]"
84,"[0.474, 0.606, 0.254, 0.591, 0.427, 0.196, 0.11, 0.16, 0.103, 0.321]"
85,"[0.285, 0.37, 0.456, 0.376, 0.419, 0.104, 0.109, 0.278, 0.232, 0.498]"
86,"[0.451, 0.569, 0.232, 0.601, 0.496, 0.197, 0.115, 0.167, 0.104, 0.37]"
87,"[0.287, 0.428, 0.471, 0.388, 0.429, 0.129, 0.115, 0.373, 0.193, 0.481]"
88,"[0.501, 0.573, 0.269, 0.555, 0.496, 0.183, 0.107, 0.186, 0.104, 0.421]"
89,"[0.333, 0.419, 0.494, 0.358, 0.431, 0.147, 0.124, 0.359, 0.157, 0.47]"
90,"[0.489, 0.607, 0.303, 0.521, 0.546, 0.166, 0.106, 0.215, 0.105, 0.418]"
91,"[0.348, 0.481, 0.523, 0.364, 0.447, 0.147, 0.126, 0.329, 0.136, 0.489]"
92,"[0.521, 0.556, 0.305, 0.492, 0.583, 0.162, 0.108, 0.191, 0.105, 0.443]"
93,"[0.367, 0.498, 0.535, 0.377, 0.46, 0.182, 0.134, 0.448, 0.139, 0.519]"
94,"[0.534, 0.582, 0.324, 0.455, 0.57, 0.192, 0.11, 0.211, 0.106, 0.455]"
95,"[0.369, 0.51, 0.561, 0.439, 0.488, 0.205, 0.141, 0.451, 0.17, 0.537]"
96,"[0.577, 0.584, 0.346, 0.454, 0.578, 0.202, 0.135, 0.255, 0.105, 0.498]"
97,"[0.393, 0.571, 0.576, 0.45, 0.498, 0.21, 0.157, 0.504, 0.285, 0.521]"
98,"[0.558, 0.559, 0.364, 0.51, 0.595, 0.208, 0.162, 0.255, 0.107, 0.491]"
99,"[0.418, 0.59, 0.552, 0.415, 0.518, 0.231, 0.179, 0.519, 0.316, 0.484]"
