eigenvector_centrality,[6 3]
0,"[0.112, 0.085, 0.105, 0.09, 0.083, 0.131, 0.154, 0.092, 0.1, 0.098]"
1,"[0.091, 0.145, 0.083, 0.097, 0.182, 0.196, 0.12, 0.092, 0.113, 0.103]"
2,"[0.08, 0.195, 0.199, 0.097, 0.083, 0.086, 0.095, 0.092, 0.113, 0.179]"
3,"[0.08, 0.201, 0.117, 0.158, 0.104, 0.163, 0.211, 0.167, 0.113, 0.188]"
4,"[0.08, 0.227, 0.203, 0.174, 0.22, 0.19, 0.243, 0.286, 0.224, 0.103]"
5,"[0.186, 0.247, 0.252, 0.247, 0.192, 0.256, 0.223, 0.295, 0.271, 0.336]"
6,"[0.351, 0.328, 0.289, 0.318, 0.348, 0.312, 0.309, 0.317, 0.398, 0.379]"
7,"[0.414, 0.397, 0.406, 0.436, 0.364, 0.422, 0.388, 0.431, 0.403, 0.472]"
8,"[0.482, 0.445, 0.489, 0.499, 0.499, 0.528, 0.49, 0.456, 0.402, 0.453]"
9,"[0.482, 0.297, 0.447, 0.494, 0.55, 0.525, 0.499, 0.41, 0.313, 0.315]"
10,"[0.336, 0.353, 0.451, 0.434, 0.457, 0.426, 0.429, 0.175, 0.368, 0.223]"
11,"[0.423, 0.156, 0.373, 0.295, 0.319, 0.243, 0.35, 0.351, 0.325, 0.37]"
12,"[0.324, 0.36, 0.428, 0.339, 0.363, 0.291, 0.371, 0.154, 0.432, 0.323]"
13,"[0.385, 0.289, 0.315, 0.313, 0.388, 0.238, 0.373, 0.346, 0.408, 0.389]"
14,"[0.355, 0.364, 0.471, 0.379, 0.448, 0.299, 0.294, 0.229, 0.391, 0.373]"
15,"[0.398, 0.338, 0.375, 0.445, 0.382, 0.268, 0.378, 0.38, 0.346, 0.384]"
16,"[0.374, 0.42, 0.445, 0.38, 0.385, 0.314, 0.152, 0.317, 0.347, 0.377]"
17,"[0.404, 0.383, 0.38, 0.395, 0.371, 0.296, 0.352, 0.38, 0.277, 0.365]"
18,"[0.384, 0.434, 0.392, 0.351, 0.321, 0.342, 0.145, 0.376, 0.375, 0.418]"
19,"[0.392, 0.426, 0.43, 0.363, 0.36, 0.374, 0.324, 0.374, 0.304, 0.357]"
20,"[0.385, 0.424, 0.378, 0.356, 0.325, 0.36, 0.171, 0.426, 0.361, 0.453]"
21,"[0.387, 0.434, 0.419, 0.381, 0.368, 0.4, 0.314, 0.408, 0.364, 0.41]"
22,"[0.403, 0.426, 0.406, 0.359, 0.351, 0.396, 0.275, 0.46, 0.337, 0.495]"
23,"[0.395, 0.437, 0.444, 0.402, 0.385, 0.417, 0.318, 0.465, 0.42, 0.416]"
24,"[0.407, 0.43, 0.432, 0.373, 0.353, 0.425, 0.328, 0.461, 0.364, 0.47]"
25,"[0.402, 0.423, 0.451, 0.508, 0.396, 0.432, 0.403, 0.498, 0.426, 0.448]"
26,"[0.47, 0.408, 0.484, 0.52, 0.363, 0.392, 0.479, 0.399, 0.479, 0.479]"
27,"[0.439, 0.511, 0.407, 0.593, 0.382, 0.414, 0.584, 0.469, 0.408, 0.438]"
28,"[0.381, 0.352, 0.357, 0.441, 0.383, 0.376, 0.52, 0.4, 0.422, 0.378]"
29,"[0.345, 0.349, 0.448, 0.529, 0.337, 0.431, 0.52, 0.391, 0.384, 0.417]"
30,"[0.284, 0.37, 0.282, 0.363, 0.38, 0.317, 0.499, 0.402, 0.274, 0.344]"
31,"[0.286, 0.297, 0.489, 0.48, 0.303, 0.447, 0.437, 0.312, 0.377, 0.351]"
32,"[0.262, 0.431, 0.25, 0.31, 0.304, 0.315, 0.59, 0.384, 0.26, 0.264]"
33,"[0.282, 0.299, 0.377, 0.397, 0.323, 0.471, 0.477, 0.289, 0.292, 0.278]"
34,"[0.246, 0.423, 0.242, 0.313, 0.301, 0.296, 0.544, 0.304, 0.244, 0.243]"
35,"[0.272, 0.3, 0.265, 0.375, 0.306, 0.364, 0.5, 0.281, 0.3, 0.241]"
36,"[0.265, 0.337, 0.236, 0.315, 0.292, 0.281, 0.583, 0.277, 0.238, 0.248]"
37,"[0.259, 0.297, 0.249, 0.405, 0.298, 0.302, 0.467, 0.273, 0.287, 0.229]"
38,"[0.275, 0.313, 0.229, 0.306, 0.301, 0.278, 0.599, 0.272, 0.229, 0.223]"
39,"[0.257, 0.29, 0.246, 0.4, 0.299, 0.304, 0.445, 0.266, 0.293, 0.218]"
40,"[0.27, 0.317, 0.219, 0.29, 0.31, 0.264, 0.57, 0.273, 0.233, 0.217]"
41,"[0.262, 0.302, 0.26, 0.415, 0.294, 0.298, 0.438, 0.263, 0.287, 0.218]"
42,"[0.27, 0.326, 0.216, 0.303, 0.297, 0.253, 0.552, 0.28, 0.241, 0.207]"
43,"[0.257, 0.295, 0.266, 0.427, 0.296, 0.29, 0.425, 0.261, 0.288, 0.223]"
