eigenvector_centrality,[9]
57,"[0.198, 0.135, 0.111, 0.147, 0.251, 0.236, 0.196, 0.267, 0.284, 0.319]"
58,"[0.154, 0.235, 0.223, 0.235, 0.148, 0.236, 0.249, 0.095, 0.13, 0.418]"
59,"[0.207, 0.115, 0.089, 0.092, 0.249, 0.179, 0.18, 0.272, 0.291, 0.293]"
60,"[0.128, 0.14, 0.275, 0.291, 0.097, 0.267, 0.137, 0.094, 0.113, 0.515]"
61,"[0.156, 0.233, 0.086, 0.091, 0.296, 0.155, 0.32, 0.283, 0.28, 0.315]"
62,"[0.187, 0.106, 0.277, 0.293, 0.116, 0.302, 0.121, 0.101, 0.148, 0.521]"
63,"[0.105, 0.298, 0.093, 0.093, 0.257, 0.172, 0.352, 0.196, 0.106, 0.299]"
64,"[0.294, 0.119, 0.224, 0.23, 0.172, 0.245, 0.141, 0.166, 0.299, 0.505]"
65,"[0.15, 0.231, 0.123, 0.259, 0.191, 0.171, 0.312, 0.102, 0.116, 0.269]"
66,"[0.168, 0.12, 0.168, 0.093, 0.247, 0.258, 0.176, 0.198, 0.271, 0.482]"
67,"[0.114, 0.173, 0.092, 0.254, 0.128, 0.157, 0.263, 0.094, 0.115, 0.251]"
68,"[0.207, 0.121, 0.098, 0.091, 0.27, 0.252, 0.144, 0.238, 0.277, 0.464]"
69,"[0.108, 0.124, 0.186, 0.272, 0.109, 0.166, 0.185, 0.094, 0.11, 0.302]"
70,"[0.207, 0.232, 0.083, 0.091, 0.268, 0.227, 0.27, 0.233, 0.261, 0.451]"
71,"[0.114, 0.105, 0.263, 0.261, 0.115, 0.194, 0.117, 0.094, 0.122, 0.314]"
72,"[0.108, 0.262, 0.086, 0.091, 0.225, 0.227, 0.335, 0.227, 0.106, 0.436]"
73,"[0.228, 0.11, 0.245, 0.249, 0.148, 0.156, 0.138, 0.096, 0.273, 0.312]"
74,"[0.109, 0.233, 0.091, 0.097, 0.2, 0.275, 0.309, 0.198, 0.11, 0.393]"
75,"[0.254, 0.112, 0.234, 0.227, 0.186, 0.151, 0.145, 0.094, 0.273, 0.309]"
76,"[0.11, 0.201, 0.096, 0.103, 0.125, 0.269, 0.281, 0.224, 0.11, 0.352]"
