eigenvector_centrality,[2 3]
0,"[0.08, 0.107, 0.116, 0.101, 0.099, 0.089, 0.109, 0.127, 0.146, 0.164]"
1,"[0.081, 0.187, 0.116, 0.097, 0.083, 0.086, 0.103, 0.104, 0.242, 0.103]"
2,"[0.08, 0.254, 0.116, 0.097, 0.083, 0.086, 0.175, 0.132, 0.103, 0.105]"
3,"[0.08, 0.201, 0.117, 0.097, 0.083, 0.088, 0.109, 0.085, 0.209, 0.218]"
4,"[0.162, 0.109, 0.16, 0.142, 0.138, 0.129, 0.225, 0.2, 0.163, 0.108]"
5,"[0.216, 0.134, 0.201, 0.207, 0.243, 0.22, 0.255, 0.19, 0.126, 0.242]"
6,"[0.289, 0.279, 0.279, 0.282, 0.332, 0.289, 0.321, 0.265, 0.249, 0.277]"
7,"[0.301, 0.362, 0.374, 0.303, 0.349, 0.318, 0.309, 0.146, 0.297, 0.36]"
8,"[0.297, 0.296, 0.355, 0.45, 0.337, 0.404, 0.405, 0.262, 0.459, 0.473]"
9,"[0.331, 0.27, 0.47, 0.308, 0.364, 0.34, 0.442, 0.282, 0.469, 0.463]"
10,"[0.325, 0.233, 0.353, 0.374, 0.401, 0.296, 0.356, 0.342, 0.463, 0.325]"
11,"[0.317, 0.327, 0.408, 0.301, 0.372, 0.392, 0.256, 0.389, 0.287, 0.351]"
12,"[0.42, 0.236, 0.262, 0.376, 0.549, 0.315, 0.35, 0.318, 0.421, 0.35]"
13,"[0.317, 0.306, 0.386, 0.321, 0.27, 0.326, 0.336, 0.352, 0.306, 0.291]"
14,"[0.358, 0.324, 0.232, 0.345, 0.393, 0.335, 0.289, 0.331, 0.304, 0.36]"
15,"[0.277, 0.268, 0.32, 0.405, 0.323, 0.234, 0.342, 0.293, 0.332, 0.249]"
16,"[0.353, 0.329, 0.32, 0.38, 0.352, 0.306, 0.262, 0.3, 0.281, 0.374]"
17,"[0.319, 0.295, 0.255, 0.4, 0.422, 0.287, 0.319, 0.318, 0.362, 0.283]"
18,"[0.297, 0.336, 0.313, 0.407, 0.289, 0.279, 0.294, 0.351, 0.3, 0.324]"
19,"[0.348, 0.29, 0.215, 0.391, 0.347, 0.402, 0.316, 0.297, 0.311, 0.345]"
20,"[0.277, 0.385, 0.264, 0.405, 0.255, 0.286, 0.434, 0.32, 0.373, 0.362]"
21,"[0.329, 0.289, 0.271, 0.416, 0.344, 0.466, 0.301, 0.284, 0.31, 0.445]"
22,"[0.267, 0.334, 0.29, 0.424, 0.292, 0.3, 0.426, 0.297, 0.369, 0.397]"
23,"[0.338, 0.344, 0.202, 0.468, 0.415, 0.418, 0.292, 0.266, 0.324, 0.481]"
24,"[0.222, 0.384, 0.349, 0.475, 0.237, 0.339, 0.428, 0.339, 0.458, 0.381]"
25,"[0.362, 0.32, 0.516, 0.431, 0.428, 0.406, 0.317, 0.28, 0.365, 0.421]"
26,"[0.511, 0.411, 0.587, 0.517, 0.519, 0.338, 0.403, 0.368, 0.43, 0.385]"
27,"[0.385, 0.41, 0.523, 0.529, 0.421, 0.419, 0.367, 0.458, 0.411, 0.438]"
28,"[0.489, 0.341, 0.539, 0.507, 0.431, 0.322, 0.434, 0.339, 0.399, 0.379]"
29,"[0.41, 0.519, 0.466, 0.473, 0.336, 0.41, 0.294, 0.421, 0.363, 0.347]"
30,"[0.444, 0.372, 0.373, 0.464, 0.391, 0.38, 0.523, 0.347, 0.388, 0.333]"
31,"[0.332, 0.57, 0.555, 0.54, 0.263, 0.355, 0.347, 0.403, 0.324, 0.303]"
32,"[0.497, 0.381, 0.349, 0.553, 0.473, 0.447, 0.467, 0.296, 0.293, 0.478]"
33,"[0.233, 0.459, 0.548, 0.526, 0.239, 0.44, 0.314, 0.445, 0.33, 0.347]"
34,"[0.504, 0.364, 0.271, 0.498, 0.513, 0.507, 0.387, 0.188, 0.296, 0.444]"
35,"[0.289, 0.399, 0.58, 0.586, 0.268, 0.398, 0.434, 0.435, 0.444, 0.355]"
36,"[0.549, 0.394, 0.256, 0.485, 0.505, 0.495, 0.218, 0.233, 0.343, 0.385]"
37,"[0.373, 0.439, 0.546, 0.618, 0.344, 0.284, 0.471, 0.492, 0.421, 0.358]"
38,"[0.557, 0.392, 0.282, 0.494, 0.383, 0.505, 0.22, 0.35, 0.336, 0.398]"
39,"[0.498, 0.481, 0.517, 0.638, 0.39, 0.308, 0.466, 0.539, 0.416, 0.357]"
40,"[0.532, 0.391, 0.301, 0.506, 0.306, 0.532, 0.251, 0.412, 0.332, 0.41]"
41,"[0.517, 0.521, 0.432, 0.614, 0.427, 0.37, 0.414, 0.494, 0.416, 0.361]"
42,"[0.463, 0.396, 0.322, 0.483, 0.289, 0.543, 0.27, 0.491, 0.313, 0.425]"
43,"[0.511, 0.565, 0.4, 0.578, 0.428, 0.412, 0.356, 0.336, 0.436, 0.382]"
44,"[0.325, 0.399, 0.325, 0.475, 0.233, 0.57, 0.285, 0.488, 0.32, 0.428]"
45,"[0.503, 0.575, 0.358, 0.624, 0.444, 0.461, 0.329, 0.212, 0.445, 0.381]"
46,"[0.308, 0.451, 0.325, 0.486, 0.237, 0.433, 0.308, 0.47, 0.324, 0.44]"
47,"[0.526, 0.466, 0.365, 0.611, 0.444, 0.49, 0.305, 0.196, 0.452, 0.399]"
48,"[0.327, 0.511, 0.274, 0.495, 0.261, 0.378, 0.337, 0.498, 0.361, 0.419]"
49,"[0.544, 0.401, 0.405, 0.597, 0.448, 0.505, 0.289, 0.219, 0.456, 0.425]"
50,"[0.38, 0.54, 0.249, 0.504, 0.295, 0.339, 0.39, 0.531, 0.332, 0.362]"
51,"[0.57, 0.409, 0.442, 0.549, 0.428, 0.55, 0.27, 0.263, 0.419, 0.422]"
52,"[0.436, 0.576, 0.196, 0.513, 0.317, 0.323, 0.419, 0.554, 0.314, 0.361]"
53,"[0.54, 0.407, 0.412, 0.494, 0.381, 0.576, 0.266, 0.336, 0.363, 0.423]"
54,"[0.448, 0.592, 0.188, 0.435, 0.33, 0.319, 0.423, 0.571, 0.302, 0.4]"
55,"[0.505, 0.395, 0.445, 0.502, 0.32, 0.594, 0.28, 0.34, 0.344, 0.449]"
56,"[0.464, 0.589, 0.262, 0.305, 0.314, 0.326, 0.368, 0.57, 0.295, 0.391]"
57,"[0.463, 0.483, 0.369, 0.532, 0.302, 0.596, 0.296, 0.368, 0.339, 0.431]"
58,"[0.479, 0.584, 0.262, 0.319, 0.341, 0.336, 0.359, 0.555, 0.32, 0.411]"
59,"[0.434, 0.489, 0.301, 0.506, 0.309, 0.595, 0.302, 0.488, 0.32, 0.418]"
60,"[0.495, 0.568, 0.411, 0.332, 0.374, 0.394, 0.36, 0.357, 0.418, 0.408]"
