eigenvector_centrality,[3 4]
0,"[0.095, 0.169, 0.139, 0.117, 0.091, 0.095, 0.103, 0.098, 0.131, 0.088]"
1,"[0.102, 0.093, 0.096, 0.246, 0.11, 0.095, 0.103, 0.089, 0.217, 0.122]"
2,"[0.102, 0.126, 0.099, 0.205, 0.131, 0.095, 0.103, 0.089, 0.099, 0.151]"
3,"[0.218, 0.136, 0.108, 0.157, 0.11, 0.132, 0.178, 0.089, 0.099, 0.101]"
4,"[0.316, 0.18, 0.135, 0.239, 0.192, 0.249, 0.199, 0.087, 0.176, 0.18]"
5,"[0.278, 0.165, 0.211, 0.125, 0.11, 0.226, 0.146, 0.155, 0.218, 0.153]"
6,"[0.379, 0.37, 0.306, 0.204, 0.112, 0.414, 0.388, 0.205, 0.261, 0.23]"
7,"[0.231, 0.292, 0.338, 0.218, 0.191, 0.329, 0.397, 0.189, 0.382, 0.383]"
8,"[0.205, 0.364, 0.294, 0.354, 0.215, 0.169, 0.356, 0.225, 0.384, 0.436]"
9,"[0.226, 0.307, 0.246, 0.325, 0.199, 0.349, 0.466, 0.31, 0.244, 0.263]"
10,"[0.344, 0.38, 0.367, 0.26, 0.209, 0.214, 0.219, 0.266, 0.33, 0.35]"
11,"[0.316, 0.242, 0.186, 0.288, 0.211, 0.346, 0.334, 0.423, 0.164, 0.297]"
12,"[0.455, 0.288, 0.299, 0.225, 0.365, 0.319, 0.336, 0.279, 0.301, 0.332]"
13,"[0.273, 0.205, 0.33, 0.304, 0.335, 0.334, 0.319, 0.16, 0.309, 0.261]"
14,"[0.347, 0.282, 0.287, 0.296, 0.342, 0.272, 0.263, 0.293, 0.303, 0.336]"
15,"[0.317, 0.211, 0.353, 0.302, 0.291, 0.331, 0.269, 0.184, 0.303, 0.224]"
16,"[0.206, 0.287, 0.289, 0.308, 0.187, 0.28, 0.2, 0.275, 0.279, 0.382]"
17,"[0.292, 0.223, 0.24, 0.308, 0.274, 0.347, 0.314, 0.189, 0.227, 0.241]"
18,"[0.237, 0.262, 0.245, 0.278, 0.183, 0.329, 0.17, 0.256, 0.319, 0.42]"
19,"[0.29, 0.301, 0.227, 0.256, 0.271, 0.393, 0.346, 0.175, 0.195, 0.321]"
20,"[0.215, 0.239, 0.274, 0.227, 0.164, 0.375, 0.263, 0.258, 0.323, 0.447]"
21,"[0.286, 0.319, 0.289, 0.259, 0.277, 0.443, 0.354, 0.18, 0.228, 0.464]"
22,"[0.19, 0.241, 0.306, 0.252, 0.154, 0.417, 0.412, 0.262, 0.347, 0.483]"
23,"[0.291, 0.317, 0.317, 0.269, 0.289, 0.459, 0.407, 0.234, 0.389, 0.572]"
24,"[0.22, 0.251, 0.329, 0.295, 0.185, 0.262, 0.511, 0.259, 0.339, 0.518]"
25,"[0.293, 0.315, 0.375, 0.386, 0.349, 0.39, 0.483, 0.282, 0.465, 0.479]"
26,"[0.24, 0.436, 0.409, 0.45, 0.528, 0.213, 0.481, 0.476, 0.384, 0.474]"
27,"[0.351, 0.249, 0.306, 0.427, 0.336, 0.345, 0.35, 0.194, 0.476, 0.279]"
28,"[0.274, 0.428, 0.264, 0.368, 0.484, 0.281, 0.252, 0.292, 0.438, 0.378]"
29,"[0.29, 0.256, 0.211, 0.449, 0.347, 0.32, 0.424, 0.273, 0.283, 0.338]"
30,"[0.273, 0.308, 0.238, 0.316, 0.387, 0.278, 0.271, 0.261, 0.414, 0.382]"
31,"[0.285, 0.208, 0.209, 0.491, 0.385, 0.273, 0.322, 0.208, 0.323, 0.279]"
32,"[0.187, 0.32, 0.237, 0.333, 0.412, 0.217, 0.24, 0.263, 0.257, 0.286]"
33,"[0.21, 0.239, 0.211, 0.413, 0.352, 0.273, 0.184, 0.204, 0.209, 0.264]"
34,"[0.136, 0.201, 0.224, 0.331, 0.461, 0.249, 0.251, 0.247, 0.203, 0.209]"
35,"[0.218, 0.216, 0.171, 0.412, 0.354, 0.246, 0.185, 0.171, 0.232, 0.204]"
36,"[0.119, 0.2, 0.167, 0.325, 0.407, 0.235, 0.189, 0.192, 0.176, 0.195]"
37,"[0.217, 0.194, 0.097, 0.391, 0.319, 0.208, 0.188, 0.108, 0.17, 0.182]"
38,"[0.116, 0.187, 0.112, 0.33, 0.381, 0.188, 0.19, 0.111, 0.189, 0.147]"
39,"[0.138, 0.193, 0.092, 0.373, 0.275, 0.144, 0.104, 0.095, 0.103, 0.168]"
40,"[0.116, 0.093, 0.09, 0.349, 0.402, 0.175, 0.187, 0.091, 0.178, 0.101]"
41,"[0.116, 0.199, 0.087, 0.382, 0.28, 0.102, 0.103, 0.092, 0.099, 0.18]"
42,"[0.116, 0.093, 0.087, 0.358, 0.371, 0.169, 0.19, 0.089, 0.099, 0.101]"
43,"[0.116, 0.142, 0.087, 0.414, 0.281, 0.097, 0.103, 0.091, 0.109, 0.14]"
44,"[0.116, 0.093, 0.087, 0.292, 0.39, 0.179, 0.183, 0.089, 0.099, 0.101]"
45,"[0.116, 0.093, 0.087, 0.442, 0.292, 0.106, 0.103, 0.091, 0.109, 0.101]"
46,"[0.116, 0.13, 0.087, 0.236, 0.391, 0.096, 0.103, 0.089, 0.099, 0.114]"
47,"[0.116, 0.093, 0.087, 0.464, 0.269, 0.192, 0.19, 0.089, 0.109, 0.101]"
48,"[0.116, 0.112, 0.087, 0.226, 0.378, 0.095, 0.103, 0.125, 0.099, 0.098]"
49,"[0.136, 0.093, 0.087, 0.411, 0.264, 0.11, 0.095, 0.092, 0.148, 0.101]"
50,"[0.116, 0.112, 0.159, 0.233, 0.373, 0.095, 0.103, 0.17, 0.099, 0.098]"
51,"[0.14, 0.093, 0.087, 0.366, 0.25, 0.108, 0.095, 0.089, 0.099, 0.101]"
52,"[0.116, 0.112, 0.157, 0.261, 0.365, 0.095, 0.103, 0.138, 0.109, 0.098]"
53,"[0.106, 0.093, 0.087, 0.312, 0.262, 0.108, 0.095, 0.09, 0.099, 0.101]"
54,"[0.116, 0.139, 0.157, 0.144, 0.393, 0.096, 0.103, 0.117, 0.109, 0.19]"
55,"[0.106, 0.093, 0.087, 0.28, 0.291, 0.108, 0.163, 0.098, 0.099, 0.101]"
56,"[0.116, 0.093, 0.167, 0.094, 0.355, 0.197, 0.103, 0.098, 0.109, 0.101]"
57,"[0.106, 0.174, 0.172, 0.29, 0.294, 0.174, 0.103, 0.156, 0.099, 0.122]"
58,"[0.116, 0.093, 0.174, 0.084, 0.24, 0.137, 0.095, 0.136, 0.109, 0.101]"
59,"[0.106, 0.112, 0.161, 0.217, 0.304, 0.159, 0.103, 0.094, 0.099, 0.098]"
60,"[0.116, 0.093, 0.179, 0.085, 0.16, 0.108, 0.095, 0.165, 0.204, 0.101]"
61,"[0.106, 0.112, 0.143, 0.151, 0.31, 0.132, 0.103, 0.094, 0.099, 0.098]"
62,"[0.116, 0.093, 0.17, 0.112, 0.132, 0.108, 0.095, 0.146, 0.099, 0.101]"
63,"[0.114, 0.112, 0.132, 0.132, 0.196, 0.131, 0.103, 0.094, 0.109, 0.098]"
64,"[0.118, 0.095, 0.124, 0.136, 0.132, 0.108, 0.095, 0.14, 0.098, 0.101]"
65,"[0.176, 0.167, 0.101, 0.096, 0.24, 0.108, 0.103, 0.094, 0.109, 0.139]"
66,"[0.218, 0.116, 0.099, 0.139, 0.128, 0.147, 0.119, 0.127, 0.099, 0.135]"
67,"[0.215, 0.093, 0.147, 0.122, 0.206, 0.108, 0.19, 0.094, 0.109, 0.101]"
68,"[0.173, 0.112, 0.094, 0.176, 0.124, 0.179, 0.103, 0.097, 0.099, 0.098]"
69,"[0.129, 0.093, 0.169, 0.145, 0.179, 0.108, 0.095, 0.094, 0.109, 0.101]"
70,"[0.166, 0.112, 0.094, 0.165, 0.125, 0.152, 0.103, 0.094, 0.099, 0.098]"
71,"[0.214, 0.093, 0.157, 0.156, 0.168, 0.108, 0.095, 0.094, 0.099, 0.101]"
72,"[0.115, 0.112, 0.094, 0.142, 0.136, 0.138, 0.103, 0.094, 0.109, 0.098]"
73,"[0.106, 0.092, 0.15, 0.201, 0.221, 0.108, 0.095, 0.097, 0.099, 0.101]"
74,"[0.116, 0.112, 0.094, 0.164, 0.165, 0.162, 0.103, 0.094, 0.109, 0.098]"
75,"[0.106, 0.093, 0.152, 0.179, 0.166, 0.108, 0.095, 0.111, 0.099, 0.101]"
76,"[0.116, 0.114, 0.094, 0.16, 0.17, 0.194, 0.103, 0.094, 0.109, 0.13]"
77,"[0.106, 0.101, 0.157, 0.18, 0.148, 0.108, 0.159, 0.114, 0.099, 0.101]"
78,"[0.116, 0.121, 0.094, 0.209, 0.208, 0.179, 0.117, 0.094, 0.109, 0.101]"
