eigenvector_centrality,[9]
0,"[0.088, 0.112, 0.106, 0.117, 0.094, 0.108, 0.211, 0.089, 0.1, 0.159]"
1,"[0.125, 0.085, 0.097, 0.086, 0.103, 0.102, 0.092, 0.113, 0.1, 0.102]"
2,"[0.105, 0.17, 0.106, 0.117, 0.094, 0.102, 0.183, 0.188, 0.1, 0.098]"
3,"[0.113, 0.085, 0.106, 0.143, 0.103, 0.102, 0.092, 0.117, 0.1, 0.102]"
4,"[0.103, 0.24, 0.106, 0.117, 0.094, 0.15, 0.108, 0.149, 0.103, 0.128]"
5,"[0.21, 0.188, 0.239, 0.181, 0.159, 0.229, 0.092, 0.108, 0.159, 0.102]"
6,"[0.264, 0.123, 0.184, 0.117, 0.174, 0.323, 0.196, 0.237, 0.315, 0.204]"
7,"[0.27, 0.176, 0.117, 0.095, 0.225, 0.22, 0.154, 0.282, 0.213, 0.273]"
8,"[0.201, 0.13, 0.213, 0.149, 0.091, 0.178, 0.258, 0.321, 0.291, 0.278]"
9,"[0.244, 0.303, 0.097, 0.135, 0.213, 0.351, 0.245, 0.37, 0.167, 0.174]"
10,"[0.25, 0.272, 0.338, 0.228, 0.137, 0.217, 0.348, 0.174, 0.161, 0.189]"
11,"[0.322, 0.319, 0.162, 0.164, 0.189, 0.388, 0.337, 0.433, 0.202, 0.166]"
12,"[0.304, 0.341, 0.326, 0.207, 0.165, 0.312, 0.157, 0.219, 0.16, 0.205]"
13,"[0.299, 0.321, 0.237, 0.166, 0.238, 0.322, 0.374, 0.451, 0.181, 0.18]"
14,"[0.413, 0.436, 0.306, 0.243, 0.17, 0.297, 0.181, 0.172, 0.168, 0.281]"
15,"[0.321, 0.294, 0.246, 0.168, 0.355, 0.338, 0.42, 0.454, 0.253, 0.27]"
16,"[0.554, 0.431, 0.335, 0.309, 0.186, 0.304, 0.185, 0.15, 0.176, 0.299]"
17,"[0.346, 0.209, 0.245, 0.237, 0.362, 0.355, 0.468, 0.431, 0.267, 0.371]"
