eigenvector_centrality,[9 4]
0,"[0.102, 0.12, 0.106, 0.093, 0.172, 0.173, 0.109, 0.197, 0.099, 0.079]"
1,"[0.102, 0.161, 0.183, 0.093, 0.109, 0.129, 0.151, 0.104, 0.091, 0.088]"
2,"[0.102, 0.114, 0.203, 0.093, 0.109, 0.113, 0.109, 0.112, 0.091, 0.079]"
3,"[0.237, 0.114, 0.181, 0.183, 0.109, 0.12, 0.109, 0.105, 0.119, 0.079]"
4,"[0.244, 0.273, 0.167, 0.295, 0.248, 0.196, 0.125, 0.108, 0.251, 0.132]"
5,"[0.256, 0.368, 0.294, 0.297, 0.252, 0.216, 0.234, 0.297, 0.219, 0.185]"
6,"[0.277, 0.316, 0.388, 0.284, 0.161, 0.198, 0.425, 0.341, 0.308, 0.422]"
7,"[0.362, 0.454, 0.4, 0.411, 0.415, 0.398, 0.337, 0.45, 0.355, 0.235]"
8,"[0.451, 0.241, 0.43, 0.461, 0.271, 0.51, 0.366, 0.476, 0.327, 0.36]"
9,"[0.399, 0.254, 0.323, 0.487, 0.368, 0.439, 0.322, 0.398, 0.365, 0.301]"
10,"[0.395, 0.251, 0.247, 0.352, 0.287, 0.366, 0.341, 0.366, 0.308, 0.357]"
11,"[0.389, 0.26, 0.346, 0.288, 0.362, 0.365, 0.316, 0.378, 0.319, 0.29]"
12,"[0.223, 0.282, 0.297, 0.325, 0.347, 0.389, 0.361, 0.358, 0.353, 0.35]"
13,"[0.325, 0.288, 0.342, 0.305, 0.299, 0.395, 0.347, 0.405, 0.207, 0.3]"
14,"[0.209, 0.288, 0.317, 0.344, 0.342, 0.384, 0.379, 0.4, 0.363, 0.38]"
15,"[0.338, 0.31, 0.345, 0.313, 0.277, 0.401, 0.35, 0.411, 0.191, 0.335]"
16,"[0.216, 0.288, 0.338, 0.372, 0.35, 0.377, 0.318, 0.428, 0.354, 0.393]"
17,"[0.36, 0.326, 0.381, 0.341, 0.233, 0.405, 0.368, 0.411, 0.201, 0.371]"
18,"[0.236, 0.294, 0.334, 0.408, 0.352, 0.372, 0.263, 0.435, 0.366, 0.401]"
19,"[0.389, 0.332, 0.414, 0.351, 0.223, 0.431, 0.368, 0.402, 0.237, 0.372]"
20,"[0.278, 0.35, 0.339, 0.421, 0.348, 0.375, 0.258, 0.443, 0.397, 0.405]"
21,"[0.425, 0.333, 0.427, 0.379, 0.241, 0.431, 0.365, 0.403, 0.276, 0.343]"
22,"[0.356, 0.365, 0.344, 0.406, 0.361, 0.384, 0.304, 0.421, 0.397, 0.39]"
23,"[0.437, 0.326, 0.393, 0.371, 0.269, 0.404, 0.387, 0.414, 0.304, 0.366]"
24,"[0.393, 0.367, 0.365, 0.395, 0.401, 0.39, 0.357, 0.41, 0.383, 0.391]"
25,"[0.429, 0.315, 0.365, 0.363, 0.48, 0.386, 0.412, 0.412, 0.294, 0.517]"
26,"[0.444, 0.424, 0.383, 0.383, 0.498, 0.399, 0.516, 0.331, 0.336, 0.5]"
27,"[0.432, 0.36, 0.36, 0.342, 0.407, 0.336, 0.555, 0.426, 0.389, 0.463]"
28,"[0.412, 0.422, 0.402, 0.372, 0.445, 0.427, 0.486, 0.292, 0.334, 0.508]"
29,"[0.43, 0.366, 0.355, 0.366, 0.422, 0.312, 0.55, 0.413, 0.382, 0.411]"
30,"[0.439, 0.385, 0.378, 0.365, 0.396, 0.433, 0.531, 0.292, 0.34, 0.407]"
31,"[0.364, 0.312, 0.359, 0.408, 0.459, 0.308, 0.452, 0.418, 0.349, 0.484]"
32,"[0.296, 0.363, 0.277, 0.333, 0.343, 0.411, 0.449, 0.399, 0.325, 0.375]"
33,"[0.307, 0.269, 0.331, 0.39, 0.512, 0.358, 0.365, 0.374, 0.319, 0.542]"
34,"[0.277, 0.369, 0.205, 0.305, 0.322, 0.37, 0.353, 0.3, 0.235, 0.327]"
35,"[0.282, 0.19, 0.34, 0.313, 0.489, 0.447, 0.301, 0.353, 0.303, 0.548]"
36,"[0.291, 0.36, 0.232, 0.318, 0.33, 0.335, 0.342, 0.241, 0.189, 0.322]"
37,"[0.292, 0.189, 0.35, 0.339, 0.478, 0.272, 0.293, 0.32, 0.276, 0.534]"
38,"[0.343, 0.362, 0.222, 0.352, 0.337, 0.301, 0.326, 0.251, 0.203, 0.307]"
39,"[0.309, 0.196, 0.362, 0.348, 0.465, 0.222, 0.287, 0.313, 0.288, 0.511]"
40,"[0.371, 0.354, 0.224, 0.369, 0.303, 0.317, 0.329, 0.258, 0.195, 0.283]"
41,"[0.308, 0.172, 0.362, 0.304, 0.461, 0.238, 0.252, 0.33, 0.314, 0.494]"
42,"[0.385, 0.351, 0.206, 0.376, 0.291, 0.321, 0.35, 0.246, 0.192, 0.272]"
43,"[0.292, 0.168, 0.364, 0.273, 0.481, 0.234, 0.248, 0.344, 0.331, 0.463]"
44,"[0.383, 0.333, 0.193, 0.392, 0.281, 0.331, 0.364, 0.234, 0.167, 0.277]"
45,"[0.277, 0.165, 0.35, 0.247, 0.471, 0.237, 0.241, 0.355, 0.347, 0.446]"
46,"[0.382, 0.333, 0.176, 0.391, 0.29, 0.338, 0.405, 0.215, 0.142, 0.255]"
47,"[0.256, 0.149, 0.358, 0.232, 0.48, 0.236, 0.234, 0.37, 0.344, 0.447]"
48,"[0.356, 0.348, 0.177, 0.396, 0.302, 0.34, 0.406, 0.209, 0.141, 0.254]"
49,"[0.24, 0.135, 0.362, 0.224, 0.427, 0.237, 0.22, 0.382, 0.353, 0.456]"
50,"[0.297, 0.35, 0.163, 0.385, 0.293, 0.345, 0.399, 0.218, 0.142, 0.284]"
51,"[0.236, 0.135, 0.353, 0.227, 0.374, 0.239, 0.213, 0.374, 0.358, 0.472]"
52,"[0.283, 0.352, 0.159, 0.381, 0.289, 0.345, 0.404, 0.213, 0.143, 0.269]"
53,"[0.233, 0.128, 0.351, 0.224, 0.416, 0.235, 0.209, 0.38, 0.351, 0.474]"
54,"[0.268, 0.354, 0.148, 0.372, 0.326, 0.346, 0.388, 0.228, 0.147, 0.292]"
55,"[0.226, 0.128, 0.348, 0.232, 0.419, 0.238, 0.209, 0.375, 0.349, 0.458]"
56,"[0.255, 0.349, 0.143, 0.378, 0.335, 0.341, 0.391, 0.237, 0.148, 0.307]"
57,"[0.233, 0.128, 0.351, 0.238, 0.403, 0.241, 0.209, 0.371, 0.349, 0.396]"
58,"[0.254, 0.34, 0.146, 0.383, 0.37, 0.35, 0.381, 0.23, 0.147, 0.307]"
59,"[0.251, 0.128, 0.337, 0.234, 0.35, 0.24, 0.208, 0.346, 0.353, 0.295]"
60,"[0.254, 0.335, 0.14, 0.373, 0.411, 0.334, 0.371, 0.21, 0.148, 0.346]"
61,"[0.244, 0.129, 0.319, 0.228, 0.286, 0.234, 0.211, 0.362, 0.359, 0.261]"
62,"[0.242, 0.345, 0.142, 0.357, 0.434, 0.339, 0.377, 0.202, 0.153, 0.377]"
63,"[0.235, 0.13, 0.324, 0.228, 0.271, 0.232, 0.216, 0.373, 0.35, 0.287]"
64,"[0.246, 0.332, 0.163, 0.368, 0.441, 0.353, 0.37, 0.198, 0.151, 0.442]"
65,"[0.246, 0.132, 0.318, 0.23, 0.272, 0.238, 0.213, 0.37, 0.358, 0.316]"
66,"[0.272, 0.328, 0.168, 0.375, 0.444, 0.359, 0.351, 0.187, 0.152, 0.408]"
67,"[0.242, 0.132, 0.306, 0.228, 0.269, 0.232, 0.211, 0.375, 0.353, 0.349]"
68,"[0.273, 0.343, 0.168, 0.36, 0.437, 0.346, 0.352, 0.193, 0.155, 0.386]"
69,"[0.235, 0.133, 0.313, 0.227, 0.267, 0.23, 0.206, 0.377, 0.345, 0.341]"
70,"[0.266, 0.334, 0.171, 0.363, 0.444, 0.349, 0.356, 0.191, 0.153, 0.39]"
71,"[0.237, 0.133, 0.315, 0.224, 0.254, 0.236, 0.212, 0.365, 0.346, 0.352]"
72,"[0.282, 0.331, 0.167, 0.373, 0.455, 0.335, 0.355, 0.183, 0.153, 0.363]"
