eigenvector_centrality,[3 0]
0,"[0.088, 0.09, 0.085, 0.138, 0.091, 0.103, 0.093, 0.113, 0.091, 0.133]"
1,"[0.116, 0.085, 0.106, 0.117, 0.094, 0.102, 0.136, 0.085, 0.103, 0.101]"
2,"[0.095, 0.085, 0.122, 0.125, 0.094, 0.102, 0.092, 0.113, 0.1, 0.12]"
3,"[0.104, 0.122, 0.106, 0.164, 0.11, 0.185, 0.117, 0.085, 0.1, 0.12]"
4,"[0.227, 0.124, 0.168, 0.222, 0.196, 0.147, 0.092, 0.195, 0.288, 0.261]"
5,"[0.244, 0.253, 0.2, 0.311, 0.173, 0.276, 0.178, 0.16, 0.283, 0.366]"
6,"[0.173, 0.304, 0.4, 0.208, 0.329, 0.22, 0.212, 0.313, 0.289, 0.381]"
7,"[0.301, 0.434, 0.197, 0.436, 0.393, 0.455, 0.492, 0.227, 0.446, 0.31]"
8,"[0.246, 0.253, 0.277, 0.377, 0.349, 0.348, 0.364, 0.281, 0.354, 0.416]"
9,"[0.276, 0.285, 0.118, 0.536, 0.425, 0.311, 0.527, 0.137, 0.441, 0.28]"
10,"[0.156, 0.108, 0.282, 0.36, 0.36, 0.167, 0.357, 0.29, 0.294, 0.263]"
11,"[0.292, 0.293, 0.161, 0.339, 0.393, 0.284, 0.413, 0.132, 0.371, 0.219]"
12,"[0.158, 0.113, 0.328, 0.268, 0.356, 0.203, 0.433, 0.297, 0.257, 0.313]"
13,"[0.298, 0.299, 0.257, 0.308, 0.403, 0.294, 0.377, 0.125, 0.367, 0.254]"
14,"[0.182, 0.156, 0.365, 0.279, 0.388, 0.217, 0.425, 0.3, 0.353, 0.363]"
15,"[0.301, 0.301, 0.307, 0.331, 0.375, 0.302, 0.378, 0.157, 0.414, 0.266]"
16,"[0.199, 0.18, 0.376, 0.375, 0.403, 0.239, 0.41, 0.303, 0.367, 0.382]"
17,"[0.317, 0.306, 0.309, 0.371, 0.396, 0.31, 0.397, 0.174, 0.377, 0.272]"
18,"[0.182, 0.195, 0.387, 0.389, 0.418, 0.199, 0.433, 0.304, 0.37, 0.39]"
19,"[0.33, 0.308, 0.32, 0.371, 0.416, 0.321, 0.43, 0.174, 0.399, 0.348]"
20,"[0.176, 0.223, 0.402, 0.462, 0.486, 0.203, 0.451, 0.306, 0.403, 0.399]"
21,"[0.341, 0.322, 0.372, 0.387, 0.395, 0.339, 0.458, 0.175, 0.419, 0.431]"
22,"[0.2, 0.243, 0.417, 0.471, 0.506, 0.205, 0.474, 0.315, 0.444, 0.411]"
23,"[0.377, 0.33, 0.417, 0.422, 0.353, 0.361, 0.479, 0.186, 0.416, 0.446]"
24,"[0.3, 0.28, 0.421, 0.45, 0.426, 0.253, 0.462, 0.331, 0.453, 0.431]"
25,"[0.452, 0.337, 0.451, 0.548, 0.367, 0.373, 0.487, 0.215, 0.398, 0.416]"
26,"[0.535, 0.258, 0.533, 0.537, 0.496, 0.362, 0.467, 0.481, 0.479, 0.469]"
27,"[0.594, 0.424, 0.389, 0.571, 0.377, 0.518, 0.497, 0.229, 0.459, 0.431]"
28,"[0.518, 0.234, 0.484, 0.457, 0.453, 0.404, 0.398, 0.435, 0.427, 0.471]"
29,"[0.398, 0.34, 0.49, 0.365, 0.39, 0.431, 0.46, 0.283, 0.422, 0.52]"
30,"[0.539, 0.439, 0.35, 0.233, 0.43, 0.46, 0.365, 0.337, 0.406, 0.403]"
31,"[0.358, 0.309, 0.382, 0.188, 0.319, 0.366, 0.492, 0.418, 0.295, 0.423]"
32,"[0.531, 0.363, 0.297, 0.255, 0.36, 0.372, 0.303, 0.306, 0.35, 0.35]"
33,"[0.358, 0.308, 0.296, 0.244, 0.312, 0.325, 0.404, 0.362, 0.266, 0.335]"
34,"[0.51, 0.301, 0.345, 0.224, 0.294, 0.36, 0.298, 0.291, 0.278, 0.3]"
35,"[0.338, 0.29, 0.32, 0.322, 0.282, 0.303, 0.348, 0.273, 0.247, 0.271]"
36,"[0.5, 0.277, 0.406, 0.274, 0.251, 0.286, 0.291, 0.266, 0.233, 0.241]"
37,"[0.382, 0.25, 0.309, 0.371, 0.26, 0.263, 0.274, 0.245, 0.243, 0.223]"
38,"[0.41, 0.211, 0.347, 0.271, 0.246, 0.247, 0.268, 0.233, 0.219, 0.198]"
39,"[0.4, 0.193, 0.285, 0.354, 0.258, 0.216, 0.221, 0.243, 0.233, 0.192]"
40,"[0.382, 0.19, 0.344, 0.29, 0.221, 0.209, 0.222, 0.218, 0.177, 0.178]"
41,"[0.402, 0.186, 0.249, 0.348, 0.256, 0.189, 0.162, 0.238, 0.19, 0.181]"
42,"[0.36, 0.195, 0.332, 0.295, 0.231, 0.176, 0.199, 0.213, 0.152, 0.18]"
43,"[0.35, 0.19, 0.236, 0.3, 0.249, 0.175, 0.184, 0.235, 0.17, 0.175]"
44,"[0.311, 0.201, 0.34, 0.319, 0.23, 0.194, 0.223, 0.224, 0.151, 0.18]"
45,"[0.3, 0.186, 0.279, 0.301, 0.234, 0.2, 0.213, 0.241, 0.181, 0.182]"
46,"[0.311, 0.202, 0.346, 0.321, 0.225, 0.22, 0.213, 0.207, 0.181, 0.179]"
47,"[0.257, 0.186, 0.268, 0.346, 0.226, 0.211, 0.205, 0.24, 0.206, 0.185]"
48,"[0.302, 0.207, 0.321, 0.31, 0.227, 0.219, 0.178, 0.208, 0.185, 0.181]"
49,"[0.129, 0.194, 0.224, 0.425, 0.22, 0.208, 0.205, 0.241, 0.186, 0.192]"
50,"[0.265, 0.21, 0.319, 0.285, 0.24, 0.218, 0.179, 0.223, 0.178, 0.183]"
51,"[0.231, 0.195, 0.203, 0.339, 0.218, 0.207, 0.19, 0.24, 0.176, 0.187]"
52,"[0.286, 0.214, 0.354, 0.215, 0.221, 0.216, 0.193, 0.225, 0.181, 0.186]"
53,"[0.455, 0.193, 0.157, 0.296, 0.226, 0.208, 0.198, 0.244, 0.178, 0.189]"
54,"[0.308, 0.205, 0.369, 0.168, 0.22, 0.205, 0.192, 0.223, 0.179, 0.18]"
55,"[0.49, 0.191, 0.159, 0.28, 0.224, 0.212, 0.206, 0.235, 0.179, 0.184]"
56,"[0.322, 0.205, 0.367, 0.371, 0.211, 0.198, 0.212, 0.217, 0.183, 0.178]"
57,"[0.535, 0.196, 0.206, 0.269, 0.227, 0.221, 0.214, 0.231, 0.189, 0.189]"
58,"[0.357, 0.201, 0.378, 0.361, 0.213, 0.201, 0.231, 0.223, 0.19, 0.189]"
59,"[0.503, 0.207, 0.292, 0.252, 0.221, 0.229, 0.19, 0.231, 0.187, 0.19]"
60,"[0.351, 0.207, 0.371, 0.302, 0.217, 0.187, 0.244, 0.223, 0.198, 0.208]"
61,"[0.503, 0.209, 0.3, 0.303, 0.218, 0.231, 0.19, 0.22, 0.194, 0.192]"
62,"[0.368, 0.2, 0.329, 0.263, 0.224, 0.188, 0.258, 0.224, 0.198, 0.2]"
63,"[0.494, 0.206, 0.298, 0.431, 0.209, 0.235, 0.199, 0.215, 0.206, 0.2]"
64,"[0.366, 0.201, 0.334, 0.256, 0.215, 0.172, 0.25, 0.238, 0.205, 0.197]"
65,"[0.446, 0.212, 0.277, 0.451, 0.207, 0.227, 0.194, 0.207, 0.217, 0.206]"
66,"[0.318, 0.207, 0.352, 0.266, 0.219, 0.17, 0.248, 0.245, 0.212, 0.2]"
67,"[0.458, 0.205, 0.253, 0.423, 0.204, 0.225, 0.182, 0.21, 0.204, 0.195]"
68,"[0.31, 0.198, 0.36, 0.283, 0.217, 0.155, 0.241, 0.257, 0.202, 0.201]"
69,"[0.463, 0.197, 0.207, 0.453, 0.201, 0.22, 0.178, 0.211, 0.202, 0.191]"
70,"[0.331, 0.2, 0.389, 0.312, 0.21, 0.15, 0.237, 0.257, 0.197, 0.207]"
71,"[0.477, 0.204, 0.206, 0.439, 0.201, 0.221, 0.167, 0.207, 0.202, 0.189]"
72,"[0.366, 0.202, 0.412, 0.317, 0.221, 0.152, 0.24, 0.266, 0.19, 0.208]"
73,"[0.478, 0.216, 0.236, 0.408, 0.216, 0.228, 0.199, 0.211, 0.198, 0.187]"
74,"[0.367, 0.21, 0.43, 0.324, 0.217, 0.18, 0.26, 0.27, 0.197, 0.214]"
75,"[0.479, 0.225, 0.22, 0.327, 0.212, 0.238, 0.211, 0.212, 0.219, 0.193]"
76,"[0.36, 0.21, 0.409, 0.286, 0.221, 0.182, 0.255, 0.272, 0.203, 0.214]"
77,"[0.476, 0.222, 0.18, 0.283, 0.215, 0.249, 0.197, 0.213, 0.222, 0.205]"
78,"[0.348, 0.195, 0.366, 0.425, 0.225, 0.154, 0.23, 0.281, 0.211, 0.208]"
79,"[0.494, 0.244, 0.218, 0.267, 0.23, 0.245, 0.177, 0.213, 0.219, 0.204]"
80,"[0.303, 0.193, 0.401, 0.486, 0.241, 0.126, 0.238, 0.27, 0.196, 0.207]"
81,"[0.525, 0.245, 0.251, 0.266, 0.26, 0.251, 0.18, 0.215, 0.208, 0.197]"
82,"[0.283, 0.174, 0.398, 0.432, 0.233, 0.124, 0.249, 0.275, 0.194, 0.2]"
83,"[0.515, 0.246, 0.236, 0.344, 0.235, 0.25, 0.172, 0.212, 0.238, 0.196]"
84,"[0.286, 0.137, 0.378, 0.275, 0.22, 0.122, 0.249, 0.304, 0.188, 0.207]"
85,"[0.474, 0.246, 0.185, 0.291, 0.239, 0.258, 0.143, 0.189, 0.225, 0.19]"
86,"[0.332, 0.108, 0.369, 0.35, 0.23, 0.126, 0.265, 0.322, 0.144, 0.218]"
87,"[0.46, 0.274, 0.188, 0.293, 0.247, 0.268, 0.139, 0.152, 0.243, 0.202]"
88,"[0.365, 0.112, 0.394, 0.386, 0.224, 0.134, 0.293, 0.339, 0.116, 0.245]"
89,"[0.461, 0.292, 0.217, 0.302, 0.301, 0.287, 0.15, 0.15, 0.269, 0.195]"
90,"[0.294, 0.12, 0.408, 0.442, 0.257, 0.144, 0.324, 0.347, 0.133, 0.259]"
91,"[0.48, 0.323, 0.228, 0.315, 0.326, 0.32, 0.166, 0.156, 0.306, 0.212]"
92,"[0.382, 0.13, 0.381, 0.409, 0.228, 0.159, 0.349, 0.333, 0.14, 0.249]"
93,"[0.484, 0.323, 0.245, 0.287, 0.328, 0.322, 0.165, 0.157, 0.302, 0.221]"
94,"[0.432, 0.136, 0.36, 0.464, 0.227, 0.162, 0.337, 0.327, 0.147, 0.249]"
95,"[0.464, 0.296, 0.239, 0.317, 0.3, 0.296, 0.166, 0.167, 0.29, 0.215]"
96,"[0.531, 0.144, 0.368, 0.495, 0.221, 0.166, 0.328, 0.312, 0.146, 0.243]"
97,"[0.429, 0.285, 0.283, 0.32, 0.284, 0.279, 0.168, 0.167, 0.287, 0.215]"
98,"[0.501, 0.144, 0.393, 0.427, 0.205, 0.168, 0.326, 0.295, 0.146, 0.243]"
99,"[0.427, 0.262, 0.262, 0.447, 0.275, 0.277, 0.166, 0.161, 0.277, 0.171]"
