eigenvector_centrality,[8 4]
0,"[0.102, 0.147, 0.169, 0.187, 0.11, 0.108, 0.109, 0.119, 0.092, 0.091]"
1,"[0.102, 0.185, 0.096, 0.189, 0.121, 0.186, 0.184, 0.198, 0.091, 0.144]"
2,"[0.222, 0.195, 0.333, 0.206, 0.121, 0.182, 0.168, 0.098, 0.178, 0.155]"
3,"[0.14, 0.207, 0.27, 0.214, 0.202, 0.292, 0.261, 0.188, 0.255, 0.18]"
4,"[0.292, 0.281, 0.404, 0.332, 0.182, 0.245, 0.196, 0.415, 0.199, 0.109]"
5,"[0.187, 0.295, 0.331, 0.299, 0.192, 0.277, 0.347, 0.416, 0.32, 0.181]"
6,"[0.266, 0.279, 0.333, 0.422, 0.256, 0.205, 0.392, 0.386, 0.353, 0.177]"
7,"[0.192, 0.263, 0.405, 0.269, 0.209, 0.305, 0.435, 0.224, 0.398, 0.273]"
8,"[0.23, 0.305, 0.304, 0.287, 0.242, 0.307, 0.345, 0.375, 0.311, 0.271]"
9,"[0.227, 0.287, 0.395, 0.336, 0.189, 0.316, 0.388, 0.193, 0.285, 0.26]"
10,"[0.267, 0.272, 0.232, 0.304, 0.245, 0.322, 0.321, 0.245, 0.249, 0.343]"
11,"[0.265, 0.228, 0.376, 0.256, 0.21, 0.316, 0.366, 0.237, 0.397, 0.332]"
12,"[0.328, 0.286, 0.268, 0.257, 0.29, 0.352, 0.245, 0.299, 0.326, 0.326]"
13,"[0.352, 0.336, 0.401, 0.258, 0.283, 0.302, 0.315, 0.309, 0.398, 0.286]"
14,"[0.413, 0.365, 0.305, 0.278, 0.294, 0.418, 0.267, 0.351, 0.423, 0.28]"
15,"[0.465, 0.431, 0.465, 0.275, 0.36, 0.33, 0.312, 0.406, 0.333, 0.259]"
16,"[0.406, 0.46, 0.395, 0.32, 0.338, 0.366, 0.324, 0.427, 0.306, 0.246]"
17,"[0.466, 0.405, 0.469, 0.31, 0.44, 0.367, 0.324, 0.481, 0.351, 0.27]"
18,"[0.427, 0.46, 0.394, 0.443, 0.359, 0.359, 0.359, 0.44, 0.3, 0.246]"
19,"[0.484, 0.434, 0.318, 0.388, 0.44, 0.363, 0.403, 0.484, 0.405, 0.271]"
20,"[0.466, 0.503, 0.391, 0.421, 0.359, 0.336, 0.518, 0.412, 0.367, 0.323]"
21,"[0.516, 0.533, 0.249, 0.378, 0.386, 0.344, 0.403, 0.507, 0.457, 0.286]"
22,"[0.507, 0.476, 0.358, 0.435, 0.344, 0.325, 0.47, 0.35, 0.378, 0.401]"
23,"[0.346, 0.475, 0.44, 0.375, 0.312, 0.324, 0.351, 0.521, 0.399, 0.296]"
24,"[0.462, 0.418, 0.45, 0.498, 0.383, 0.394, 0.497, 0.443, 0.318, 0.497]"
25,"[0.245, 0.29, 0.462, 0.428, 0.492, 0.348, 0.413, 0.527, 0.442, 0.315]"
26,"[0.516, 0.43, 0.452, 0.463, 0.502, 0.466, 0.554, 0.481, 0.529, 0.578]"
27,"[0.491, 0.376, 0.443, 0.444, 0.521, 0.44, 0.452, 0.496, 0.491, 0.432]"
28,"[0.488, 0.382, 0.464, 0.423, 0.438, 0.46, 0.498, 0.429, 0.407, 0.497]"
29,"[0.416, 0.449, 0.377, 0.354, 0.458, 0.385, 0.476, 0.409, 0.484, 0.521]"
30,"[0.518, 0.366, 0.35, 0.386, 0.356, 0.4, 0.407, 0.376, 0.464, 0.48]"
31,"[0.341, 0.388, 0.431, 0.282, 0.516, 0.38, 0.348, 0.373, 0.456, 0.441]"
32,"[0.422, 0.33, 0.379, 0.406, 0.279, 0.402, 0.381, 0.366, 0.448, 0.401]"
33,"[0.339, 0.3, 0.382, 0.32, 0.543, 0.331, 0.333, 0.326, 0.407, 0.346]"
34,"[0.306, 0.283, 0.321, 0.268, 0.271, 0.326, 0.318, 0.316, 0.508, 0.312]"
35,"[0.299, 0.292, 0.274, 0.255, 0.593, 0.291, 0.291, 0.297, 0.334, 0.326]"
36,"[0.25, 0.256, 0.242, 0.205, 0.273, 0.292, 0.266, 0.236, 0.577, 0.304]"
37,"[0.249, 0.257, 0.205, 0.178, 0.612, 0.239, 0.241, 0.226, 0.292, 0.326]"
38,"[0.227, 0.237, 0.2, 0.167, 0.274, 0.239, 0.228, 0.198, 0.536, 0.339]"
39,"[0.236, 0.241, 0.204, 0.164, 0.613, 0.215, 0.209, 0.191, 0.317, 0.335]"
40,"[0.222, 0.226, 0.216, 0.094, 0.278, 0.223, 0.203, 0.189, 0.534, 0.338]"
41,"[0.225, 0.23, 0.222, 0.093, 0.561, 0.219, 0.199, 0.201, 0.322, 0.349]"
42,"[0.223, 0.225, 0.227, 0.1, 0.278, 0.243, 0.201, 0.203, 0.515, 0.332]"
43,"[0.232, 0.245, 0.237, 0.096, 0.5, 0.23, 0.205, 0.214, 0.33, 0.349]"
44,"[0.228, 0.229, 0.225, 0.168, 0.262, 0.268, 0.233, 0.207, 0.461, 0.329]"
45,"[0.234, 0.25, 0.252, 0.17, 0.481, 0.22, 0.208, 0.211, 0.324, 0.338]"
46,"[0.223, 0.234, 0.215, 0.181, 0.253, 0.257, 0.234, 0.207, 0.397, 0.337]"
47,"[0.234, 0.242, 0.236, 0.17, 0.444, 0.216, 0.213, 0.205, 0.268, 0.316]"
48,"[0.216, 0.231, 0.18, 0.117, 0.254, 0.267, 0.234, 0.211, 0.245, 0.33]"
49,"[0.23, 0.255, 0.22, 0.145, 0.443, 0.177, 0.216, 0.138, 0.201, 0.279]"
50,"[0.231, 0.24, 0.146, 0.097, 0.265, 0.278, 0.261, 0.205, 0.214, 0.332]"
51,"[0.228, 0.251, 0.215, 0.095, 0.451, 0.107, 0.216, 0.106, 0.15, 0.241]"
52,"[0.232, 0.234, 0.144, 0.093, 0.296, 0.271, 0.149, 0.151, 0.226, 0.295]"
53,"[0.219, 0.237, 0.181, 0.093, 0.486, 0.094, 0.113, 0.106, 0.219, 0.171]"
54,"[0.108, 0.13, 0.134, 0.093, 0.3, 0.276, 0.132, 0.104, 0.397, 0.329]"
55,"[0.122, 0.242, 0.115, 0.093, 0.427, 0.114, 0.109, 0.121, 0.131, 0.21]"
56,"[0.113, 0.161, 0.124, 0.096, 0.408, 0.266, 0.195, 0.106, 0.336, 0.337]"
57,"[0.111, 0.198, 0.118, 0.093, 0.228, 0.104, 0.11, 0.115, 0.118, 0.26]"
58,"[0.134, 0.142, 0.123, 0.094, 0.48, 0.286, 0.266, 0.105, 0.214, 0.327]"
59,"[0.133, 0.195, 0.129, 0.093, 0.246, 0.102, 0.11, 0.113, 0.166, 0.271]"
60,"[0.109, 0.117, 0.122, 0.093, 0.514, 0.287, 0.188, 0.104, 0.237, 0.279]"
