out_deg_centrality,[7. 9.]
44,"[0.21, 0.333, 0.105, 0.124, 0.108, 0.106, 0.323, 0.098, 0.241, 0.091]"
45,"[0.102, 0.099, 0.125, 0.17, 0.183, 0.217, 0.089, 0.229, 0.098, 0.308]"
46,"[0.302, 0.371, 0.105, 0.124, 0.102, 0.106, 0.322, 0.098, 0.327, 0.091]"
47,"[0.102, 0.099, 0.169, 0.2, 0.218, 0.302, 0.089, 0.194, 0.098, 0.312]"
48,"[0.317, 0.375, 0.115, 0.13, 0.1, 0.106, 0.333, 0.111, 0.303, 0.091]"
49,"[0.102, 0.099, 0.214, 0.265, 0.239, 0.33, 0.089, 0.305, 0.098, 0.303]"
50,"[0.318, 0.31, 0.159, 0.188, 0.123, 0.113, 0.293, 0.111, 0.267, 0.091]"
51,"[0.105, 0.099, 0.292, 0.319, 0.271, 0.309, 0.09, 0.263, 0.105, 0.264]"
52,"[0.299, 0.271, 0.213, 0.238, 0.15, 0.147, 0.253, 0.136, 0.25, 0.091]"
53,"[0.126, 0.099, 0.295, 0.324, 0.21, 0.25, 0.101, 0.273, 0.129, 0.268]"
54,"[0.218, 0.208, 0.289, 0.25, 0.178, 0.186, 0.174, 0.208, 0.2, 0.091]"
55,"[0.17, 0.126, 0.196, 0.227, 0.18, 0.176, 0.19, 0.282, 0.365, 0.274]"
56,"[0.168, 0.154, 0.227, 0.196, 0.306, 0.306, 0.131, 0.301, 0.18, 0.13]"
57,"[0.282, 0.294, 0.118, 0.129, 0.179, 0.131, 0.283, 0.206, 0.381, 0.225]"
58,"[0.177, 0.172, 0.199, 0.23, 0.325, 0.29, 0.149, 0.247, 0.139, 0.176]"
59,"[0.281, 0.305, 0.127, 0.269, 0.164, 0.155, 0.286, 0.217, 0.418, 0.249]"
60,"[0.222, 0.217, 0.344, 0.282, 0.223, 0.193, 0.162, 0.188, 0.24, 0.113]"
61,"[0.163, 0.189, 0.194, 0.174, 0.163, 0.224, 0.189, 0.374, 0.197, 0.327]"
62,"[0.202, 0.166, 0.167, 0.246, 0.172, 0.172, 0.174, 0.101, 0.185, 0.092]"
63,"[0.162, 0.142, 0.182, 0.124, 0.253, 0.264, 0.169, 0.205, 0.15, 0.305]"
64,"[0.23, 0.182, 0.283, 0.214, 0.174, 0.157, 0.192, 0.101, 0.204, 0.112]"
65,"[0.16, 0.157, 0.189, 0.123, 0.351, 0.261, 0.167, 0.207, 0.165, 0.198]"
66,"[0.273, 0.236, 0.348, 0.215, 0.172, 0.128, 0.251, 0.101, 0.26, 0.174]"
67,"[0.161, 0.147, 0.181, 0.121, 0.303, 0.263, 0.159, 0.207, 0.166, 0.217]"
68,"[0.252, 0.235, 0.253, 0.243, 0.157, 0.109, 0.216, 0.1, 0.247, 0.176]"
69,"[0.158, 0.126, 0.145, 0.12, 0.276, 0.258, 0.127, 0.209, 0.171, 0.258]"
70,"[0.253, 0.237, 0.265, 0.222, 0.133, 0.107, 0.223, 0.099, 0.248, 0.168]"
71,"[0.162, 0.122, 0.111, 0.12, 0.302, 0.253, 0.112, 0.219, 0.147, 0.264]"
72,"[0.287, 0.269, 0.344, 0.236, 0.127, 0.106, 0.241, 0.099, 0.261, 0.137]"
73,"[0.159, 0.121, 0.099, 0.121, 0.341, 0.283, 0.113, 0.237, 0.109, 0.281]"
74,"[0.318, 0.286, 0.352, 0.253, 0.123, 0.105, 0.279, 0.099, 0.28, 0.104]"
75,"[0.138, 0.105, 0.098, 0.121, 0.338, 0.302, 0.099, 0.192, 0.099, 0.27]"
76,"[0.283, 0.266, 0.29, 0.258, 0.172, 0.116, 0.266, 0.098, 0.263, 0.097]"
77,"[0.146, 0.11, 0.121, 0.121, 0.314, 0.285, 0.114, 0.222, 0.106, 0.312]"
78,"[0.313, 0.296, 0.278, 0.275, 0.187, 0.166, 0.284, 0.098, 0.3, 0.093]"
79,"[0.165, 0.158, 0.194, 0.127, 0.267, 0.277, 0.168, 0.232, 0.157, 0.298]"
80,"[0.313, 0.302, 0.279, 0.252, 0.22, 0.165, 0.264, 0.099, 0.307, 0.133]"
81,"[0.166, 0.184, 0.194, 0.14, 0.287, 0.268, 0.176, 0.231, 0.179, 0.31]"
