out_deg_centrality,[7.]
18,"[tensor(2.0601), tensor(2.0991), tensor(1.9626), tensor(1.9871), tensor(2.0668), tensor(1.9718), tensor(2.0373), tensor(1.9804), tensor(2.0215), tensor(1.9401)]"
19,"[tensor(1.9632), tensor(1.9355), tensor(2.0087), tensor(2.0115), tensor(1.9462), tensor(1.9798), tensor(1.9724), tensor(2.0702), tensor(1.9942), tensor(2.0623)]"
20,"[tensor(1.9843), tensor(2.0592), tensor(1.9475), tensor(1.9730), tensor(2.0262), tensor(1.9722), tensor(1.9635), tensor(1.9553), tensor(1.9638), tensor(1.9119)]"
21,"[tensor(1.9731), tensor(1.9074), tensor(1.9553), tensor(1.9743), tensor(1.9104), tensor(1.9331), tensor(1.9878), tensor(2.0044), tensor(2.0022), tensor(2.0053)]"
22,"[tensor(1.9091), tensor(2.0072), tensor(1.9526), tensor(1.9656), tensor(1.9781), tensor(1.9636), tensor(1.9071), tensor(1.9658), tensor(1.9250), tensor(1.8896)]"
23,"[tensor(1.9790), tensor(1.8985), tensor(1.9164), tensor(1.9337), tensor(1.8919), tensor(1.9043), tensor(1.9946), tensor(1.9570), tensor(1.9987), tensor(1.9392)]"
24,"[tensor(1.8606), tensor(1.9353), tensor(1.9296), tensor(1.9420), tensor(1.9333), tensor(1.9509), tensor(1.8637), tensor(1.9655), tensor(1.8954), tensor(1.8984)]"
25,"[tensor(1.9742), tensor(1.9016), tensor(1.8797), tensor(1.8948), tensor(1.8757), tensor(1.8722), tensor(1.9822), tensor(1.9181), tensor(1.9754), tensor(1.8714)]"
26,"[tensor(1.8261), tensor(1.8662), tensor(1.9061), tensor(1.9161), tensor(1.8934), tensor(1.9289), tensor(1.8311), tensor(1.8839), tensor(1.8691), tensor(1.9046)]"
27,"[tensor(1.8862), tensor(1.8591), tensor(1.8319), tensor(1.8317), tensor(1.8341), tensor(1.7640), tensor(1.8931), tensor(1.9386), tensor(1.8771), tensor(1.8026)]"
28,"[tensor(1.7678), tensor(1.8073), tensor(1.8517), tensor(1.8792), tensor(1.8799), tensor(1.8587), tensor(1.7463), tensor(1.8500), tensor(1.8023), tensor(1.8612)]"
29,"[tensor(1.8136), tensor(1.8109), tensor(1.7845), tensor(1.8024), tensor(1.8160), tensor(1.7372), tensor(1.7966), tensor(1.8697), tensor(1.7956), tensor(1.7691)]"
30,"[tensor(1.8118), tensor(1.8091), tensor(1.7959), tensor(1.8397), tensor(1.8338), tensor(1.7704), tensor(1.7551), tensor(1.8230), tensor(1.7804), tensor(1.8279)]"
31,"[tensor(1.7885), tensor(1.7864), tensor(1.7701), tensor(1.7888), tensor(1.8153), tensor(1.7392), tensor(1.7838), tensor(1.8458), tensor(1.8057), tensor(1.7779)]"
32,"[tensor(1.8054), tensor(1.8064), tensor(1.8259), tensor(1.8349), tensor(1.8191), tensor(1.7950), tensor(1.7699), tensor(1.8119), tensor(1.7814), tensor(1.8263)]"
33,"[tensor(1.7765), tensor(1.7809), tensor(1.7507), tensor(1.7790), tensor(1.7963), tensor(1.7162), tensor(1.7650), tensor(1.8535), tensor(1.7652), tensor(1.7729)]"
34,"[tensor(1.7704), tensor(1.7814), tensor(1.7618), tensor(1.8160), tensor(1.8114), tensor(1.7353), tensor(1.7114), tensor(1.7840), tensor(1.7347), tensor(1.8005)]"
35,"[tensor(1.7401), tensor(1.7494), tensor(1.7142), tensor(1.7461), tensor(1.7626), tensor(1.6789), tensor(1.7266), tensor(1.8068), tensor(1.7270), tensor(1.7436)]"
36,"[tensor(1.7359), tensor(1.7456), tensor(1.7283), tensor(1.7761), tensor(1.7673), tensor(1.6968), tensor(1.6944), tensor(1.7636), tensor(1.7173), tensor(1.7571)]"
37,"[tensor(1.7214), tensor(1.7242), tensor(1.7247), tensor(1.7191), tensor(1.7347), tensor(1.6913), tensor(1.7330), tensor(1.7545), tensor(1.7500), tensor(1.7266)]"
38,"[tensor(1.7161), tensor(1.7337), tensor(1.7193), tensor(1.7591), tensor(1.7357), tensor(1.6941), tensor(1.6887), tensor(1.7670), tensor(1.7134), tensor(1.7377)]"
39,"[tensor(1.7541), tensor(1.7488), tensor(1.7361), tensor(1.7463), tensor(1.7555), tensor(1.7098), tensor(1.7595), tensor(1.7076), tensor(1.7776), tensor(1.7453)]"
40,"[tensor(1.7314), tensor(1.7352), tensor(1.7475), tensor(1.7634), tensor(1.7394), tensor(1.7305), tensor(1.7213), tensor(1.8066), tensor(1.7439), tensor(1.7523)]"
41,"[tensor(1.8086), tensor(1.7949), tensor(1.7674), tensor(1.7851), tensor(1.7940), tensor(1.7580), tensor(1.7973), tensor(1.6878), tensor(1.8098), tensor(1.7825)]"
42,"[tensor(1.7685), tensor(1.7409), tensor(1.7751), tensor(1.7700), tensor(1.7382), tensor(1.7675), tensor(1.7617), tensor(1.8619), tensor(1.7810), tensor(1.7816)]"
43,"[tensor(1.8380), tensor(1.8335), tensor(1.7900), tensor(1.8186), tensor(1.8236), tensor(1.7730), tensor(1.8223), tensor(1.7084), tensor(1.8267), tensor(1.7998)]"
44,"[tensor(1.7729), tensor(1.7333), tensor(1.7977), tensor(1.7499), tensor(1.7403), tensor(1.7953), tensor(1.7572), tensor(1.8796), tensor(1.7648), tensor(1.7879)]"
45,"[tensor(1.8245), tensor(1.8291), tensor(1.7767), tensor(1.8090), tensor(1.8191), tensor(1.7461), tensor(1.8083), tensor(1.7302), tensor(1.8066), tensor(1.7822)]"
46,"[tensor(1.7562), tensor(1.7360), tensor(1.7996), tensor(1.7382), tensor(1.7388), tensor(1.7862), tensor(1.7556), tensor(1.8639), tensor(1.7609), tensor(1.8042)]"
47,"[tensor(1.8103), tensor(1.8340), tensor(1.7862), tensor(1.8236), tensor(1.8051), tensor(1.7449), tensor(1.8043), tensor(1.7358), tensor(1.8011), tensor(1.7842)]"
48,"[tensor(1.7816), tensor(1.7819), tensor(1.8072), tensor(1.7576), tensor(1.7472), tensor(1.7972), tensor(1.7869), tensor(1.8737), tensor(1.7844), tensor(1.8302)]"
49,"[tensor(1.8308), tensor(1.8587), tensor(1.8070), tensor(1.8688), tensor(1.8203), tensor(1.7734), tensor(1.8280), tensor(1.7446), tensor(1.8274), tensor(1.8124)]"
50,"[tensor(1.8120), tensor(1.8199), tensor(1.8249), tensor(1.7951), tensor(1.7746), tensor(1.8261), tensor(1.8187), tensor(1.9067), tensor(1.8154), tensor(1.8585)]"
51,"[tensor(1.8614), tensor(1.8824), tensor(1.8237), tensor(1.9090), tensor(1.8462), tensor(1.8016), tensor(1.8443), tensor(1.7815), tensor(1.8469), tensor(1.8252)]"
52,"[tensor(1.8205), tensor(1.8274), tensor(1.8354), tensor(1.7940), tensor(1.7821), tensor(1.8455), tensor(1.8215), tensor(1.9517), tensor(1.8112), tensor(1.8634)]"
53,"[tensor(1.8912), tensor(1.9077), tensor(1.8328), tensor(1.9357), tensor(1.8751), tensor(1.7993), tensor(1.8646), tensor(1.8609), tensor(1.8679), tensor(1.8062)]"
54,"[tensor(1.8218), tensor(1.8212), tensor(1.8430), tensor(1.7994), tensor(1.8060), tensor(1.8596), tensor(1.8005), tensor(1.9772), tensor(1.8051), tensor(1.8235)]"
55,"[tensor(1.8755), tensor(1.8975), tensor(1.7808), tensor(1.9289), tensor(1.8763), tensor(1.7591), tensor(1.8230), tensor(1.8751), tensor(1.8152), tensor(1.7542)]"
56,"[tensor(1.8200), tensor(1.8175), tensor(1.8215), tensor(1.8026), tensor(1.8271), tensor(1.8172), tensor(1.7893), tensor(1.9393), tensor(1.8164), tensor(1.8273)]"
57,"[tensor(1.8448), tensor(1.8798), tensor(1.7704), tensor(1.9095), tensor(1.8505), tensor(1.7376), tensor(1.7971), tensor(1.8723), tensor(1.7881), tensor(1.7347)]"
58,"[tensor(1.8145), tensor(1.8160), tensor(1.8135), tensor(1.7967), tensor(1.8329), tensor(1.7977), tensor(1.7924), tensor(1.9252), tensor(1.8200), tensor(1.8204)]"
59,"[tensor(1.8549), tensor(1.8864), tensor(1.8076), tensor(1.9155), tensor(1.8616), tensor(1.7831), tensor(1.8253), tensor(1.8380), tensor(1.8091), tensor(1.8110)]"
60,"[tensor(1.8015), tensor(1.7983), tensor(1.8373), tensor(1.7782), tensor(1.8159), tensor(1.8123), tensor(1.8036), tensor(1.9581), tensor(1.8337), tensor(1.8232)]"
61,"[tensor(1.8802), tensor(1.9098), tensor(1.8494), tensor(1.9413), tensor(1.8938), tensor(1.8375), tensor(1.8524), tensor(1.7944), tensor(1.8332), tensor(1.8771)]"
62,"[tensor(1.7642), tensor(1.7672), tensor(1.8360), tensor(1.7621), tensor(1.7859), tensor(1.7841), tensor(1.7787), tensor(1.9989), tensor(1.8196), tensor(1.7542)]"
63,"[tensor(1.8793), tensor(1.9044), tensor(1.8537), tensor(1.9412), tensor(1.9154), tensor(1.8577), tensor(1.8441), tensor(1.7595), tensor(1.8356), tensor(1.8849)]"
64,"[tensor(1.7433), tensor(1.7390), tensor(1.8306), tensor(1.7403), tensor(1.7575), tensor(1.7685), tensor(1.7670), tensor(2.0064), tensor(1.8116), tensor(1.7328)]"
65,"[tensor(1.8788), tensor(1.8974), tensor(1.8526), tensor(1.9407), tensor(1.9199), tensor(1.8596), tensor(1.8272), tensor(1.7306), tensor(1.8299), tensor(1.8872)]"
66,"[tensor(1.7488), tensor(1.7326), tensor(1.8466), tensor(1.7358), tensor(1.7467), tensor(1.7890), tensor(1.7836), tensor(2.0068), tensor(1.8237), tensor(1.7309)]"
67,"[tensor(1.9009), tensor(1.9178), tensor(1.8762), tensor(1.9573), tensor(1.9375), tensor(1.8913), tensor(1.8451), tensor(1.7216), tensor(1.8553), tensor(1.9088)]"
68,"[tensor(1.7775), tensor(1.7519), tensor(1.8771), tensor(1.7511), tensor(1.7558), tensor(1.8319), tensor(1.8303), tensor(2.0248), tensor(1.8653), tensor(1.7521)]"
69,"[tensor(1.9291), tensor(1.9508), tensor(1.9115), tensor(1.9891), tensor(1.9595), tensor(1.9249), tensor(1.8802), tensor(1.7475), tensor(1.8849), tensor(1.9412)]"
70,"[tensor(1.8149), tensor(1.7851), tensor(1.8998), tensor(1.7791), tensor(1.7778), tensor(1.8715), tensor(1.8755), tensor(2.0421), tensor(1.8966), tensor(1.7849)]"
71,"[tensor(1.9371), tensor(1.9580), tensor(1.9330), tensor(2.0035), tensor(1.9672), tensor(1.9340), tensor(1.8976), tensor(1.7727), tensor(1.9034), tensor(1.9528)]"
72,"[tensor(1.8263), tensor(1.8000), tensor(1.8811), tensor(1.8010), tensor(1.7928), tensor(1.8659), tensor(1.8597), tensor(2.0460), tensor(1.8670), tensor(1.7974)]"
73,"[tensor(1.9137), tensor(1.9348), tensor(1.9014), tensor(1.9883), tensor(1.9551), tensor(1.9002), tensor(1.8737), tensor(1.7670), tensor(1.8848), tensor(1.9312)]"
74,"[tensor(1.8191), tensor(1.7996), tensor(1.8482), tensor(1.8040), tensor(1.7941), tensor(1.8288), tensor(1.8234), tensor(2.0294), tensor(1.8304), tensor(1.7872)]"
75,"[tensor(1.9108), tensor(1.9208), tensor(1.8932), tensor(1.9784), tensor(1.9502), tensor(1.8811), tensor(1.8744), tensor(1.7517), tensor(1.8914), tensor(1.9251)]"
76,"[tensor(1.8122), tensor(1.8051), tensor(1.8497), tensor(1.7971), tensor(1.7896), tensor(1.8220), tensor(1.8209), tensor(2.0225), tensor(1.8180), tensor(1.7887)]"
77,"[tensor(1.9179), tensor(1.9269), tensor(1.9054), tensor(1.9723), tensor(1.9545), tensor(1.8928), tensor(1.8871), tensor(1.7510), tensor(1.8976), tensor(1.9247)]"
78,"[tensor(1.8247), tensor(1.8183), tensor(1.8752), tensor(1.8035), tensor(1.7991), tensor(1.8409), tensor(1.8286), tensor(2.0179), tensor(1.8382), tensor(1.8087)]"
79,"[tensor(1.9363), tensor(1.9382), tensor(1.9299), tensor(1.9748), tensor(1.9644), tensor(1.9115), tensor(1.9143), tensor(1.7704), tensor(1.9236), tensor(1.9289)]"
80,"[tensor(1.8453), tensor(1.8488), tensor(1.8995), tensor(1.8240), tensor(1.8319), tensor(1.8821), tensor(1.8436), tensor(2.0226), tensor(1.8575), tensor(1.8398)]"
81,"[tensor(1.9539), tensor(1.9608), tensor(1.9508), tensor(1.9860), tensor(1.9740), tensor(1.9261), tensor(1.9477), tensor(1.7947), tensor(1.9465), tensor(1.9405)]"
82,"[tensor(1.8717), tensor(1.8775), tensor(1.9400), tensor(1.8496), tensor(1.8554), tensor(1.9558), tensor(1.8930), tensor(2.0339), tensor(1.9039), tensor(1.8802)]"
83,"[tensor(1.9954), tensor(1.9937), tensor(1.9897), tensor(2.0220), tensor(2.0002), tensor(1.9683), tensor(1.9909), tensor(1.8097), tensor(1.9905), tensor(1.9712)]"
84,"[tensor(1.8903), tensor(1.9127), tensor(1.9708), tensor(1.8807), tensor(1.8763), tensor(2.0287), tensor(1.9251), tensor(2.0629), tensor(1.9241), tensor(1.9391)]"
85,"[tensor(2.0342), tensor(2.0062), tensor(2.0215), tensor(2.0460), tensor(2.0133), tensor(1.9744), tensor(2.0410), tensor(1.8205), tensor(2.0383), tensor(1.9828)]"
86,"[tensor(1.8948), tensor(1.9561), tensor(1.9570), tensor(1.9061), tensor(1.9141), tensor(2.0701), tensor(1.8899), tensor(2.0920), tensor(1.9061), tensor(2.0215)]"
87,"[tensor(2.0907), tensor(2.0024), tensor(2.0418), tensor(2.0472), tensor(2.0114), tensor(1.9226), tensor(2.0949), tensor(1.8191), tensor(2.0973), tensor(1.9389)]"
88,"[tensor(1.8397), tensor(1.9553), tensor(1.9116), tensor(1.9013), tensor(1.9759), tensor(2.0968), tensor(1.8462), tensor(2.1035), tensor(1.8708), tensor(2.0853)]"
89,"[tensor(2.1427), tensor(1.9873), tensor(2.0256), tensor(2.0309), tensor(1.9440), tensor(1.8540), tensor(2.1428), tensor(1.7995), tensor(2.1344), tensor(1.8909)]"
90,"[tensor(1.8100), tensor(1.8928), tensor(1.8976), tensor(1.8881), tensor(2.0701), tensor(2.1045), tensor(1.8046), tensor(2.1171), tensor(1.8332), tensor(2.0909)]"
91,"[tensor(2.1428), tensor(2.0410), tensor(2.0229), tensor(2.0509), tensor(1.9496), tensor(1.8426), tensor(2.1589), tensor(1.7816), tensor(2.1446), tensor(1.8993)]"
92,"[tensor(1.8227), tensor(1.8596), tensor(1.9334), tensor(1.8742), tensor(2.0415), tensor(2.1223), tensor(1.8251), tensor(2.1288), tensor(1.8501), tensor(2.0855)]"
93,"[tensor(2.1320), tensor(2.0770), tensor(2.0276), tensor(2.0796), tensor(2.0368), tensor(1.9088), tensor(2.1409), tensor(1.8121), tensor(2.1255), tensor(1.9791)]"
94,"[tensor(1.8631), tensor(1.8717), tensor(2.0106), tensor(1.8920), tensor(1.9640), tensor(2.1330), tensor(1.8889), tensor(2.1385), tensor(1.9080), tensor(2.0922)]"
95,"[tensor(2.1391), tensor(2.1058), tensor(2.0518), tensor(2.1077), tensor(2.0799), tensor(2.0098), tensor(2.1301), tensor(1.8335), tensor(2.1109), tensor(2.0293)]"
96,"[tensor(1.9137), tensor(1.9219), tensor(2.0942), tensor(1.9284), tensor(1.9375), tensor(2.1525), tensor(1.9612), tensor(2.1479), tensor(1.9738), tensor(2.1100)]"
97,"[tensor(2.1676), tensor(2.1384), tensor(2.0782), tensor(2.1343), tensor(2.1072), tensor(2.0584), tensor(2.1563), tensor(1.8731), tensor(2.1290), tensor(2.0568)]"
98,"[tensor(1.9648), tensor(1.9655), tensor(2.1456), tensor(1.9791), tensor(1.9734), tensor(2.1772), tensor(2.0046), tensor(2.1627), tensor(2.0167), tensor(2.1539)]"
99,"[tensor(2.1970), tensor(2.1838), tensor(2.0754), tensor(2.1432), tensor(2.1181), tensor(2.0640), tensor(2.1894), tensor(1.9292), tensor(2.1547), tensor(2.0474)]"
