out_deg_centrality,[7. 9.]
49,"[0.423, 0.439, 0.433, 0.39, 0.345, 0.412, 0.484, 0.471, 0.462, 0.386]"
50,"[0.419, 0.388, 0.407, 0.39, 0.41, 0.42, 0.428, 0.271, 0.415, 0.342]"
51,"[0.382, 0.394, 0.451, 0.386, 0.281, 0.415, 0.452, 0.403, 0.464, 0.38]"
52,"[0.441, 0.411, 0.415, 0.376, 0.431, 0.468, 0.457, 0.283, 0.42, 0.376]"
53,"[0.36, 0.349, 0.369, 0.368, 0.289, 0.365, 0.386, 0.389, 0.373, 0.356]"
54,"[0.462, 0.421, 0.406, 0.384, 0.486, 0.461, 0.475, 0.306, 0.462, 0.345]"
55,"[0.392, 0.356, 0.447, 0.377, 0.326, 0.465, 0.442, 0.383, 0.432, 0.339]"
56,"[0.426, 0.356, 0.417, 0.38, 0.398, 0.476, 0.42, 0.237, 0.423, 0.294]"
57,"[0.402, 0.388, 0.516, 0.39, 0.373, 0.523, 0.486, 0.357, 0.48, 0.36]"
58,"[0.41, 0.387, 0.427, 0.389, 0.405, 0.453, 0.446, 0.273, 0.432, 0.319]"
59,"[0.375, 0.385, 0.421, 0.395, 0.381, 0.447, 0.425, 0.336, 0.452, 0.336]"
60,"[0.363, 0.334, 0.375, 0.343, 0.363, 0.405, 0.415, 0.304, 0.377, 0.391]"
61,"[0.377, 0.387, 0.42, 0.395, 0.348, 0.43, 0.431, 0.297, 0.436, 0.316]"
62,"[0.356, 0.333, 0.334, 0.327, 0.325, 0.351, 0.375, 0.232, 0.332, 0.263]"
63,"[0.383, 0.385, 0.492, 0.359, 0.358, 0.459, 0.49, 0.302, 0.466, 0.276]"
64,"[0.301, 0.279, 0.329, 0.267, 0.29, 0.336, 0.304, 0.271, 0.3, 0.279]"
65,"[0.358, 0.374, 0.444, 0.342, 0.416, 0.45, 0.426, 0.27, 0.398, 0.244]"
66,"[0.309, 0.289, 0.387, 0.267, 0.29, 0.4, 0.337, 0.294, 0.328, 0.297]"
67,"[0.338, 0.333, 0.371, 0.355, 0.358, 0.393, 0.361, 0.264, 0.362, 0.246]"
68,"[0.373, 0.325, 0.326, 0.291, 0.367, 0.35, 0.377, 0.33, 0.381, 0.295]"
69,"[0.368, 0.365, 0.369, 0.362, 0.391, 0.402, 0.394, 0.269, 0.372, 0.279]"
70,"[0.322, 0.277, 0.284, 0.326, 0.303, 0.34, 0.314, 0.304, 0.303, 0.294]"
71,"[0.396, 0.382, 0.398, 0.389, 0.407, 0.406, 0.425, 0.321, 0.409, 0.341]"
72,"[0.35, 0.292, 0.356, 0.307, 0.325, 0.375, 0.382, 0.332, 0.37, 0.326]"
73,"[0.341, 0.356, 0.366, 0.356, 0.329, 0.38, 0.384, 0.296, 0.379, 0.317]"
74,"[0.349, 0.301, 0.363, 0.31, 0.352, 0.382, 0.399, 0.334, 0.38, 0.337]"
75,"[0.342, 0.342, 0.332, 0.342, 0.332, 0.345, 0.359, 0.3, 0.353, 0.362]"
76,"[0.343, 0.281, 0.339, 0.297, 0.316, 0.369, 0.365, 0.324, 0.38, 0.342]"
77,"[0.343, 0.347, 0.351, 0.339, 0.338, 0.371, 0.363, 0.286, 0.335, 0.333]"
78,"[0.331, 0.309, 0.339, 0.329, 0.343, 0.343, 0.342, 0.317, 0.34, 0.324]"
79,"[0.367, 0.368, 0.43, 0.344, 0.363, 0.45, 0.408, 0.317, 0.407, 0.334]"
80,"[0.299, 0.274, 0.289, 0.273, 0.28, 0.291, 0.27, 0.292, 0.276, 0.328]"
81,"[0.421, 0.396, 0.447, 0.374, 0.41, 0.469, 0.471, 0.263, 0.435, 0.246]"
82,"[0.274, 0.26, 0.253, 0.242, 0.26, 0.26, 0.247, 0.228, 0.247, 0.277]"
83,"[0.441, 0.417, 0.43, 0.388, 0.465, 0.453, 0.479, 0.259, 0.462, 0.23]"
84,"[0.27, 0.249, 0.25, 0.246, 0.262, 0.256, 0.255, 0.244, 0.244, 0.296]"
85,"[0.378, 0.36, 0.368, 0.361, 0.396, 0.375, 0.418, 0.259, 0.423, 0.237]"
86,"[0.273, 0.243, 0.232, 0.252, 0.276, 0.244, 0.25, 0.281, 0.238, 0.305]"
87,"[0.369, 0.358, 0.332, 0.355, 0.372, 0.339, 0.387, 0.262, 0.383, 0.244]"
88,"[0.283, 0.247, 0.233, 0.255, 0.286, 0.255, 0.249, 0.312, 0.247, 0.336]"
89,"[0.325, 0.349, 0.32, 0.357, 0.337, 0.331, 0.342, 0.266, 0.347, 0.249]"
90,"[0.279, 0.231, 0.237, 0.259, 0.266, 0.26, 0.249, 0.34, 0.243, 0.33]"
91,"[0.305, 0.318, 0.311, 0.321, 0.327, 0.324, 0.35, 0.262, 0.344, 0.245]"
92,"[0.266, 0.223, 0.235, 0.243, 0.255, 0.242, 0.242, 0.325, 0.234, 0.29]"
93,"[0.319, 0.308, 0.296, 0.314, 0.374, 0.328, 0.379, 0.235, 0.348, 0.245]"
94,"[0.28, 0.231, 0.243, 0.241, 0.259, 0.264, 0.248, 0.29, 0.243, 0.285]"
95,"[0.314, 0.305, 0.296, 0.283, 0.389, 0.316, 0.366, 0.245, 0.349, 0.258]"
96,"[0.278, 0.245, 0.261, 0.244, 0.276, 0.279, 0.261, 0.28, 0.265, 0.267]"
97,"[0.321, 0.314, 0.322, 0.295, 0.334, 0.305, 0.381, 0.263, 0.327, 0.269]"
98,"[0.277, 0.251, 0.258, 0.247, 0.28, 0.275, 0.261, 0.319, 0.262, 0.289]"
99,"[0.358, 0.334, 0.325, 0.344, 0.329, 0.314, 0.406, 0.255, 0.355, 0.268]"
