eigenvector_centrality,[4]
57,"[0.118, 0.272, 0.141, 0.221, 0.336, 0.177, 0.372, 0.343, 0.105, 0.384]"
58,"[0.322, 0.217, 0.37, 0.388, 0.112, 0.296, 0.266, 0.305, 0.372, 0.178]"
59,"[0.124, 0.262, 0.139, 0.228, 0.361, 0.198, 0.377, 0.343, 0.099, 0.333]"
60,"[0.314, 0.273, 0.364, 0.345, 0.112, 0.296, 0.282, 0.299, 0.354, 0.183]"
61,"[0.222, 0.256, 0.149, 0.228, 0.346, 0.217, 0.345, 0.34, 0.128, 0.309]"
62,"[0.299, 0.267, 0.361, 0.307, 0.112, 0.286, 0.275, 0.311, 0.34, 0.275]"
63,"[0.31, 0.251, 0.171, 0.217, 0.328, 0.265, 0.317, 0.322, 0.205, 0.305]"
64,"[0.291, 0.228, 0.345, 0.294, 0.119, 0.277, 0.24, 0.293, 0.337, 0.287]"
65,"[0.274, 0.244, 0.221, 0.185, 0.327, 0.279, 0.339, 0.299, 0.281, 0.309]"
66,"[0.296, 0.188, 0.318, 0.311, 0.193, 0.293, 0.209, 0.272, 0.338, 0.235]"
67,"[0.228, 0.23, 0.326, 0.195, 0.331, 0.271, 0.396, 0.326, 0.345, 0.313]"
68,"[0.306, 0.172, 0.317, 0.378, 0.204, 0.304, 0.215, 0.261, 0.327, 0.225]"
69,"[0.248, 0.247, 0.351, 0.204, 0.343, 0.277, 0.41, 0.369, 0.35, 0.337]"
70,"[0.312, 0.236, 0.318, 0.427, 0.233, 0.333, 0.214, 0.263, 0.322, 0.221]"
71,"[0.337, 0.278, 0.312, 0.206, 0.333, 0.388, 0.395, 0.363, 0.31, 0.403]"
72,"[0.318, 0.351, 0.337, 0.418, 0.281, 0.342, 0.219, 0.264, 0.347, 0.206]"
73,"[0.388, 0.3, 0.215, 0.217, 0.325, 0.346, 0.376, 0.34, 0.316, 0.412]"
74,"[0.323, 0.365, 0.342, 0.373, 0.246, 0.308, 0.233, 0.258, 0.365, 0.208]"
75,"[0.347, 0.275, 0.185, 0.217, 0.295, 0.348, 0.354, 0.319, 0.294, 0.413]"
76,"[0.298, 0.311, 0.351, 0.355, 0.242, 0.304, 0.24, 0.252, 0.379, 0.232]"
77,"[0.331, 0.307, 0.185, 0.226, 0.291, 0.321, 0.334, 0.302, 0.293, 0.426]"
78,"[0.308, 0.296, 0.346, 0.347, 0.242, 0.316, 0.251, 0.255, 0.39, 0.274]"
79,"[0.329, 0.337, 0.204, 0.232, 0.292, 0.316, 0.338, 0.294, 0.301, 0.422]"
80,"[0.314, 0.284, 0.351, 0.347, 0.254, 0.324, 0.258, 0.258, 0.385, 0.3]"
81,"[0.335, 0.35, 0.22, 0.238, 0.283, 0.316, 0.341, 0.29, 0.294, 0.421]"
82,"[0.327, 0.272, 0.348, 0.351, 0.26, 0.318, 0.271, 0.266, 0.388, 0.312]"
83,"[0.333, 0.336, 0.233, 0.24, 0.247, 0.336, 0.353, 0.29, 0.299, 0.417]"
84,"[0.333, 0.259, 0.329, 0.359, 0.259, 0.313, 0.296, 0.278, 0.386, 0.325]"
85,"[0.307, 0.298, 0.222, 0.245, 0.222, 0.35, 0.357, 0.298, 0.295, 0.41]"
86,"[0.302, 0.257, 0.308, 0.362, 0.26, 0.319, 0.31, 0.329, 0.384, 0.319]"
87,"[0.29, 0.31, 0.23, 0.243, 0.2, 0.351, 0.358, 0.303, 0.286, 0.39]"
88,"[0.323, 0.248, 0.278, 0.343, 0.272, 0.383, 0.311, 0.364, 0.337, 0.297]"
89,"[0.27, 0.305, 0.23, 0.243, 0.23, 0.333, 0.342, 0.296, 0.274, 0.333]"
90,"[0.35, 0.27, 0.316, 0.333, 0.245, 0.369, 0.351, 0.341, 0.354, 0.287]"
91,"[0.248, 0.331, 0.219, 0.25, 0.27, 0.312, 0.341, 0.298, 0.257, 0.338]"
92,"[0.363, 0.236, 0.342, 0.335, 0.21, 0.382, 0.326, 0.295, 0.386, 0.279]"
93,"[0.235, 0.334, 0.202, 0.207, 0.289, 0.314, 0.34, 0.299, 0.22, 0.347]"
94,"[0.378, 0.257, 0.363, 0.329, 0.178, 0.405, 0.189, 0.185, 0.399, 0.271]"
95,"[0.2, 0.338, 0.183, 0.136, 0.315, 0.311, 0.338, 0.305, 0.204, 0.358]"
96,"[0.381, 0.254, 0.369, 0.32, 0.165, 0.412, 0.17, 0.164, 0.406, 0.258]"
97,"[0.201, 0.344, 0.173, 0.128, 0.341, 0.312, 0.336, 0.3, 0.19, 0.354]"
98,"[0.381, 0.252, 0.372, 0.305, 0.162, 0.414, 0.172, 0.164, 0.392, 0.245]"
99,"[0.204, 0.327, 0.167, 0.151, 0.325, 0.311, 0.328, 0.296, 0.203, 0.348]"
