eigenvector_centrality,[0]
0,"[0.142, 0.104, 0.116, 0.097, 0.1, 0.105, 0.114, 0.104, 0.113, 0.141]"
1,"[0.14, 0.153, 0.087, 0.097, 0.096, 0.09, 0.089, 0.167, 0.106, 0.153]"
2,"[0.107, 0.104, 0.268, 0.372, 0.1, 0.105, 0.219, 0.236, 0.144, 0.248]"
3,"[0.167, 0.166, 0.179, 0.184, 0.112, 0.09, 0.176, 0.306, 0.178, 0.091]"
4,"[0.172, 0.214, 0.317, 0.339, 0.1, 0.274, 0.293, 0.225, 0.174, 0.163]"
5,"[0.102, 0.206, 0.351, 0.246, 0.143, 0.363, 0.151, 0.268, 0.206, 0.091]"
6,"[0.128, 0.212, 0.36, 0.318, 0.1, 0.224, 0.217, 0.166, 0.19, 0.243]"
7,"[0.102, 0.173, 0.365, 0.206, 0.236, 0.213, 0.095, 0.32, 0.309, 0.091]"
8,"[0.14, 0.12, 0.371, 0.362, 0.1, 0.116, 0.205, 0.215, 0.238, 0.201]"
9,"[0.102, 0.209, 0.363, 0.254, 0.228, 0.255, 0.09, 0.36, 0.367, 0.091]"
10,"[0.316, 0.108, 0.337, 0.33, 0.1, 0.122, 0.252, 0.252, 0.221, 0.269]"
11,"[0.102, 0.279, 0.325, 0.233, 0.397, 0.224, 0.089, 0.378, 0.381, 0.092]"
12,"[0.347, 0.127, 0.3, 0.324, 0.1, 0.173, 0.238, 0.261, 0.261, 0.411]"
13,"[0.102, 0.314, 0.332, 0.231, 0.392, 0.284, 0.148, 0.42, 0.367, 0.092]"
14,"[0.36, 0.267, 0.383, 0.407, 0.1, 0.287, 0.291, 0.313, 0.284, 0.393]"
15,"[0.203, 0.302, 0.369, 0.327, 0.372, 0.288, 0.27, 0.353, 0.35, 0.133]"
16,"[0.382, 0.265, 0.312, 0.391, 0.147, 0.321, 0.271, 0.329, 0.323, 0.407]"
17,"[0.339, 0.317, 0.434, 0.399, 0.374, 0.357, 0.274, 0.28, 0.33, 0.257]"
18,"[0.411, 0.25, 0.392, 0.336, 0.272, 0.327, 0.307, 0.368, 0.322, 0.414]"
19,"[0.361, 0.391, 0.404, 0.421, 0.369, 0.373, 0.269, 0.289, 0.331, 0.32]"
20,"[0.402, 0.239, 0.379, 0.354, 0.283, 0.331, 0.392, 0.377, 0.383, 0.417]"
21,"[0.338, 0.377, 0.397, 0.432, 0.39, 0.427, 0.265, 0.317, 0.372, 0.328]"
22,"[0.348, 0.23, 0.341, 0.376, 0.307, 0.335, 0.361, 0.35, 0.367, 0.464]"
23,"[0.336, 0.351, 0.405, 0.407, 0.381, 0.39, 0.271, 0.363, 0.435, 0.34]"
24,"[0.361, 0.256, 0.352, 0.422, 0.321, 0.36, 0.337, 0.354, 0.373, 0.388]"
25,"[0.367, 0.337, 0.411, 0.403, 0.355, 0.391, 0.292, 0.415, 0.427, 0.345]"
26,"[0.328, 0.255, 0.354, 0.432, 0.336, 0.359, 0.334, 0.351, 0.409, 0.384]"
27,"[0.426, 0.324, 0.411, 0.399, 0.318, 0.403, 0.274, 0.436, 0.306, 0.38]"
28,"[0.304, 0.342, 0.423, 0.455, 0.392, 0.367, 0.329, 0.341, 0.388, 0.348]"
29,"[0.453, 0.29, 0.388, 0.424, 0.291, 0.43, 0.333, 0.478, 0.33, 0.436]"
30,"[0.291, 0.492, 0.335, 0.439, 0.414, 0.407, 0.36, 0.356, 0.422, 0.275]"
31,"[0.453, 0.275, 0.389, 0.454, 0.288, 0.429, 0.433, 0.449, 0.353, 0.462]"
32,"[0.285, 0.553, 0.366, 0.459, 0.423, 0.422, 0.286, 0.387, 0.438, 0.26]"
33,"[0.43, 0.275, 0.441, 0.418, 0.283, 0.325, 0.468, 0.456, 0.364, 0.484]"
34,"[0.276, 0.598, 0.368, 0.47, 0.448, 0.415, 0.256, 0.402, 0.468, 0.263]"
35,"[0.464, 0.282, 0.465, 0.4, 0.272, 0.316, 0.472, 0.47, 0.355, 0.537]"
36,"[0.275, 0.608, 0.4, 0.453, 0.522, 0.438, 0.26, 0.408, 0.482, 0.266]"
37,"[0.551, 0.297, 0.463, 0.35, 0.272, 0.311, 0.42, 0.45, 0.349, 0.533]"
38,"[0.272, 0.603, 0.406, 0.421, 0.512, 0.427, 0.284, 0.397, 0.487, 0.285]"
39,"[0.556, 0.323, 0.474, 0.386, 0.281, 0.339, 0.394, 0.46, 0.342, 0.508]"
40,"[0.277, 0.56, 0.412, 0.409, 0.499, 0.413, 0.311, 0.385, 0.486, 0.304]"
41,"[0.542, 0.349, 0.454, 0.397, 0.293, 0.335, 0.372, 0.443, 0.378, 0.507]"
42,"[0.29, 0.579, 0.424, 0.402, 0.491, 0.411, 0.304, 0.415, 0.477, 0.35]"
43,"[0.499, 0.374, 0.422, 0.426, 0.33, 0.287, 0.37, 0.434, 0.44, 0.492]"
44,"[0.323, 0.564, 0.514, 0.377, 0.478, 0.4, 0.306, 0.44, 0.435, 0.465]"
45,"[0.46, 0.418, 0.399, 0.482, 0.382, 0.306, 0.394, 0.429, 0.512, 0.473]"
46,"[0.376, 0.533, 0.544, 0.361, 0.44, 0.404, 0.345, 0.446, 0.416, 0.547]"
47,"[0.409, 0.462, 0.387, 0.51, 0.472, 0.36, 0.441, 0.434, 0.524, 0.422]"
48,"[0.455, 0.476, 0.522, 0.364, 0.38, 0.447, 0.385, 0.453, 0.392, 0.548]"
49,"[0.35, 0.526, 0.376, 0.51, 0.489, 0.378, 0.439, 0.446, 0.521, 0.39]"
50,"[0.467, 0.427, 0.493, 0.361, 0.365, 0.414, 0.444, 0.453, 0.352, 0.492]"
51,"[0.327, 0.568, 0.361, 0.512, 0.448, 0.441, 0.405, 0.465, 0.51, 0.359]"
52,"[0.49, 0.394, 0.473, 0.356, 0.284, 0.407, 0.495, 0.444, 0.319, 0.467]"
53,"[0.246, 0.568, 0.322, 0.495, 0.447, 0.465, 0.35, 0.462, 0.52, 0.274]"
54,"[0.477, 0.326, 0.475, 0.361, 0.28, 0.362, 0.486, 0.431, 0.29, 0.406]"
55,"[0.267, 0.516, 0.294, 0.474, 0.415, 0.46, 0.279, 0.428, 0.516, 0.281]"
56,"[0.462, 0.305, 0.423, 0.391, 0.293, 0.281, 0.452, 0.405, 0.291, 0.39]"
57,"[0.279, 0.498, 0.301, 0.432, 0.412, 0.459, 0.293, 0.395, 0.503, 0.319]"
58,"[0.492, 0.333, 0.398, 0.384, 0.301, 0.309, 0.421, 0.409, 0.346, 0.406]"
59,"[0.291, 0.501, 0.323, 0.412, 0.48, 0.44, 0.298, 0.413, 0.491, 0.341]"
60,"[0.519, 0.359, 0.415, 0.41, 0.33, 0.337, 0.463, 0.414, 0.374, 0.474]"
61,"[0.343, 0.497, 0.37, 0.418, 0.511, 0.491, 0.346, 0.402, 0.53, 0.337]"
62,"[0.505, 0.432, 0.484, 0.463, 0.363, 0.393, 0.49, 0.391, 0.41, 0.506]"
63,"[0.424, 0.523, 0.392, 0.435, 0.485, 0.529, 0.393, 0.425, 0.492, 0.371]"
64,"[0.386, 0.455, 0.488, 0.466, 0.4, 0.388, 0.522, 0.414, 0.432, 0.436]"
65,"[0.422, 0.543, 0.443, 0.473, 0.37, 0.48, 0.459, 0.433, 0.488, 0.408]"
66,"[0.403, 0.447, 0.436, 0.503, 0.419, 0.404, 0.469, 0.435, 0.468, 0.374]"
67,"[0.455, 0.524, 0.442, 0.487, 0.391, 0.44, 0.439, 0.399, 0.494, 0.457]"
68,"[0.424, 0.458, 0.407, 0.507, 0.483, 0.433, 0.428, 0.469, 0.489, 0.38]"
69,"[0.489, 0.507, 0.464, 0.529, 0.437, 0.406, 0.426, 0.396, 0.504, 0.487]"
70,"[0.443, 0.471, 0.421, 0.489, 0.53, 0.385, 0.39, 0.49, 0.503, 0.417]"
71,"[0.516, 0.503, 0.478, 0.53, 0.458, 0.418, 0.419, 0.37, 0.512, 0.52]"
72,"[0.44, 0.495, 0.391, 0.43, 0.523, 0.401, 0.36, 0.494, 0.535, 0.378]"
