eigenvector_centrality,"[0, 2]"
0,"[0.097, 0.086, 0.094, 0.153, 0.091, 0.108, 0.093, 0.094, 0.103, 0.188]"
1,"[0.106, 0.087, 0.149, 0.192, 0.111, 0.105, 0.106, 0.113, 0.107, 0.099]"
2,"[0.134, 0.178, 0.094, 0.122, 0.228, 0.126, 0.093, 0.094, 0.103, 0.098]"
3,"[0.106, 0.133, 0.114, 0.164, 0.11, 0.105, 0.141, 0.178, 0.253, 0.194]"
4,"[0.203, 0.269, 0.198, 0.122, 0.364, 0.193, 0.174, 0.236, 0.172, 0.192]"
5,"[0.298, 0.285, 0.322, 0.167, 0.313, 0.105, 0.233, 0.182, 0.32, 0.416]"
6,"[0.203, 0.418, 0.397, 0.19, 0.453, 0.267, 0.406, 0.329, 0.325, 0.184]"
7,"[0.377, 0.329, 0.281, 0.257, 0.224, 0.184, 0.304, 0.273, 0.235, 0.391]"
8,"[0.226, 0.375, 0.357, 0.153, 0.36, 0.358, 0.351, 0.312, 0.28, 0.296]"
9,"[0.364, 0.281, 0.257, 0.332, 0.238, 0.126, 0.371, 0.324, 0.243, 0.394]"
10,"[0.184, 0.332, 0.31, 0.121, 0.286, 0.307, 0.3, 0.274, 0.268, 0.307]"
11,"[0.311, 0.24, 0.26, 0.279, 0.262, 0.106, 0.257, 0.337, 0.287, 0.394]"
12,"[0.145, 0.334, 0.302, 0.129, 0.337, 0.311, 0.314, 0.239, 0.242, 0.367]"
13,"[0.307, 0.212, 0.297, 0.31, 0.272, 0.104, 0.187, 0.292, 0.321, 0.34]"
14,"[0.177, 0.327, 0.325, 0.192, 0.323, 0.315, 0.314, 0.25, 0.215, 0.391]"
15,"[0.304, 0.257, 0.363, 0.297, 0.259, 0.153, 0.16, 0.282, 0.288, 0.332]"
16,"[0.2, 0.35, 0.377, 0.227, 0.309, 0.31, 0.298, 0.264, 0.232, 0.35]"
17,"[0.302, 0.27, 0.393, 0.282, 0.295, 0.197, 0.177, 0.284, 0.278, 0.339]"
18,"[0.219, 0.352, 0.359, 0.263, 0.313, 0.305, 0.296, 0.272, 0.264, 0.348]"
19,"[0.3, 0.329, 0.412, 0.282, 0.319, 0.246, 0.19, 0.301, 0.275, 0.339]"
20,"[0.207, 0.365, 0.366, 0.296, 0.308, 0.301, 0.293, 0.29, 0.3, 0.351]"
21,"[0.295, 0.349, 0.419, 0.287, 0.323, 0.262, 0.211, 0.299, 0.273, 0.355]"
22,"[0.202, 0.367, 0.338, 0.317, 0.307, 0.296, 0.295, 0.313, 0.305, 0.354]"
23,"[0.295, 0.36, 0.413, 0.296, 0.32, 0.246, 0.225, 0.295, 0.274, 0.364]"
24,"[0.209, 0.362, 0.353, 0.327, 0.317, 0.294, 0.301, 0.365, 0.301, 0.363]"
25,"[0.297, 0.377, 0.415, 0.33, 0.337, 0.244, 0.248, 0.3, 0.276, 0.385]"
26,"[0.234, 0.358, 0.367, 0.328, 0.337, 0.299, 0.316, 0.444, 0.319, 0.348]"
27,"[0.335, 0.402, 0.383, 0.309, 0.391, 0.236, 0.238, 0.381, 0.294, 0.383]"
28,"[0.236, 0.392, 0.326, 0.308, 0.378, 0.314, 0.343, 0.425, 0.331, 0.489]"
29,"[0.352, 0.434, 0.385, 0.328, 0.398, 0.235, 0.216, 0.378, 0.313, 0.377]"
30,"[0.243, 0.394, 0.312, 0.317, 0.431, 0.332, 0.369, 0.536, 0.293, 0.501]"
31,"[0.354, 0.468, 0.409, 0.374, 0.386, 0.233, 0.198, 0.378, 0.392, 0.401]"
32,"[0.24, 0.401, 0.337, 0.323, 0.4, 0.322, 0.356, 0.544, 0.297, 0.519]"
33,"[0.374, 0.472, 0.399, 0.396, 0.387, 0.252, 0.199, 0.426, 0.397, 0.488]"
34,"[0.254, 0.409, 0.357, 0.326, 0.394, 0.335, 0.41, 0.543, 0.31, 0.53]"
35,"[0.399, 0.465, 0.376, 0.44, 0.382, 0.253, 0.228, 0.452, 0.374, 0.493]"
36,"[0.277, 0.41, 0.377, 0.314, 0.409, 0.403, 0.462, 0.539, 0.311, 0.503]"
37,"[0.445, 0.466, 0.379, 0.438, 0.356, 0.251, 0.224, 0.459, 0.404, 0.494]"
38,"[0.287, 0.417, 0.38, 0.3, 0.458, 0.395, 0.51, 0.532, 0.305, 0.516]"
39,"[0.475, 0.479, 0.427, 0.436, 0.335, 0.248, 0.199, 0.447, 0.472, 0.485]"
40,"[0.293, 0.453, 0.361, 0.297, 0.552, 0.416, 0.538, 0.543, 0.278, 0.537]"
41,"[0.482, 0.494, 0.477, 0.472, 0.323, 0.255, 0.207, 0.464, 0.523, 0.498]"
42,"[0.288, 0.489, 0.392, 0.311, 0.577, 0.453, 0.53, 0.525, 0.267, 0.518]"
43,"[0.489, 0.517, 0.493, 0.496, 0.325, 0.286, 0.234, 0.482, 0.511, 0.527]"
44,"[0.308, 0.49, 0.394, 0.388, 0.554, 0.48, 0.531, 0.522, 0.302, 0.502]"
45,"[0.484, 0.47, 0.522, 0.509, 0.347, 0.341, 0.289, 0.471, 0.479, 0.522]"
46,"[0.401, 0.518, 0.365, 0.423, 0.516, 0.475, 0.527, 0.423, 0.344, 0.4]"
47,"[0.472, 0.475, 0.48, 0.521, 0.39, 0.411, 0.407, 0.466, 0.454, 0.522]"
48,"[0.414, 0.485, 0.365, 0.436, 0.494, 0.472, 0.516, 0.373, 0.405, 0.372]"
49,"[0.469, 0.482, 0.406, 0.542, 0.404, 0.425, 0.433, 0.47, 0.43, 0.485]"
50,"[0.398, 0.48, 0.389, 0.423, 0.477, 0.471, 0.508, 0.374, 0.426, 0.36]"
51,"[0.46, 0.471, 0.332, 0.533, 0.403, 0.389, 0.432, 0.463, 0.438, 0.494]"
52,"[0.353, 0.484, 0.417, 0.385, 0.465, 0.459, 0.482, 0.33, 0.429, 0.318]"
