eigenvector_centrality,[0]
57,"[0.363, 0.394, 0.342, 0.467, 0.387, 0.367, 0.398, 0.427, 0.431, 0.398]"
58,"[0.415, 0.38, 0.473, 0.439, 0.382, 0.408, 0.457, 0.454, 0.295, 0.427]"
59,"[0.345, 0.391, 0.355, 0.463, 0.39, 0.325, 0.383, 0.413, 0.382, 0.389]"
60,"[0.401, 0.361, 0.461, 0.424, 0.386, 0.381, 0.442, 0.448, 0.28, 0.439]"
61,"[0.356, 0.384, 0.382, 0.431, 0.37, 0.325, 0.403, 0.427, 0.347, 0.345]"
62,"[0.373, 0.363, 0.46, 0.429, 0.388, 0.39, 0.433, 0.416, 0.308, 0.419]"
63,"[0.364, 0.355, 0.399, 0.415, 0.373, 0.373, 0.409, 0.433, 0.342, 0.366]"
64,"[0.359, 0.385, 0.497, 0.457, 0.407, 0.415, 0.433, 0.434, 0.357, 0.403]"
65,"[0.376, 0.351, 0.438, 0.419, 0.399, 0.426, 0.391, 0.425, 0.344, 0.405]"
66,"[0.357, 0.414, 0.471, 0.505, 0.406, 0.442, 0.465, 0.457, 0.392, 0.414]"
67,"[0.399, 0.349, 0.444, 0.42, 0.437, 0.467, 0.399, 0.422, 0.343, 0.455]"
68,"[0.367, 0.449, 0.459, 0.514, 0.411, 0.438, 0.485, 0.481, 0.449, 0.415]"
69,"[0.447, 0.358, 0.418, 0.437, 0.468, 0.432, 0.422, 0.436, 0.347, 0.462]"
70,"[0.377, 0.489, 0.466, 0.486, 0.409, 0.445, 0.497, 0.492, 0.471, 0.42]"
71,"[0.478, 0.364, 0.416, 0.427, 0.484, 0.451, 0.438, 0.433, 0.349, 0.475]"
72,"[0.382, 0.52, 0.483, 0.479, 0.411, 0.42, 0.486, 0.475, 0.478, 0.416]"
73,"[0.499, 0.366, 0.429, 0.416, 0.488, 0.492, 0.435, 0.431, 0.358, 0.478]"
74,"[0.385, 0.522, 0.483, 0.505, 0.402, 0.427, 0.489, 0.482, 0.48, 0.415]"
75,"[0.493, 0.361, 0.44, 0.406, 0.497, 0.483, 0.424, 0.417, 0.332, 0.484]"
76,"[0.35, 0.513, 0.483, 0.513, 0.393, 0.422, 0.488, 0.507, 0.467, 0.413]"
77,"[0.48, 0.321, 0.495, 0.414, 0.499, 0.459, 0.38, 0.379, 0.332, 0.483]"
78,"[0.35, 0.494, 0.486, 0.513, 0.377, 0.45, 0.502, 0.52, 0.457, 0.4]"
79,"[0.46, 0.301, 0.503, 0.416, 0.491, 0.459, 0.346, 0.353, 0.353, 0.463]"
80,"[0.348, 0.473, 0.482, 0.482, 0.359, 0.419, 0.491, 0.517, 0.442, 0.401]"
