eigenvector_centrality,[0]
57,"[0.315, 0.353, 0.199, 0.209, 0.217, 0.274, 0.244, 0.3, 0.1, 0.401]"
58,"[0.102, 0.245, 0.285, 0.199, 0.186, 0.295, 0.38, 0.28, 0.234, 0.234]"
59,"[0.315, 0.379, 0.199, 0.208, 0.274, 0.285, 0.234, 0.291, 0.098, 0.433]"
60,"[0.102, 0.24, 0.29, 0.198, 0.186, 0.291, 0.384, 0.295, 0.227, 0.238]"
61,"[0.284, 0.388, 0.202, 0.208, 0.278, 0.328, 0.207, 0.305, 0.098, 0.429]"
62,"[0.102, 0.261, 0.277, 0.2, 0.187, 0.283, 0.383, 0.328, 0.26, 0.25]"
63,"[0.306, 0.389, 0.204, 0.211, 0.206, 0.335, 0.215, 0.344, 0.098, 0.408]"
64,"[0.102, 0.279, 0.284, 0.276, 0.188, 0.316, 0.378, 0.356, 0.303, 0.252]"
65,"[0.36, 0.391, 0.22, 0.22, 0.199, 0.347, 0.227, 0.383, 0.098, 0.394]"
66,"[0.102, 0.282, 0.308, 0.277, 0.19, 0.362, 0.366, 0.372, 0.367, 0.27]"
67,"[0.372, 0.392, 0.234, 0.229, 0.199, 0.355, 0.241, 0.387, 0.098, 0.359]"
68,"[0.102, 0.285, 0.328, 0.242, 0.191, 0.395, 0.337, 0.38, 0.414, 0.288]"
69,"[0.387, 0.391, 0.255, 0.24, 0.198, 0.361, 0.274, 0.378, 0.098, 0.357]"
70,"[0.102, 0.305, 0.351, 0.233, 0.205, 0.418, 0.344, 0.388, 0.424, 0.314]"
71,"[0.432, 0.385, 0.268, 0.295, 0.199, 0.368, 0.294, 0.376, 0.098, 0.361]"
72,"[0.11, 0.302, 0.368, 0.221, 0.254, 0.441, 0.342, 0.394, 0.406, 0.321]"
73,"[0.359, 0.388, 0.276, 0.325, 0.199, 0.372, 0.31, 0.381, 0.101, 0.365]"
74,"[0.169, 0.316, 0.364, 0.265, 0.275, 0.45, 0.349, 0.397, 0.384, 0.326]"
75,"[0.282, 0.387, 0.28, 0.374, 0.237, 0.376, 0.321, 0.387, 0.129, 0.366]"
76,"[0.216, 0.337, 0.352, 0.293, 0.265, 0.464, 0.336, 0.403, 0.313, 0.325]"
77,"[0.314, 0.394, 0.273, 0.329, 0.282, 0.384, 0.331, 0.399, 0.185, 0.361]"
78,"[0.242, 0.347, 0.358, 0.288, 0.273, 0.486, 0.334, 0.4, 0.344, 0.329]"
79,"[0.316, 0.405, 0.274, 0.323, 0.296, 0.385, 0.331, 0.41, 0.252, 0.363]"
80,"[0.258, 0.36, 0.346, 0.277, 0.281, 0.502, 0.337, 0.398, 0.357, 0.329]"
81,"[0.312, 0.413, 0.278, 0.323, 0.316, 0.385, 0.33, 0.417, 0.284, 0.359]"
82,"[0.283, 0.368, 0.342, 0.305, 0.288, 0.502, 0.349, 0.398, 0.361, 0.326]"
83,"[0.339, 0.421, 0.31, 0.323, 0.266, 0.383, 0.324, 0.417, 0.285, 0.365]"
84,"[0.281, 0.367, 0.34, 0.261, 0.309, 0.502, 0.365, 0.405, 0.362, 0.328]"
85,"[0.321, 0.424, 0.358, 0.335, 0.277, 0.384, 0.321, 0.423, 0.297, 0.371]"
86,"[0.287, 0.383, 0.35, 0.201, 0.321, 0.506, 0.376, 0.413, 0.348, 0.329]"
87,"[0.308, 0.44, 0.383, 0.362, 0.275, 0.38, 0.319, 0.431, 0.289, 0.373]"
