eigenvector_centrality,[0]
57,"[0.376, 0.519, 0.199, 0.341, 0.464, 0.371, 0.095, 0.358, 0.155, 0.562]"
58,"[0.496, 0.359, 0.391, 0.134, 0.307, 0.526, 0.224, 0.542, 0.093, 0.373]"
59,"[0.362, 0.53, 0.189, 0.338, 0.464, 0.379, 0.095, 0.357, 0.131, 0.572]"
60,"[0.465, 0.366, 0.396, 0.119, 0.295, 0.524, 0.214, 0.542, 0.091, 0.363]"
61,"[0.369, 0.537, 0.185, 0.322, 0.459, 0.374, 0.094, 0.354, 0.13, 0.595]"
62,"[0.422, 0.366, 0.393, 0.104, 0.286, 0.53, 0.21, 0.536, 0.088, 0.363]"
63,"[0.39, 0.535, 0.179, 0.319, 0.456, 0.377, 0.094, 0.355, 0.122, 0.599]"
64,"[0.386, 0.367, 0.394, 0.099, 0.286, 0.532, 0.216, 0.543, 0.088, 0.359]"
65,"[0.416, 0.537, 0.173, 0.32, 0.456, 0.376, 0.094, 0.359, 0.133, 0.607]"
66,"[0.389, 0.37, 0.386, 0.098, 0.274, 0.528, 0.216, 0.54, 0.089, 0.365]"
67,"[0.401, 0.525, 0.163, 0.317, 0.457, 0.371, 0.094, 0.364, 0.15, 0.607]"
68,"[0.381, 0.371, 0.378, 0.098, 0.268, 0.531, 0.218, 0.538, 0.091, 0.359]"
69,"[0.393, 0.53, 0.154, 0.324, 0.459, 0.37, 0.094, 0.363, 0.158, 0.609]"
70,"[0.398, 0.38, 0.382, 0.098, 0.258, 0.535, 0.225, 0.534, 0.093, 0.366]"
71,"[0.377, 0.528, 0.149, 0.329, 0.468, 0.368, 0.094, 0.365, 0.172, 0.599]"
72,"[0.428, 0.386, 0.385, 0.098, 0.258, 0.534, 0.239, 0.529, 0.094, 0.371]"
73,"[0.366, 0.533, 0.147, 0.341, 0.475, 0.356, 0.094, 0.365, 0.201, 0.598]"
74,"[0.43, 0.393, 0.391, 0.098, 0.255, 0.53, 0.276, 0.53, 0.093, 0.375]"
75,"[0.374, 0.535, 0.148, 0.352, 0.483, 0.343, 0.094, 0.369, 0.211, 0.596]"
76,"[0.481, 0.398, 0.393, 0.098, 0.254, 0.531, 0.303, 0.526, 0.1, 0.38]"
77,"[0.35, 0.536, 0.156, 0.358, 0.483, 0.33, 0.095, 0.378, 0.194, 0.594]"
78,"[0.477, 0.393, 0.404, 0.099, 0.253, 0.533, 0.313, 0.537, 0.107, 0.393]"
79,"[0.345, 0.539, 0.166, 0.367, 0.493, 0.323, 0.096, 0.394, 0.186, 0.596]"
80,"[0.396, 0.398, 0.409, 0.106, 0.254, 0.537, 0.314, 0.53, 0.108, 0.399]"
81,"[0.436, 0.545, 0.173, 0.371, 0.501, 0.32, 0.096, 0.403, 0.182, 0.588]"
82,"[0.387, 0.404, 0.416, 0.119, 0.256, 0.537, 0.319, 0.529, 0.106, 0.408]"
83,"[0.47, 0.542, 0.18, 0.374, 0.506, 0.322, 0.096, 0.413, 0.187, 0.585]"
84,"[0.379, 0.407, 0.417, 0.129, 0.258, 0.54, 0.325, 0.524, 0.115, 0.421]"
85,"[0.451, 0.543, 0.183, 0.383, 0.505, 0.329, 0.096, 0.419, 0.185, 0.585]"
86,"[0.378, 0.416, 0.418, 0.131, 0.261, 0.546, 0.334, 0.524, 0.114, 0.424]"
87,"[0.461, 0.541, 0.184, 0.39, 0.508, 0.34, 0.096, 0.434, 0.188, 0.582]"
88,"[0.38, 0.418, 0.423, 0.131, 0.267, 0.547, 0.344, 0.52, 0.115, 0.431]"
89,"[0.468, 0.534, 0.187, 0.393, 0.516, 0.349, 0.096, 0.443, 0.191, 0.575]"
90,"[0.398, 0.427, 0.427, 0.13, 0.269, 0.55, 0.361, 0.521, 0.117, 0.445]"
91,"[0.498, 0.536, 0.187, 0.395, 0.521, 0.362, 0.097, 0.452, 0.193, 0.57]"
92,"[0.355, 0.43, 0.43, 0.133, 0.271, 0.548, 0.377, 0.522, 0.124, 0.449]"
93,"[0.496, 0.531, 0.19, 0.401, 0.521, 0.368, 0.098, 0.457, 0.198, 0.574]"
94,"[0.355, 0.434, 0.439, 0.14, 0.271, 0.551, 0.379, 0.521, 0.125, 0.448]"
95,"[0.515, 0.529, 0.192, 0.405, 0.523, 0.378, 0.1, 0.463, 0.208, 0.569]"
96,"[0.353, 0.441, 0.438, 0.144, 0.278, 0.552, 0.381, 0.522, 0.112, 0.462]"
97,"[0.51, 0.527, 0.195, 0.409, 0.523, 0.385, 0.1, 0.461, 0.204, 0.568]"
98,"[0.361, 0.444, 0.445, 0.147, 0.279, 0.545, 0.381, 0.514, 0.117, 0.468]"
99,"[0.487, 0.521, 0.199, 0.407, 0.524, 0.384, 0.1, 0.464, 0.204, 0.561]"
