eigenvector_centrality,[1]
0,"[0.102, 0.109, 0.096, 0.119, 0.103, 0.099, 0.114, 0.092, 0.115, 0.079]"
1,"[0.08, 0.085, 0.108, 0.117, 0.091, 0.108, 0.114, 0.094, 0.1, 0.103]"
2,"[0.088, 0.109, 0.096, 0.097, 0.103, 0.106, 0.114, 0.092, 0.103, 0.079]"
3,"[0.095, 0.085, 0.108, 0.122, 0.091, 0.105, 0.114, 0.094, 0.103, 0.165]"
4,"[0.108, 0.109, 0.096, 0.097, 0.103, 0.103, 0.114, 0.092, 0.115, 0.079]"
5,"[0.095, 0.085, 0.108, 0.174, 0.091, 0.142, 0.114, 0.094, 0.104, 0.103]"
6,"[0.199, 0.109, 0.096, 0.097, 0.103, 0.103, 0.103, 0.092, 0.103, 0.08]"
7,"[0.095, 0.174, 0.108, 0.203, 0.091, 0.192, 0.114, 0.094, 0.19, 0.104]"
8,"[0.194, 0.109, 0.096, 0.097, 0.103, 0.103, 0.095, 0.092, 0.103, 0.094]"
9,"[0.095, 0.115, 0.108, 0.185, 0.091, 0.191, 0.114, 0.094, 0.098, 0.103]"
10,"[0.195, 0.109, 0.096, 0.097, 0.103, 0.103, 0.095, 0.092, 0.103, 0.113]"
11,"[0.095, 0.114, 0.108, 0.158, 0.091, 0.192, 0.114, 0.094, 0.098, 0.103]"
12,"[0.193, 0.109, 0.096, 0.097, 0.103, 0.114, 0.095, 0.092, 0.103, 0.079]"
13,"[0.095, 0.114, 0.108, 0.147, 0.091, 0.192, 0.114, 0.094, 0.098, 0.129]"
14,"[0.191, 0.109, 0.096, 0.097, 0.103, 0.119, 0.095, 0.092, 0.103, 0.079]"
15,"[0.095, 0.114, 0.108, 0.171, 0.091, 0.192, 0.114, 0.094, 0.115, 0.168]"
16,"[0.191, 0.109, 0.096, 0.097, 0.103, 0.147, 0.095, 0.092, 0.103, 0.079]"
17,"[0.095, 0.114, 0.108, 0.196, 0.091, 0.191, 0.114, 0.094, 0.172, 0.178]"
18,"[0.191, 0.109, 0.15, 0.097, 0.103, 0.15, 0.194, 0.092, 0.103, 0.079]"
19,"[0.095, 0.114, 0.108, 0.208, 0.091, 0.191, 0.114, 0.143, 0.183, 0.184]"
20,"[0.193, 0.113, 0.189, 0.097, 0.123, 0.115, 0.107, 0.092, 0.103, 0.079]"
21,"[0.095, 0.114, 0.108, 0.208, 0.091, 0.191, 0.114, 0.191, 0.185, 0.207]"
22,"[0.192, 0.085, 0.197, 0.097, 0.197, 0.14, 0.102, 0.092, 0.103, 0.079]"
23,"[0.095, 0.114, 0.108, 0.21, 0.103, 0.19, 0.114, 0.103, 0.185, 0.194]"
24,"[0.191, 0.085, 0.202, 0.157, 0.173, 0.165, 0.102, 0.092, 0.103, 0.079]"
25,"[0.095, 0.116, 0.108, 0.208, 0.098, 0.19, 0.114, 0.102, 0.185, 0.203]"
26,"[0.196, 0.112, 0.202, 0.188, 0.094, 0.194, 0.102, 0.092, 0.103, 0.101]"
27,"[0.186, 0.109, 0.108, 0.208, 0.091, 0.19, 0.114, 0.102, 0.185, 0.098]"
28,"[0.197, 0.112, 0.2, 0.179, 0.094, 0.194, 0.182, 0.092, 0.158, 0.246]"
29,"[0.124, 0.125, 0.108, 0.207, 0.091, 0.189, 0.114, 0.102, 0.185, 0.098]"
30,"[0.201, 0.112, 0.202, 0.178, 0.094, 0.241, 0.189, 0.092, 0.249, 0.174]"
31,"[0.15, 0.109, 0.108, 0.202, 0.091, 0.182, 0.114, 0.104, 0.185, 0.098]"
32,"[0.236, 0.115, 0.201, 0.177, 0.094, 0.228, 0.104, 0.092, 0.175, 0.165]"
33,"[0.174, 0.109, 0.108, 0.186, 0.091, 0.161, 0.114, 0.118, 0.186, 0.098]"
34,"[0.299, 0.112, 0.199, 0.176, 0.094, 0.175, 0.139, 0.092, 0.173, 0.115]"
35,"[0.22, 0.109, 0.297, 0.131, 0.091, 0.094, 0.114, 0.125, 0.184, 0.098]"
36,"[0.321, 0.112, 0.186, 0.184, 0.094, 0.174, 0.155, 0.092, 0.172, 0.181]"
37,"[0.256, 0.112, 0.215, 0.093, 0.091, 0.09, 0.114, 0.115, 0.181, 0.098]"
38,"[0.27, 0.112, 0.166, 0.162, 0.094, 0.172, 0.148, 0.092, 0.167, 0.098]"
39,"[0.274, 0.112, 0.213, 0.093, 0.091, 0.09, 0.114, 0.107, 0.174, 0.098]"
40,"[0.244, 0.112, 0.123, 0.125, 0.094, 0.179, 0.095, 0.092, 0.151, 0.098]"
41,"[0.267, 0.112, 0.181, 0.093, 0.091, 0.09, 0.114, 0.109, 0.165, 0.098]"
42,"[0.172, 0.112, 0.11, 0.102, 0.094, 0.121, 0.095, 0.092, 0.091, 0.098]"
43,"[0.262, 0.112, 0.109, 0.093, 0.091, 0.09, 0.114, 0.127, 0.161, 0.098]"
44,"[0.107, 0.112, 0.109, 0.095, 0.094, 0.106, 0.095, 0.092, 0.091, 0.098]"
45,"[0.138, 0.112, 0.109, 0.093, 0.091, 0.09, 0.114, 0.185, 0.138, 0.098]"
46,"[0.102, 0.112, 0.109, 0.095, 0.142, 0.097, 0.095, 0.092, 0.091, 0.098]"
47,"[0.102, 0.112, 0.109, 0.093, 0.091, 0.09, 0.114, 0.195, 0.14, 0.098]"
48,"[0.102, 0.112, 0.109, 0.095, 0.302, 0.096, 0.095, 0.092, 0.091, 0.098]"
49,"[0.102, 0.112, 0.109, 0.093, 0.091, 0.09, 0.114, 0.184, 0.097, 0.098]"
50,"[0.102, 0.112, 0.109, 0.094, 0.275, 0.095, 0.095, 0.092, 0.091, 0.098]"
