in_deg_centrality,[]
0,"[0.116, 0.095, 0.087, 0.105, 0.112, 0.095, 0.11, 0.089, 0.099, 0.101]"
1,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.089, 0.099, 0.101]"
2,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.089, 0.099, 0.101]"
3,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.089, 0.099, 0.101]"
4,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.089, 0.099, 0.101]"
5,"[0.116, 0.093, 0.087, 0.105, 0.112, 0.095, 0.103, 0.089, 0.066, 0.101]"
6,"[0.118, 0.079, 0.087, 0.105, 0.112, 0.095, 0.103, 0.089, 0.043, 0.12]"
7,"[0.117, 0.085, 0.087, 0.097, 0.112, 0.095, 0.103, 0.078, 0.106, 0.12]"
8,"[0.125, 0.085, 0.087, 0.097, 0.112, 0.095, 0.108, 0.078, 0.106, 0.12]"
9,"[0.155, 0.079, 0.087, 0.097, 0.112, 0.095, 0.094, 0.083, 0.11, 0.12]"
10,"[0.103, 0.079, 0.098, 0.098, 0.112, 0.095, 0.095, 0.085, 0.106, 0.12]"
11,"[0.103, 0.091, 0.127, 0.097, 0.112, 0.103, 0.101, 0.085, 0.106, 0.12]"
12,"[0.119, 0.085, 0.094, 0.083, 0.11, 0.103, 0.096, 0.085, 0.106, 0.111]"
13,"[0.103, 0.105, 0.094, 0.089, 0.11, 0.103, 0.095, 0.085, 0.107, 0.109]"
14,"[0.103, 0.104, 0.094, 0.081, 0.109, 0.103, 0.095, 0.085, 0.106, 0.098]"
15,"[0.103, 0.091, 0.094, 0.105, 0.105, 0.103, 0.095, 0.103, 0.091, 0.115]"
16,"[0.103, 0.091, 0.092, 0.09, 0.112, 0.103, 0.09, 0.092, 0.132, 0.097]"
17,"[0.103, 0.091, 0.097, 0.09, 0.112, 0.103, 0.109, 0.092, 0.091, 0.103]"
