eigenvector_centrality,[0]
57,"[0.277, 0.116, 0.105, 0.095, 0.112, 0.118, 0.099, 0.127, 0.118, 0.153]"
58,"[0.335, 0.146, 0.098, 0.081, 0.103, 0.108, 0.095, 0.123, 0.109, 0.138]"
59,"[0.311, 0.112, 0.095, 0.085, 0.103, 0.11, 0.095, 0.139, 0.111, 0.152]"
60,"[0.323, 0.112, 0.114, 0.081, 0.103, 0.108, 0.095, 0.128, 0.109, 0.111]"
61,"[0.327, 0.112, 0.106, 0.085, 0.103, 0.11, 0.095, 0.137, 0.112, 0.098]"
62,"[0.275, 0.112, 0.118, 0.081, 0.103, 0.108, 0.095, 0.132, 0.109, 0.101]"
63,"[0.317, 0.118, 0.12, 0.085, 0.104, 0.111, 0.096, 0.14, 0.112, 0.099]"
64,"[0.254, 0.112, 0.122, 0.082, 0.105, 0.116, 0.097, 0.14, 0.111, 0.126]"
65,"[0.286, 0.157, 0.13, 0.105, 0.137, 0.151, 0.141, 0.141, 0.136, 0.099]"
66,"[0.235, 0.117, 0.137, 0.094, 0.127, 0.128, 0.125, 0.139, 0.129, 0.138]"
67,"[0.3, 0.169, 0.121, 0.125, 0.16, 0.165, 0.17, 0.141, 0.167, 0.109]"
68,"[0.226, 0.17, 0.146, 0.106, 0.146, 0.142, 0.143, 0.137, 0.143, 0.131]"
69,"[0.295, 0.156, 0.113, 0.135, 0.168, 0.183, 0.184, 0.146, 0.178, 0.149]"
70,"[0.205, 0.18, 0.151, 0.116, 0.156, 0.157, 0.145, 0.144, 0.155, 0.109]"
71,"[0.272, 0.118, 0.103, 0.14, 0.171, 0.194, 0.188, 0.147, 0.18, 0.171]"
72,"[0.205, 0.187, 0.15, 0.124, 0.164, 0.172, 0.176, 0.134, 0.167, 0.104]"
73,"[0.26, 0.113, 0.1, 0.137, 0.146, 0.177, 0.175, 0.146, 0.168, 0.165]"
74,"[0.283, 0.197, 0.15, 0.142, 0.168, 0.179, 0.182, 0.125, 0.174, 0.104]"
75,"[0.309, 0.115, 0.108, 0.135, 0.17, 0.187, 0.182, 0.146, 0.171, 0.153]"
76,"[0.294, 0.188, 0.15, 0.127, 0.161, 0.176, 0.168, 0.126, 0.173, 0.104]"
77,"[0.372, 0.145, 0.117, 0.142, 0.175, 0.191, 0.191, 0.146, 0.18, 0.146]"
78,"[0.304, 0.182, 0.145, 0.13, 0.163, 0.184, 0.182, 0.131, 0.178, 0.114]"
79,"[0.399, 0.159, 0.126, 0.143, 0.169, 0.193, 0.191, 0.146, 0.185, 0.149]"
80,"[0.34, 0.181, 0.144, 0.133, 0.165, 0.187, 0.185, 0.137, 0.177, 0.132]"
