eigenvector_centrality,[6]
0,"[0.116, 0.156, 0.116, 0.105, 0.11, 0.105, 0.109, 0.149, 0.093, 0.106]"
1,"[0.078, 0.263, 0.087, 0.097, 0.238, 0.153, 0.094, 0.104, 0.215, 0.103]"
2,"[0.135, 0.246, 0.097, 0.101, 0.174, 0.099, 0.109, 0.102, 0.118, 0.103]"
3,"[0.103, 0.135, 0.116, 0.093, 0.219, 0.109, 0.094, 0.105, 0.126, 0.103]"
4,"[0.175, 0.194, 0.205, 0.101, 0.153, 0.092, 0.111, 0.103, 0.093, 0.11]"
5,"[0.103, 0.425, 0.104, 0.299, 0.153, 0.185, 0.182, 0.131, 0.276, 0.106]"
6,"[0.394, 0.157, 0.151, 0.108, 0.46, 0.092, 0.103, 0.103, 0.096, 0.112]"
7,"[0.103, 0.369, 0.113, 0.394, 0.161, 0.411, 0.291, 0.261, 0.42, 0.248]"
8,"[0.31, 0.13, 0.267, 0.111, 0.392, 0.113, 0.158, 0.196, 0.096, 0.179]"
9,"[0.105, 0.269, 0.24, 0.273, 0.114, 0.306, 0.367, 0.359, 0.267, 0.327]"
10,"[0.309, 0.115, 0.342, 0.105, 0.326, 0.1, 0.295, 0.314, 0.099, 0.316]"
11,"[0.11, 0.276, 0.381, 0.346, 0.112, 0.301, 0.375, 0.385, 0.276, 0.371]"
12,"[0.304, 0.133, 0.358, 0.107, 0.318, 0.108, 0.389, 0.389, 0.114, 0.423]"
13,"[0.12, 0.277, 0.319, 0.332, 0.108, 0.305, 0.364, 0.374, 0.279, 0.341]"
14,"[0.302, 0.207, 0.326, 0.108, 0.295, 0.208, 0.317, 0.318, 0.231, 0.352]"
15,"[0.132, 0.282, 0.32, 0.291, 0.159, 0.311, 0.341, 0.362, 0.282, 0.322]"
16,"[0.304, 0.223, 0.309, 0.131, 0.323, 0.241, 0.396, 0.349, 0.237, 0.42]"
17,"[0.135, 0.29, 0.339, 0.306, 0.224, 0.314, 0.325, 0.338, 0.296, 0.321]"
18,"[0.305, 0.224, 0.262, 0.199, 0.337, 0.233, 0.439, 0.418, 0.242, 0.434]"
19,"[0.145, 0.289, 0.394, 0.332, 0.241, 0.329, 0.3, 0.322, 0.307, 0.298]"
20,"[0.323, 0.236, 0.191, 0.236, 0.342, 0.247, 0.418, 0.387, 0.254, 0.395]"
21,"[0.146, 0.295, 0.377, 0.346, 0.246, 0.318, 0.29, 0.311, 0.307, 0.301]"
22,"[0.352, 0.251, 0.202, 0.228, 0.362, 0.255, 0.374, 0.383, 0.261, 0.396]"
23,"[0.156, 0.316, 0.324, 0.35, 0.247, 0.321, 0.29, 0.291, 0.31, 0.277]"
24,"[0.377, 0.252, 0.219, 0.209, 0.347, 0.262, 0.371, 0.368, 0.26, 0.371]"
25,"[0.204, 0.344, 0.292, 0.35, 0.268, 0.327, 0.399, 0.28, 0.339, 0.267]"
