eigenvector_centrality,[4]
57,"[0.219, 0.189, 0.167, 0.195, 0.103, 0.298, 0.146, 0.146, 0.161, 0.144]"
58,"[0.102, 0.277, 0.298, 0.29, 0.103, 0.255, 0.142, 0.137, 0.152, 0.142]"
59,"[0.198, 0.176, 0.147, 0.19, 0.103, 0.285, 0.152, 0.156, 0.165, 0.145]"
60,"[0.102, 0.26, 0.29, 0.275, 0.103, 0.244, 0.145, 0.142, 0.155, 0.144]"
61,"[0.178, 0.171, 0.148, 0.173, 0.103, 0.274, 0.15, 0.155, 0.165, 0.146]"
62,"[0.102, 0.246, 0.278, 0.266, 0.103, 0.245, 0.13, 0.118, 0.137, 0.129]"
63,"[0.155, 0.163, 0.148, 0.18, 0.103, 0.263, 0.156, 0.158, 0.167, 0.152]"
64,"[0.102, 0.229, 0.267, 0.26, 0.103, 0.243, 0.1, 0.097, 0.117, 0.103]"
65,"[0.143, 0.159, 0.136, 0.172, 0.103, 0.251, 0.154, 0.155, 0.167, 0.15]"
66,"[0.102, 0.196, 0.257, 0.257, 0.103, 0.244, 0.098, 0.094, 0.113, 0.101]"
67,"[0.126, 0.138, 0.13, 0.153, 0.103, 0.236, 0.145, 0.145, 0.159, 0.146]"
68,"[0.102, 0.171, 0.249, 0.249, 0.103, 0.242, 0.097, 0.094, 0.11, 0.1]"
69,"[0.112, 0.125, 0.122, 0.147, 0.103, 0.224, 0.138, 0.135, 0.15, 0.14]"
70,"[0.102, 0.151, 0.24, 0.229, 0.103, 0.238, 0.097, 0.094, 0.11, 0.099]"
71,"[0.109, 0.126, 0.117, 0.136, 0.103, 0.214, 0.132, 0.13, 0.14, 0.134]"
72,"[0.102, 0.143, 0.22, 0.208, 0.103, 0.24, 0.097, 0.094, 0.11, 0.099]"
73,"[0.107, 0.124, 0.119, 0.132, 0.103, 0.208, 0.117, 0.118, 0.13, 0.118]"
74,"[0.102, 0.139, 0.182, 0.168, 0.103, 0.238, 0.097, 0.094, 0.11, 0.099]"
75,"[0.107, 0.115, 0.113, 0.147, 0.103, 0.202, 0.118, 0.119, 0.132, 0.119]"
76,"[0.102, 0.129, 0.13, 0.13, 0.103, 0.23, 0.097, 0.094, 0.11, 0.099]"
77,"[0.106, 0.108, 0.13, 0.142, 0.103, 0.19, 0.13, 0.129, 0.139, 0.128]"
78,"[0.102, 0.115, 0.106, 0.09, 0.103, 0.244, 0.099, 0.098, 0.116, 0.106]"
79,"[0.106, 0.11, 0.13, 0.158, 0.103, 0.173, 0.136, 0.136, 0.147, 0.139]"
80,"[0.102, 0.114, 0.096, 0.086, 0.103, 0.257, 0.129, 0.128, 0.139, 0.132]"
81,"[0.106, 0.113, 0.132, 0.144, 0.104, 0.151, 0.142, 0.141, 0.151, 0.142]"
82,"[0.102, 0.113, 0.095, 0.082, 0.103, 0.262, 0.152, 0.155, 0.167, 0.151]"
83,"[0.106, 0.108, 0.105, 0.143, 0.105, 0.133, 0.143, 0.141, 0.15, 0.143]"
84,"[0.102, 0.112, 0.095, 0.082, 0.103, 0.261, 0.165, 0.166, 0.184, 0.163]"
85,"[0.106, 0.102, 0.11, 0.129, 0.107, 0.128, 0.14, 0.137, 0.149, 0.136]"
86,"[0.102, 0.112, 0.095, 0.081, 0.103, 0.218, 0.171, 0.171, 0.195, 0.168]"
87,"[0.106, 0.099, 0.096, 0.128, 0.114, 0.122, 0.144, 0.14, 0.156, 0.143]"
88,"[0.102, 0.112, 0.095, 0.081, 0.103, 0.214, 0.167, 0.168, 0.195, 0.166]"
89,"[0.106, 0.099, 0.096, 0.122, 0.118, 0.11, 0.154, 0.158, 0.167, 0.152]"
90,"[0.102, 0.112, 0.095, 0.081, 0.103, 0.192, 0.17, 0.168, 0.191, 0.166]"
91,"[0.106, 0.099, 0.096, 0.122, 0.154, 0.108, 0.163, 0.163, 0.176, 0.157]"
92,"[0.102, 0.112, 0.095, 0.081, 0.128, 0.172, 0.164, 0.163, 0.178, 0.167]"
93,"[0.106, 0.099, 0.096, 0.122, 0.195, 0.108, 0.159, 0.159, 0.172, 0.157]"
94,"[0.102, 0.112, 0.095, 0.081, 0.228, 0.145, 0.168, 0.165, 0.185, 0.167]"
95,"[0.106, 0.099, 0.096, 0.122, 0.178, 0.108, 0.177, 0.176, 0.193, 0.176]"
96,"[0.102, 0.112, 0.095, 0.081, 0.284, 0.115, 0.171, 0.169, 0.187, 0.171]"
97,"[0.106, 0.099, 0.096, 0.122, 0.191, 0.108, 0.185, 0.194, 0.219, 0.19]"
98,"[0.102, 0.112, 0.095, 0.081, 0.287, 0.11, 0.166, 0.166, 0.191, 0.172]"
99,"[0.106, 0.099, 0.096, 0.122, 0.191, 0.108, 0.214, 0.206, 0.247, 0.221]"
