eigenvector_centrality,[0]
57,"[0.28, 0.192, 0.173, 0.237, 0.111, 0.134, 0.129, 0.193, 0.186, 0.187]"
58,"[0.394, 0.17, 0.169, 0.133, 0.204, 0.206, 0.211, 0.112, 0.184, 0.183]"
59,"[0.242, 0.189, 0.174, 0.228, 0.107, 0.117, 0.125, 0.19, 0.184, 0.188]"
60,"[0.306, 0.169, 0.171, 0.13, 0.193, 0.2, 0.193, 0.105, 0.187, 0.185]"
61,"[0.299, 0.191, 0.171, 0.217, 0.108, 0.116, 0.132, 0.187, 0.184, 0.185]"
62,"[0.308, 0.166, 0.17, 0.13, 0.186, 0.195, 0.184, 0.105, 0.185, 0.184]"
63,"[0.375, 0.201, 0.172, 0.197, 0.101, 0.115, 0.125, 0.187, 0.182, 0.186]"
64,"[0.286, 0.164, 0.169, 0.119, 0.15, 0.196, 0.15, 0.101, 0.187, 0.182]"
65,"[0.44, 0.206, 0.173, 0.157, 0.098, 0.114, 0.121, 0.187, 0.19, 0.187]"
66,"[0.257, 0.156, 0.166, 0.118, 0.115, 0.198, 0.115, 0.097, 0.187, 0.183]"
67,"[0.456, 0.21, 0.174, 0.13, 0.105, 0.114, 0.13, 0.185, 0.188, 0.197]"
68,"[0.243, 0.162, 0.173, 0.127, 0.106, 0.211, 0.099, 0.097, 0.192, 0.187]"
69,"[0.417, 0.217, 0.176, 0.126, 0.112, 0.114, 0.133, 0.185, 0.191, 0.196]"
70,"[0.291, 0.164, 0.174, 0.137, 0.107, 0.226, 0.1, 0.097, 0.195, 0.192]"
71,"[0.332, 0.219, 0.178, 0.126, 0.111, 0.115, 0.129, 0.187, 0.202, 0.205]"
72,"[0.331, 0.169, 0.175, 0.138, 0.112, 0.237, 0.104, 0.1, 0.194, 0.19]"
73,"[0.312, 0.236, 0.181, 0.144, 0.105, 0.117, 0.124, 0.202, 0.209, 0.2]"
74,"[0.321, 0.171, 0.176, 0.14, 0.115, 0.25, 0.112, 0.1, 0.193, 0.19]"
75,"[0.287, 0.239, 0.176, 0.165, 0.103, 0.117, 0.123, 0.207, 0.197, 0.191]"
76,"[0.347, 0.169, 0.173, 0.132, 0.128, 0.259, 0.129, 0.1, 0.189, 0.186]"
77,"[0.296, 0.243, 0.174, 0.18, 0.1, 0.115, 0.117, 0.224, 0.194, 0.195]"
78,"[0.427, 0.168, 0.176, 0.126, 0.13, 0.264, 0.13, 0.097, 0.193, 0.193]"
79,"[0.28, 0.242, 0.17, 0.182, 0.097, 0.115, 0.117, 0.233, 0.193, 0.19]"
80,"[0.506, 0.172, 0.175, 0.133, 0.137, 0.27, 0.135, 0.099, 0.191, 0.198]"
81,"[0.283, 0.243, 0.172, 0.2, 0.099, 0.117, 0.119, 0.242, 0.193, 0.188]"
82,"[0.449, 0.173, 0.174, 0.15, 0.145, 0.269, 0.149, 0.1, 0.189, 0.195]"
83,"[0.32, 0.264, 0.185, 0.252, 0.105, 0.118, 0.128, 0.247, 0.202, 0.201]"
84,"[0.438, 0.176, 0.171, 0.154, 0.17, 0.253, 0.186, 0.102, 0.188, 0.192]"
85,"[0.332, 0.293, 0.181, 0.271, 0.109, 0.12, 0.127, 0.258, 0.199, 0.203]"
86,"[0.45, 0.18, 0.169, 0.156, 0.207, 0.25, 0.228, 0.102, 0.184, 0.191]"
87,"[0.323, 0.313, 0.181, 0.269, 0.109, 0.12, 0.13, 0.27, 0.201, 0.204]"
88,"[0.453, 0.182, 0.166, 0.157, 0.233, 0.244, 0.242, 0.102, 0.185, 0.191]"
89,"[0.329, 0.31, 0.179, 0.268, 0.118, 0.121, 0.136, 0.264, 0.204, 0.202]"
90,"[0.438, 0.183, 0.165, 0.159, 0.24, 0.227, 0.241, 0.106, 0.183, 0.19]"
91,"[0.339, 0.299, 0.176, 0.266, 0.121, 0.125, 0.139, 0.243, 0.197, 0.198]"
92,"[0.444, 0.184, 0.165, 0.16, 0.236, 0.202, 0.24, 0.109, 0.179, 0.188]"
93,"[0.327, 0.273, 0.191, 0.266, 0.125, 0.127, 0.139, 0.226, 0.201, 0.2]"
94,"[0.474, 0.185, 0.164, 0.162, 0.243, 0.173, 0.241, 0.113, 0.173, 0.187]"
95,"[0.322, 0.269, 0.195, 0.273, 0.13, 0.128, 0.149, 0.198, 0.204, 0.206]"
96,"[0.497, 0.184, 0.165, 0.164, 0.24, 0.165, 0.238, 0.109, 0.176, 0.193]"
97,"[0.364, 0.274, 0.206, 0.304, 0.134, 0.127, 0.151, 0.165, 0.213, 0.212]"
98,"[0.433, 0.184, 0.172, 0.163, 0.245, 0.153, 0.246, 0.109, 0.185, 0.193]"
99,"[0.386, 0.219, 0.198, 0.313, 0.133, 0.126, 0.151, 0.141, 0.202, 0.202]"
