eigenvector_centrality,"[9, 8]"
0,"[0.08, 0.104, 0.122, 0.097, 0.1, 0.118, 0.221, 0.102, 0.093, 0.091]"
1,"[0.105, 0.109, 0.182, 0.122, 0.189, 0.142, 0.226, 0.098, 0.249, 0.178]"
2,"[0.149, 0.104, 0.233, 0.097, 0.1, 0.086, 0.213, 0.202, 0.093, 0.091]"
3,"[0.218, 0.176, 0.293, 0.122, 0.282, 0.108, 0.161, 0.175, 0.352, 0.17]"
4,"[0.226, 0.181, 0.179, 0.102, 0.1, 0.109, 0.364, 0.386, 0.167, 0.158]"
5,"[0.245, 0.212, 0.332, 0.122, 0.208, 0.168, 0.197, 0.18, 0.334, 0.214]"
6,"[0.251, 0.214, 0.125, 0.279, 0.103, 0.113, 0.419, 0.338, 0.175, 0.147]"
7,"[0.279, 0.293, 0.348, 0.121, 0.284, 0.381, 0.138, 0.186, 0.297, 0.357]"
8,"[0.25, 0.278, 0.101, 0.359, 0.128, 0.121, 0.408, 0.299, 0.161, 0.103]"
9,"[0.269, 0.24, 0.255, 0.121, 0.359, 0.399, 0.189, 0.182, 0.303, 0.429]"
10,"[0.247, 0.275, 0.112, 0.279, 0.118, 0.107, 0.295, 0.288, 0.171, 0.092]"
11,"[0.263, 0.246, 0.23, 0.121, 0.31, 0.347, 0.256, 0.181, 0.312, 0.346]"
12,"[0.281, 0.277, 0.108, 0.273, 0.116, 0.109, 0.294, 0.292, 0.179, 0.1]"
13,"[0.278, 0.282, 0.239, 0.121, 0.33, 0.346, 0.27, 0.216, 0.329, 0.348]"
14,"[0.296, 0.281, 0.114, 0.287, 0.13, 0.133, 0.332, 0.314, 0.212, 0.15]"
15,"[0.285, 0.311, 0.274, 0.121, 0.344, 0.374, 0.28, 0.193, 0.338, 0.387]"
16,"[0.355, 0.271, 0.171, 0.306, 0.151, 0.234, 0.355, 0.318, 0.2, 0.229]"
17,"[0.283, 0.319, 0.305, 0.121, 0.345, 0.403, 0.274, 0.182, 0.343, 0.407]"
18,"[0.355, 0.258, 0.236, 0.342, 0.157, 0.294, 0.348, 0.324, 0.259, 0.27]"
19,"[0.274, 0.323, 0.33, 0.129, 0.356, 0.402, 0.265, 0.191, 0.344, 0.417]"
20,"[0.362, 0.237, 0.247, 0.358, 0.178, 0.311, 0.35, 0.327, 0.278, 0.281]"
21,"[0.264, 0.341, 0.336, 0.234, 0.352, 0.413, 0.26, 0.23, 0.344, 0.421]"
22,"[0.375, 0.212, 0.242, 0.37, 0.248, 0.321, 0.369, 0.324, 0.283, 0.276]"
23,"[0.252, 0.362, 0.342, 0.28, 0.351, 0.417, 0.252, 0.237, 0.337, 0.427]"
24,"[0.39, 0.192, 0.236, 0.362, 0.318, 0.308, 0.377, 0.318, 0.289, 0.266]"
25,"[0.227, 0.358, 0.357, 0.285, 0.347, 0.424, 0.241, 0.272, 0.297, 0.272]"
26,"[0.396, 0.18, 0.228, 0.382, 0.324, 0.303, 0.389, 0.335, 0.408, 0.393]"
27,"[0.201, 0.377, 0.37, 0.281, 0.364, 0.43, 0.226, 0.313, 0.486, 0.436]"
28,"[0.414, 0.18, 0.204, 0.36, 0.336, 0.288, 0.385, 0.296, 0.44, 0.27]"
29,"[0.192, 0.375, 0.397, 0.258, 0.348, 0.443, 0.218, 0.43, 0.236, 0.539]"
30,"[0.417, 0.182, 0.175, 0.321, 0.313, 0.268, 0.389, 0.227, 0.41, 0.317]"
31,"[0.187, 0.4, 0.409, 0.185, 0.302, 0.409, 0.216, 0.253, 0.214, 0.422]"
32,"[0.432, 0.195, 0.159, 0.297, 0.303, 0.339, 0.419, 0.2, 0.38, 0.253]"
33,"[0.188, 0.389, 0.394, 0.274, 0.24, 0.365, 0.229, 0.195, 0.193, 0.399]"
34,"[0.431, 0.222, 0.175, 0.261, 0.202, 0.315, 0.417, 0.182, 0.394, 0.268]"
35,"[0.221, 0.381, 0.325, 0.23, 0.213, 0.309, 0.314, 0.167, 0.197, 0.416]"
36,"[0.41, 0.264, 0.271, 0.22, 0.166, 0.237, 0.374, 0.154, 0.415, 0.274]"
37,"[0.299, 0.377, 0.283, 0.185, 0.207, 0.228, 0.331, 0.132, 0.234, 0.41]"
38,"[0.394, 0.304, 0.255, 0.209, 0.117, 0.203, 0.408, 0.129, 0.297, 0.242]"
39,"[0.333, 0.381, 0.31, 0.17, 0.189, 0.209, 0.306, 0.122, 0.433, 0.411]"
40,"[0.422, 0.315, 0.215, 0.198, 0.104, 0.19, 0.392, 0.129, 0.265, 0.225]"
41,"[0.316, 0.417, 0.3, 0.152, 0.166, 0.2, 0.281, 0.119, 0.505, 0.369]"
42,"[0.349, 0.305, 0.194, 0.195, 0.104, 0.154, 0.357, 0.122, 0.243, 0.199]"
43,"[0.314, 0.361, 0.289, 0.12, 0.139, 0.199, 0.23, 0.119, 0.382, 0.375]"
44,"[0.365, 0.288, 0.167, 0.196, 0.104, 0.131, 0.29, 0.122, 0.238, 0.147]"
45,"[0.27, 0.399, 0.248, 0.097, 0.11, 0.199, 0.198, 0.119, 0.38, 0.339]"
46,"[0.33, 0.302, 0.154, 0.197, 0.104, 0.113, 0.243, 0.119, 0.41, 0.284]"
47,"[0.244, 0.287, 0.201, 0.097, 0.104, 0.199, 0.176, 0.119, 0.327, 0.226]"
48,"[0.309, 0.3, 0.137, 0.197, 0.104, 0.114, 0.229, 0.119, 0.43, 0.399]"
49,"[0.209, 0.281, 0.203, 0.097, 0.104, 0.199, 0.163, 0.119, 0.34, 0.187]"
50,"[0.317, 0.256, 0.118, 0.194, 0.104, 0.112, 0.227, 0.119, 0.36, 0.312]"
51,"[0.182, 0.282, 0.2, 0.097, 0.104, 0.195, 0.146, 0.119, 0.415, 0.249]"
52,"[0.33, 0.235, 0.107, 0.196, 0.104, 0.111, 0.217, 0.119, 0.302, 0.226]"
53,"[0.169, 0.296, 0.2, 0.097, 0.104, 0.198, 0.136, 0.119, 0.341, 0.262]"
54,"[0.321, 0.19, 0.099, 0.196, 0.104, 0.107, 0.211, 0.119, 0.281, 0.141]"
55,"[0.149, 0.287, 0.196, 0.097, 0.105, 0.196, 0.127, 0.119, 0.305, 0.409]"
56,"[0.299, 0.188, 0.098, 0.201, 0.104, 0.107, 0.209, 0.119, 0.372, 0.142]"
57,"[0.139, 0.278, 0.191, 0.097, 0.104, 0.2, 0.124, 0.119, 0.222, 0.331]"
58,"[0.273, 0.172, 0.098, 0.202, 0.104, 0.107, 0.198, 0.119, 0.324, 0.377]"
59,"[0.149, 0.244, 0.184, 0.097, 0.106, 0.201, 0.136, 0.119, 0.19, 0.205]"
60,"[0.276, 0.18, 0.1, 0.202, 0.104, 0.108, 0.197, 0.119, 0.31, 0.408]"
61,"[0.156, 0.252, 0.185, 0.097, 0.104, 0.202, 0.145, 0.119, 0.241, 0.225]"
62,"[0.321, 0.185, 0.109, 0.202, 0.104, 0.107, 0.205, 0.119, 0.323, 0.389]"
63,"[0.156, 0.314, 0.184, 0.097, 0.104, 0.202, 0.153, 0.119, 0.343, 0.215]"
64,"[0.317, 0.192, 0.109, 0.202, 0.104, 0.108, 0.208, 0.119, 0.239, 0.291]"
65,"[0.129, 0.299, 0.185, 0.097, 0.116, 0.202, 0.17, 0.119, 0.377, 0.351]"
66,"[0.335, 0.189, 0.104, 0.202, 0.104, 0.109, 0.223, 0.119, 0.258, 0.257]"
67,"[0.149, 0.299, 0.184, 0.097, 0.185, 0.202, 0.162, 0.119, 0.368, 0.396]"
68,"[0.284, 0.159, 0.102, 0.202, 0.104, 0.107, 0.226, 0.119, 0.26, 0.247]"
69,"[0.153, 0.263, 0.176, 0.097, 0.206, 0.202, 0.151, 0.119, 0.368, 0.346]"
70,"[0.269, 0.159, 0.097, 0.197, 0.104, 0.107, 0.241, 0.119, 0.277, 0.384]"
71,"[0.147, 0.245, 0.154, 0.097, 0.212, 0.202, 0.151, 0.119, 0.373, 0.353]"
72,"[0.232, 0.157, 0.097, 0.179, 0.104, 0.107, 0.238, 0.119, 0.295, 0.322]"
73,"[0.134, 0.242, 0.123, 0.097, 0.211, 0.202, 0.158, 0.119, 0.303, 0.223]"
74,"[0.212, 0.144, 0.097, 0.2, 0.104, 0.107, 0.234, 0.119, 0.265, 0.296]"
75,"[0.125, 0.219, 0.103, 0.097, 0.198, 0.2, 0.146, 0.119, 0.314, 0.358]"
76,"[0.195, 0.141, 0.097, 0.196, 0.104, 0.107, 0.235, 0.119, 0.262, 0.336]"
77,"[0.115, 0.204, 0.097, 0.097, 0.196, 0.202, 0.143, 0.119, 0.319, 0.239]"
78,"[0.175, 0.136, 0.097, 0.174, 0.104, 0.107, 0.226, 0.119, 0.316, 0.216]"
79,"[0.107, 0.191, 0.09, 0.097, 0.193, 0.202, 0.118, 0.119, 0.229, 0.289]"
80,"[0.16, 0.125, 0.097, 0.129, 0.104, 0.107, 0.218, 0.119, 0.292, 0.229]"
81,"[0.107, 0.193, 0.089, 0.097, 0.193, 0.201, 0.108, 0.119, 0.279, 0.342]"
82,"[0.149, 0.111, 0.097, 0.108, 0.104, 0.107, 0.218, 0.119, 0.243, 0.233]"
83,"[0.11, 0.188, 0.087, 0.097, 0.198, 0.201, 0.097, 0.119, 0.316, 0.264]"
84,"[0.14, 0.11, 0.097, 0.106, 0.104, 0.107, 0.198, 0.119, 0.228, 0.369]"
85,"[0.113, 0.184, 0.087, 0.097, 0.203, 0.2, 0.096, 0.119, 0.292, 0.177]"
86,"[0.125, 0.114, 0.097, 0.106, 0.104, 0.107, 0.188, 0.119, 0.256, 0.39]"
87,"[0.114, 0.182, 0.087, 0.097, 0.188, 0.202, 0.096, 0.119, 0.275, 0.192]"
88,"[0.12, 0.117, 0.097, 0.105, 0.104, 0.107, 0.178, 0.119, 0.277, 0.39]"
