eigenvector_centrality,"[0, 6]"
57,"[0.338, 0.164, 0.094, 0.081, 0.103, 0.108, 0.331, 0.29, 0.123, 0.148]"
58,"[0.439, 0.112, 0.228, 0.124, 0.113, 0.142, 0.347, 0.107, 0.109, 0.286]"
59,"[0.337, 0.167, 0.094, 0.081, 0.103, 0.108, 0.307, 0.273, 0.129, 0.119]"
60,"[0.415, 0.112, 0.215, 0.115, 0.112, 0.14, 0.546, 0.094, 0.109, 0.266]"
61,"[0.342, 0.163, 0.094, 0.081, 0.103, 0.108, 0.294, 0.268, 0.127, 0.107]"
62,"[0.408, 0.112, 0.211, 0.117, 0.11, 0.136, 0.428, 0.094, 0.126, 0.248]"
63,"[0.387, 0.164, 0.094, 0.081, 0.103, 0.108, 0.276, 0.259, 0.122, 0.098]"
64,"[0.38, 0.112, 0.2, 0.113, 0.118, 0.135, 0.385, 0.094, 0.114, 0.225]"
65,"[0.392, 0.152, 0.094, 0.081, 0.103, 0.108, 0.336, 0.246, 0.115, 0.098]"
66,"[0.428, 0.112, 0.195, 0.121, 0.121, 0.131, 0.367, 0.094, 0.117, 0.21]"
67,"[0.369, 0.147, 0.094, 0.081, 0.103, 0.108, 0.387, 0.237, 0.115, 0.098]"
68,"[0.45, 0.112, 0.187, 0.12, 0.121, 0.127, 0.369, 0.094, 0.115, 0.204]"
69,"[0.412, 0.137, 0.094, 0.081, 0.103, 0.108, 0.438, 0.232, 0.109, 0.098]"
70,"[0.443, 0.114, 0.18, 0.112, 0.115, 0.126, 0.344, 0.094, 0.126, 0.187]"
71,"[0.507, 0.135, 0.094, 0.081, 0.103, 0.108, 0.512, 0.216, 0.109, 0.098]"
72,"[0.356, 0.118, 0.174, 0.103, 0.111, 0.122, 0.415, 0.094, 0.132, 0.175]"
73,"[0.518, 0.121, 0.094, 0.081, 0.103, 0.108, 0.479, 0.202, 0.129, 0.098]"
74,"[0.367, 0.113, 0.17, 0.107, 0.115, 0.124, 0.428, 0.094, 0.135, 0.166]"
75,"[0.434, 0.12, 0.094, 0.081, 0.103, 0.108, 0.483, 0.19, 0.125, 0.098]"
76,"[0.353, 0.112, 0.159, 0.107, 0.114, 0.122, 0.352, 0.094, 0.13, 0.155]"
77,"[0.414, 0.118, 0.094, 0.081, 0.103, 0.108, 0.451, 0.176, 0.133, 0.098]"
78,"[0.371, 0.112, 0.145, 0.105, 0.107, 0.121, 0.335, 0.094, 0.117, 0.14]"
79,"[0.414, 0.114, 0.094, 0.081, 0.103, 0.108, 0.409, 0.163, 0.118, 0.098]"
80,"[0.355, 0.112, 0.132, 0.093, 0.101, 0.119, 0.328, 0.094, 0.121, 0.128]"
81,"[0.391, 0.108, 0.094, 0.081, 0.103, 0.108, 0.486, 0.147, 0.125, 0.098]"
82,"[0.383, 0.112, 0.122, 0.086, 0.096, 0.111, 0.32, 0.094, 0.121, 0.123]"
83,"[0.388, 0.107, 0.094, 0.081, 0.103, 0.109, 0.415, 0.129, 0.115, 0.098]"
84,"[0.388, 0.112, 0.114, 0.084, 0.09, 0.105, 0.306, 0.094, 0.12, 0.115]"
85,"[0.381, 0.101, 0.094, 0.081, 0.103, 0.109, 0.37, 0.117, 0.105, 0.098]"
86,"[0.384, 0.112, 0.102, 0.071, 0.081, 0.101, 0.382, 0.094, 0.127, 0.11]"
87,"[0.348, 0.093, 0.094, 0.081, 0.103, 0.109, 0.347, 0.115, 0.107, 0.098]"
88,"[0.389, 0.112, 0.093, 0.065, 0.079, 0.094, 0.385, 0.094, 0.116, 0.1]"
89,"[0.361, 0.091, 0.094, 0.081, 0.103, 0.109, 0.387, 0.108, 0.104, 0.098]"
90,"[0.404, 0.112, 0.089, 0.062, 0.076, 0.092, 0.354, 0.094, 0.108, 0.093]"
91,"[0.389, 0.091, 0.094, 0.081, 0.103, 0.109, 0.394, 0.104, 0.108, 0.098]"
92,"[0.395, 0.112, 0.086, 0.063, 0.076, 0.09, 0.349, 0.094, 0.108, 0.087]"
93,"[0.464, 0.094, 0.094, 0.081, 0.103, 0.109, 0.468, 0.104, 0.108, 0.098]"
94,"[0.36, 0.112, 0.084, 0.065, 0.076, 0.09, 0.373, 0.094, 0.109, 0.081]"
95,"[0.446, 0.094, 0.094, 0.08, 0.103, 0.109, 0.442, 0.097, 0.109, 0.098]"
96,"[0.357, 0.112, 0.072, 0.068, 0.075, 0.089, 0.393, 0.094, 0.109, 0.076]"
97,"[0.44, 0.097, 0.094, 0.08, 0.103, 0.109, 0.431, 0.092, 0.109, 0.098]"
98,"[0.332, 0.112, 0.074, 0.075, 0.081, 0.092, 0.409, 0.095, 0.108, 0.076]"
99,"[0.437, 0.099, 0.094, 0.081, 0.101, 0.109, 0.438, 0.087, 0.108, 0.098]"
