in_deg_centrality,[10  6  9  0]
38,"[tensor(0.0052, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0058, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0047, device='cuda:0')]"
39,"[tensor(0.0054, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
40,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
41,"[tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
42,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
43,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
44,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
45,"[tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
46,"[tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
47,"[tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
48,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
49,"[tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
50,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
51,"[tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
52,"[tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
53,"[tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
54,"[tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
55,"[tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
56,"[tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
57,"[tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
58,"[tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
59,"[tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
60,"[tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
61,"[tensor(0.0053, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0043, device='cuda:0')]"
62,"[tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0056, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
63,"[tensor(0.0056, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0')]"
64,"[tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0057, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
65,"[tensor(0.0059, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0')]"
66,"[tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0063, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
67,"[tensor(0.0059, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0')]"
68,"[tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0064, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
69,"[tensor(0.0060, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0043, device='cuda:0')]"
70,"[tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0066, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
71,"[tensor(0.0061, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
72,"[tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0069, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0052, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
73,"[tensor(0.0064, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0056, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
74,"[tensor(0.0051, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0076, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0060, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0')]"
75,"[tensor(0.0067, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0043, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0059, device='cuda:0'), tensor(0.0063, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
