closeness_centrality,[18 10  4  2]
38,"[tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
39,"[tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0067, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
40,"[tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
41,"[tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0070, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
42,"[tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
43,"[tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
44,"[tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
45,"[tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0066, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
46,"[tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
47,"[tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0064, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
48,"[tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0060, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
49,"[tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
50,"[tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0064, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
51,"[tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
52,"[tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0060, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
53,"[tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0066, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
54,"[tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0066, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
55,"[tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0067, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
56,"[tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0067, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
57,"[tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
58,"[tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0064, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
59,"[tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
60,"[tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0069, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
61,"[tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0070, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
62,"[tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0071, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0066, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
63,"[tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0071, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
64,"[tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0073, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
65,"[tensor(0.0044, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0075, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
66,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0064, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0079, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0070, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
67,"[tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0081, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
68,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0089, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0071, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
69,"[tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0083, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
70,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0093, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0073, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
71,"[tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0086, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0056, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
72,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0064, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0090, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0074, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
73,"[tensor(0.0043, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0087, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
74,"[tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0065, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0099, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0043, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0076, device='cuda:2'), tensor(0.0045, device='cuda:2')]"
75,"[tensor(0.0044, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0090, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0073, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0044, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0042, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2')]"
