closeness_centrality,[18 10  4  2]
10,"[tensor(0.0053, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0058, device='cuda:2')]"
11,"[tensor(0.0047, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
12,"[tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0055, device='cuda:2')]"
13,"[tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
14,"[tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0052, device='cuda:2')]"
15,"[tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2')]"
16,"[tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2')]"
17,"[tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2')]"
18,"[tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
19,"[tensor(0.0049, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2')]"
