eigenvector_centrality,[5]
57,"[0.105, 0.339, 0.344, 0.287, 0.364, 0.308, 0.115, 0.402, 0.299, 0.103]"
58,"[0.347, 0.104, 0.083, 0.094, 0.091, 0.386, 0.391, 0.153, 0.106, 0.368]"
59,"[0.105, 0.322, 0.352, 0.295, 0.37, 0.301, 0.115, 0.403, 0.294, 0.103]"
60,"[0.356, 0.104, 0.083, 0.092, 0.091, 0.391, 0.395, 0.153, 0.106, 0.373]"
61,"[0.105, 0.322, 0.356, 0.291, 0.368, 0.297, 0.115, 0.401, 0.294, 0.103]"
62,"[0.355, 0.104, 0.083, 0.091, 0.091, 0.411, 0.393, 0.133, 0.106, 0.376]"
63,"[0.105, 0.313, 0.355, 0.288, 0.366, 0.28, 0.115, 0.404, 0.285, 0.103]"
64,"[0.354, 0.104, 0.083, 0.091, 0.091, 0.462, 0.393, 0.128, 0.106, 0.374]"
65,"[0.105, 0.31, 0.357, 0.29, 0.365, 0.258, 0.115, 0.402, 0.281, 0.103]"
66,"[0.352, 0.104, 0.083, 0.091, 0.091, 0.488, 0.392, 0.132, 0.106, 0.37]"
67,"[0.105, 0.319, 0.358, 0.291, 0.361, 0.274, 0.115, 0.393, 0.29, 0.103]"
68,"[0.348, 0.104, 0.083, 0.091, 0.091, 0.467, 0.39, 0.15, 0.106, 0.368]"
69,"[0.105, 0.311, 0.361, 0.293, 0.355, 0.305, 0.115, 0.394, 0.286, 0.103]"
70,"[0.347, 0.104, 0.083, 0.091, 0.091, 0.364, 0.394, 0.154, 0.106, 0.362]"
71,"[0.105, 0.309, 0.36, 0.303, 0.34, 0.382, 0.115, 0.373, 0.283, 0.103]"
72,"[0.335, 0.104, 0.083, 0.091, 0.092, 0.327, 0.388, 0.13, 0.106, 0.358]"
73,"[0.105, 0.316, 0.369, 0.306, 0.331, 0.403, 0.115, 0.352, 0.287, 0.103]"
74,"[0.331, 0.104, 0.083, 0.091, 0.092, 0.298, 0.381, 0.126, 0.106, 0.354]"
75,"[0.105, 0.312, 0.37, 0.309, 0.325, 0.417, 0.115, 0.35, 0.285, 0.103]"
76,"[0.323, 0.104, 0.083, 0.091, 0.092, 0.29, 0.389, 0.12, 0.106, 0.354]"
