eigenvector_centrality,[2]
0,"[0.102, 0.186, 0.148, 0.122, 0.1, 0.138, 0.109, 0.085, 0.125, 0.079]"
1,"[0.08, 0.233, 0.096, 0.122, 0.148, 0.124, 0.089, 0.105, 0.103, 0.091]"
2,"[0.102, 0.099, 0.096, 0.122, 0.1, 0.09, 0.089, 0.098, 0.181, 0.163]"
3,"[0.087, 0.114, 0.096, 0.122, 0.109, 0.105, 0.089, 0.179, 0.262, 0.091]"
4,"[0.19, 0.099, 0.208, 0.225, 0.1, 0.09, 0.138, 0.098, 0.113, 0.103]"
5,"[0.083, 0.114, 0.19, 0.248, 0.136, 0.105, 0.215, 0.104, 0.186, 0.162]"
6,"[0.196, 0.23, 0.168, 0.243, 0.204, 0.09, 0.294, 0.2, 0.113, 0.103]"
7,"[0.142, 0.141, 0.205, 0.38, 0.168, 0.256, 0.324, 0.105, 0.186, 0.17]"
8,"[0.19, 0.259, 0.254, 0.248, 0.239, 0.122, 0.358, 0.255, 0.175, 0.142]"
9,"[0.242, 0.159, 0.202, 0.398, 0.175, 0.274, 0.337, 0.218, 0.251, 0.192]"
10,"[0.175, 0.285, 0.279, 0.245, 0.256, 0.129, 0.306, 0.313, 0.267, 0.258]"
11,"[0.267, 0.155, 0.288, 0.354, 0.159, 0.289, 0.335, 0.276, 0.278, 0.256]"
12,"[0.2, 0.29, 0.278, 0.218, 0.257, 0.119, 0.283, 0.268, 0.284, 0.278]"
13,"[0.276, 0.156, 0.248, 0.364, 0.143, 0.296, 0.398, 0.292, 0.289, 0.279]"
14,"[0.281, 0.315, 0.334, 0.203, 0.278, 0.168, 0.248, 0.276, 0.288, 0.287]"
15,"[0.285, 0.238, 0.306, 0.432, 0.251, 0.316, 0.434, 0.296, 0.262, 0.258]"
16,"[0.294, 0.301, 0.279, 0.255, 0.262, 0.195, 0.288, 0.301, 0.353, 0.334]"
17,"[0.296, 0.228, 0.294, 0.502, 0.299, 0.294, 0.446, 0.363, 0.286, 0.28]"
18,"[0.309, 0.263, 0.296, 0.287, 0.271, 0.206, 0.327, 0.321, 0.291, 0.286]"
19,"[0.278, 0.256, 0.287, 0.501, 0.399, 0.295, 0.446, 0.295, 0.335, 0.34]"
20,"[0.351, 0.264, 0.341, 0.293, 0.283, 0.311, 0.325, 0.309, 0.27, 0.274]"
21,"[0.278, 0.337, 0.272, 0.452, 0.392, 0.301, 0.476, 0.287, 0.318, 0.341]"
22,"[0.351, 0.263, 0.384, 0.33, 0.309, 0.354, 0.31, 0.291, 0.271, 0.268]"
23,"[0.277, 0.375, 0.285, 0.422, 0.387, 0.315, 0.477, 0.286, 0.3, 0.341]"
24,"[0.359, 0.262, 0.414, 0.341, 0.318, 0.344, 0.269, 0.298, 0.271, 0.263]"
25,"[0.268, 0.362, 0.452, 0.412, 0.417, 0.329, 0.45, 0.279, 0.334, 0.371]"
26,"[0.365, 0.271, 0.416, 0.326, 0.299, 0.344, 0.264, 0.389, 0.263, 0.258]"
27,"[0.253, 0.363, 0.492, 0.382, 0.434, 0.298, 0.468, 0.282, 0.358, 0.379]"
28,"[0.359, 0.278, 0.478, 0.336, 0.286, 0.403, 0.382, 0.376, 0.253, 0.243]"
29,"[0.235, 0.413, 0.459, 0.368, 0.426, 0.272, 0.411, 0.29, 0.364, 0.376]"
30,"[0.352, 0.249, 0.543, 0.404, 0.357, 0.402, 0.342, 0.37, 0.246, 0.246]"
31,"[0.23, 0.391, 0.462, 0.393, 0.406, 0.263, 0.417, 0.328, 0.338, 0.366]"
32,"[0.327, 0.217, 0.515, 0.463, 0.311, 0.38, 0.318, 0.361, 0.276, 0.288]"
33,"[0.276, 0.359, 0.438, 0.34, 0.357, 0.286, 0.41, 0.341, 0.324, 0.355]"
34,"[0.308, 0.256, 0.524, 0.395, 0.295, 0.332, 0.313, 0.361, 0.276, 0.299]"
35,"[0.273, 0.306, 0.455, 0.288, 0.261, 0.311, 0.373, 0.304, 0.285, 0.32]"
36,"[0.3, 0.266, 0.511, 0.36, 0.286, 0.299, 0.31, 0.333, 0.27, 0.284]"
37,"[0.258, 0.292, 0.463, 0.269, 0.237, 0.302, 0.358, 0.261, 0.26, 0.304]"
38,"[0.289, 0.256, 0.509, 0.351, 0.282, 0.234, 0.31, 0.314, 0.264, 0.263]"
39,"[0.248, 0.238, 0.457, 0.251, 0.229, 0.296, 0.321, 0.25, 0.265, 0.299]"
40,"[0.297, 0.245, 0.521, 0.359, 0.268, 0.217, 0.303, 0.304, 0.261, 0.262]"
41,"[0.242, 0.226, 0.442, 0.243, 0.243, 0.287, 0.289, 0.239, 0.254, 0.292]"
42,"[0.284, 0.246, 0.516, 0.387, 0.263, 0.213, 0.307, 0.279, 0.263, 0.263]"
43,"[0.25, 0.195, 0.444, 0.234, 0.254, 0.278, 0.277, 0.252, 0.192, 0.238]"
44,"[0.223, 0.246, 0.528, 0.5, 0.26, 0.206, 0.328, 0.2, 0.273, 0.281]"
45,"[0.259, 0.167, 0.451, 0.218, 0.257, 0.278, 0.266, 0.289, 0.151, 0.178]"
46,"[0.173, 0.259, 0.553, 0.562, 0.257, 0.191, 0.416, 0.17, 0.33, 0.353]"
