eigenvector_centrality,[1]
57,"[0.366, 0.416, 0.26, 0.296, 0.394, 0.277, 0.323, 0.283, 0.387, 0.394]"
58,"[0.271, 0.399, 0.377, 0.381, 0.27, 0.412, 0.416, 0.381, 0.25, 0.246]"
59,"[0.364, 0.425, 0.257, 0.292, 0.388, 0.27, 0.318, 0.275, 0.383, 0.39]"
60,"[0.263, 0.406, 0.373, 0.373, 0.265, 0.408, 0.421, 0.376, 0.244, 0.244]"
61,"[0.361, 0.505, 0.255, 0.286, 0.384, 0.265, 0.32, 0.273, 0.379, 0.391]"
62,"[0.262, 0.421, 0.372, 0.376, 0.269, 0.41, 0.423, 0.375, 0.236, 0.243]"
63,"[0.363, 0.529, 0.25, 0.283, 0.385, 0.262, 0.327, 0.268, 0.378, 0.394]"
64,"[0.258, 0.421, 0.37, 0.387, 0.269, 0.41, 0.418, 0.375, 0.226, 0.241]"
65,"[0.361, 0.46, 0.25, 0.274, 0.382, 0.253, 0.319, 0.265, 0.379, 0.394]"
66,"[0.258, 0.424, 0.365, 0.398, 0.266, 0.417, 0.415, 0.377, 0.226, 0.235]"
67,"[0.359, 0.372, 0.253, 0.274, 0.381, 0.252, 0.315, 0.266, 0.382, 0.398]"
68,"[0.257, 0.428, 0.37, 0.4, 0.265, 0.41, 0.413, 0.373, 0.224, 0.235]"
69,"[0.359, 0.351, 0.252, 0.271, 0.393, 0.254, 0.315, 0.267, 0.387, 0.405]"
70,"[0.25, 0.429, 0.385, 0.404, 0.259, 0.4, 0.403, 0.365, 0.224, 0.236]"
71,"[0.362, 0.379, 0.248, 0.276, 0.384, 0.255, 0.32, 0.259, 0.391, 0.404]"
72,"[0.241, 0.442, 0.379, 0.416, 0.248, 0.392, 0.406, 0.357, 0.221, 0.237]"
73,"[0.337, 0.421, 0.235, 0.287, 0.376, 0.268, 0.327, 0.251, 0.393, 0.408]"
74,"[0.228, 0.438, 0.387, 0.42, 0.244, 0.387, 0.403, 0.348, 0.22, 0.244]"
75,"[0.31, 0.481, 0.232, 0.296, 0.348, 0.279, 0.349, 0.235, 0.404, 0.406]"
76,"[0.233, 0.355, 0.382, 0.417, 0.247, 0.371, 0.403, 0.325, 0.225, 0.251]"
77,"[0.288, 0.481, 0.237, 0.299, 0.311, 0.289, 0.353, 0.246, 0.395, 0.397]"
78,"[0.238, 0.31, 0.364, 0.411, 0.253, 0.359, 0.393, 0.312, 0.229, 0.258]"
79,"[0.287, 0.475, 0.238, 0.304, 0.3, 0.298, 0.36, 0.248, 0.391, 0.391]"
80,"[0.235, 0.289, 0.363, 0.404, 0.257, 0.347, 0.388, 0.316, 0.225, 0.257]"
81,"[0.287, 0.483, 0.233, 0.305, 0.295, 0.307, 0.374, 0.241, 0.39, 0.387]"
82,"[0.233, 0.235, 0.354, 0.398, 0.262, 0.355, 0.391, 0.307, 0.211, 0.251]"
83,"[0.286, 0.484, 0.218, 0.303, 0.292, 0.308, 0.378, 0.236, 0.387, 0.382]"
84,"[0.238, 0.239, 0.352, 0.395, 0.263, 0.361, 0.398, 0.305, 0.19, 0.243]"
85,"[0.285, 0.481, 0.221, 0.298, 0.285, 0.301, 0.384, 0.233, 0.378, 0.384]"
86,"[0.24, 0.248, 0.345, 0.389, 0.266, 0.339, 0.386, 0.294, 0.198, 0.247]"
