eigenvector_centrality,"[0, 6]"
57,"[0.125, 0.193, 0.188, 0.233, 0.185, 0.192, 0.307, 0.183, 0.164, 0.327]"
58,"[0.103, 0.17, 0.19, 0.179, 0.183, 0.192, 0.216, 0.196, 0.234, 0.4]"
59,"[0.114, 0.2, 0.213, 0.258, 0.179, 0.208, 0.274, 0.206, 0.163, 0.406]"
60,"[0.103, 0.187, 0.22, 0.199, 0.183, 0.203, 0.232, 0.215, 0.236, 0.42]"
61,"[0.14, 0.206, 0.26, 0.251, 0.165, 0.234, 0.281, 0.219, 0.173, 0.43]"
62,"[0.103, 0.188, 0.218, 0.205, 0.209, 0.211, 0.235, 0.243, 0.23, 0.441]"
63,"[0.15, 0.206, 0.301, 0.264, 0.151, 0.262, 0.27, 0.238, 0.171, 0.418]"
64,"[0.103, 0.2, 0.248, 0.217, 0.216, 0.229, 0.232, 0.262, 0.216, 0.452]"
65,"[0.177, 0.213, 0.302, 0.298, 0.166, 0.283, 0.26, 0.244, 0.178, 0.42]"
66,"[0.103, 0.193, 0.267, 0.214, 0.219, 0.246, 0.227, 0.315, 0.21, 0.445]"
67,"[0.181, 0.229, 0.31, 0.31, 0.152, 0.324, 0.265, 0.272, 0.168, 0.427]"
68,"[0.103, 0.198, 0.289, 0.222, 0.212, 0.281, 0.219, 0.35, 0.229, 0.452]"
69,"[0.183, 0.244, 0.326, 0.353, 0.158, 0.34, 0.264, 0.289, 0.177, 0.436]"
70,"[0.103, 0.183, 0.311, 0.23, 0.211, 0.315, 0.212, 0.372, 0.255, 0.453]"
71,"[0.165, 0.263, 0.33, 0.344, 0.183, 0.352, 0.24, 0.309, 0.177, 0.43]"
72,"[0.103, 0.187, 0.338, 0.247, 0.204, 0.347, 0.246, 0.378, 0.261, 0.451]"
73,"[0.103, 0.292, 0.359, 0.386, 0.199, 0.361, 0.222, 0.316, 0.178, 0.435]"
74,"[0.105, 0.198, 0.351, 0.26, 0.215, 0.356, 0.245, 0.402, 0.274, 0.419]"
75,"[0.103, 0.301, 0.358, 0.388, 0.206, 0.361, 0.215, 0.332, 0.181, 0.421]"
76,"[0.105, 0.199, 0.342, 0.272, 0.217, 0.364, 0.256, 0.396, 0.284, 0.375]"
77,"[0.103, 0.304, 0.347, 0.406, 0.215, 0.358, 0.209, 0.332, 0.182, 0.418]"
78,"[0.137, 0.194, 0.357, 0.28, 0.198, 0.363, 0.304, 0.407, 0.295, 0.364]"
79,"[0.103, 0.295, 0.34, 0.394, 0.207, 0.351, 0.186, 0.346, 0.183, 0.427]"
