eigenvector_centrality,"[2, 3]"
57,"[0.102, 0.117, 0.47, 0.47, 0.327, 0.09, 0.109, 0.104, 0.093, 0.293]"
58,"[0.104, 0.114, 0.417, 0.423, 0.369, 0.091, 0.109, 0.104, 0.091, 0.34]"
59,"[0.102, 0.126, 0.453, 0.482, 0.333, 0.09, 0.109, 0.108, 0.094, 0.297]"
60,"[0.105, 0.114, 0.435, 0.418, 0.378, 0.091, 0.115, 0.104, 0.093, 0.349]"
61,"[0.102, 0.125, 0.41, 0.514, 0.346, 0.09, 0.109, 0.109, 0.096, 0.309]"
62,"[0.104, 0.114, 0.463, 0.429, 0.383, 0.091, 0.112, 0.104, 0.093, 0.36]"
63,"[0.102, 0.123, 0.425, 0.503, 0.355, 0.09, 0.109, 0.104, 0.1, 0.319]"
64,"[0.104, 0.114, 0.453, 0.472, 0.391, 0.09, 0.11, 0.104, 0.094, 0.365]"
65,"[0.102, 0.116, 0.441, 0.484, 0.352, 0.09, 0.109, 0.104, 0.096, 0.331]"
66,"[0.102, 0.114, 0.445, 0.493, 0.392, 0.091, 0.11, 0.104, 0.095, 0.367]"
67,"[0.102, 0.116, 0.444, 0.418, 0.373, 0.09, 0.109, 0.104, 0.099, 0.344]"
68,"[0.102, 0.114, 0.414, 0.566, 0.371, 0.09, 0.109, 0.104, 0.097, 0.347]"
69,"[0.102, 0.114, 0.47, 0.422, 0.38, 0.092, 0.109, 0.104, 0.105, 0.356]"
70,"[0.102, 0.114, 0.462, 0.578, 0.374, 0.094, 0.109, 0.104, 0.099, 0.348]"
71,"[0.102, 0.113, 0.473, 0.429, 0.386, 0.167, 0.109, 0.104, 0.124, 0.371]"
72,"[0.102, 0.114, 0.498, 0.572, 0.375, 0.179, 0.109, 0.104, 0.135, 0.356]"
73,"[0.105, 0.113, 0.463, 0.433, 0.381, 0.195, 0.148, 0.104, 0.129, 0.371]"
74,"[0.102, 0.169, 0.498, 0.566, 0.374, 0.192, 0.109, 0.115, 0.195, 0.346]"
75,"[0.174, 0.114, 0.35, 0.426, 0.389, 0.197, 0.2, 0.104, 0.173, 0.371]"
76,"[0.103, 0.196, 0.483, 0.557, 0.379, 0.193, 0.109, 0.218, 0.216, 0.348]"
77,"[0.2, 0.113, 0.308, 0.468, 0.389, 0.197, 0.203, 0.104, 0.184, 0.364]"
78,"[0.102, 0.202, 0.514, 0.506, 0.4, 0.192, 0.109, 0.222, 0.203, 0.371]"
79,"[0.204, 0.114, 0.226, 0.517, 0.402, 0.197, 0.201, 0.104, 0.161, 0.374]"
80,"[0.102, 0.205, 0.469, 0.45, 0.413, 0.186, 0.109, 0.223, 0.206, 0.382]"
81,"[0.201, 0.116, 0.323, 0.527, 0.385, 0.197, 0.202, 0.104, 0.135, 0.366]"
82,"[0.102, 0.202, 0.468, 0.4, 0.4, 0.181, 0.111, 0.184, 0.135, 0.389]"
83,"[0.179, 0.121, 0.382, 0.527, 0.4, 0.197, 0.202, 0.102, 0.12, 0.363]"
84,"[0.102, 0.167, 0.418, 0.383, 0.412, 0.182, 0.112, 0.159, 0.106, 0.38]"
85,"[0.115, 0.12, 0.45, 0.548, 0.383, 0.197, 0.201, 0.104, 0.137, 0.342]"
86,"[0.102, 0.143, 0.351, 0.38, 0.392, 0.179, 0.112, 0.104, 0.137, 0.371]"
87,"[0.128, 0.119, 0.419, 0.528, 0.389, 0.197, 0.202, 0.104, 0.124, 0.376]"
88,"[0.102, 0.121, 0.318, 0.333, 0.39, 0.192, 0.112, 0.104, 0.198, 0.38]"
89,"[0.159, 0.118, 0.377, 0.481, 0.374, 0.198, 0.201, 0.104, 0.133, 0.379]"
90,"[0.102, 0.18, 0.414, 0.428, 0.38, 0.181, 0.109, 0.104, 0.201, 0.365]"
91,"[0.145, 0.115, 0.376, 0.476, 0.387, 0.197, 0.202, 0.105, 0.164, 0.377]"
92,"[0.103, 0.132, 0.387, 0.472, 0.394, 0.192, 0.11, 0.104, 0.157, 0.351]"
93,"[0.106, 0.115, 0.377, 0.467, 0.408, 0.197, 0.199, 0.104, 0.154, 0.365]"
94,"[0.103, 0.126, 0.326, 0.484, 0.396, 0.192, 0.109, 0.104, 0.131, 0.353]"
95,"[0.107, 0.114, 0.38, 0.438, 0.412, 0.197, 0.202, 0.104, 0.147, 0.394]"
96,"[0.102, 0.114, 0.302, 0.506, 0.392, 0.194, 0.109, 0.104, 0.189, 0.363]"
97,"[0.161, 0.114, 0.401, 0.472, 0.414, 0.198, 0.201, 0.104, 0.174, 0.402]"
98,"[0.103, 0.178, 0.254, 0.454, 0.402, 0.193, 0.109, 0.113, 0.218, 0.381]"
99,"[0.193, 0.115, 0.446, 0.501, 0.411, 0.201, 0.201, 0.104, 0.165, 0.403]"
