eigenvector_centrality,"[0, 2]"
20,"[0.10972568578553615, 0.135, 0.0975, 0.085, 0.1625, 0.1, 0.11, 0.17, 0.21, 0.2, 0.1075, 0.1175, 0.095, 0.2225, 0.12, 0.0775, 0.255, 0.0725, 0.13, 0.08, 0.1075, 0.09, 0.1025, 0.0875, 0.13533834586466165]"
21,"[0.11970074812967581, 0.0775, 0.075, 0.0925, 0.0825, 0.23, 0.185, 0.0925, 0.1175, 0.11, 0.1125, 0.09, 0.105, 0.0875, 0.105, 0.1325, 0.09, 0.185, 0.1175, 0.12, 0.0825, 0.08, 0.1675, 0.0875, 0.12280701754385964]"
22,"[0.1172069825436409, 0.135, 0.0975, 0.085, 0.16, 0.1, 0.11, 0.0975, 0.26, 0.25, 0.1075, 0.1175, 0.095, 0.2225, 0.12, 0.0775, 0.2475, 0.0725, 0.1075, 0.08, 0.1075, 0.09, 0.1025, 0.0875, 0.10275689223057644]"
23,"[0.11970074812967581, 0.0775, 0.075, 0.0925, 0.0825, 0.23, 0.23, 0.0925, 0.135, 0.11, 0.1125, 0.09, 0.205, 0.0875, 0.105, 0.12, 0.09, 0.2075, 0.1175, 0.12, 0.0825, 0.145, 0.145, 0.1225, 0.12280701754385964]"
24,"[0.10972568578553615, 0.135, 0.0975, 0.085, 0.145, 0.1, 0.11, 0.0975, 0.2575, 0.1725, 0.1075, 0.1175, 0.095, 0.2225, 0.12, 0.0775, 0.23, 0.0725, 0.1125, 0.08, 0.1075, 0.09, 0.1025, 0.0875, 0.10275689223057644]"
25,"[0.11970074812967581, 0.0775, 0.075, 0.0925, 0.0825, 0.2275, 0.255, 0.0925, 0.285, 0.11, 0.1125, 0.155, 0.1075, 0.0875, 0.12, 0.1175, 0.09, 0.21, 0.1175, 0.125, 0.0825, 0.175, 0.0925, 0.12, 0.12280701754385964]"
26,"[0.0798004987531172, 0.145, 0.0975, 0.085, 0.115, 0.1, 0.11, 0.0975, 0.2575, 0.145, 0.1075, 0.1175, 0.095, 0.2225, 0.12, 0.0775, 0.2325, 0.0725, 0.1175, 0.08, 0.1075, 0.09, 0.1025, 0.1025, 0.10275689223057644]"
27,"[0.11970074812967581, 0.0775, 0.075, 0.0925, 0.0825, 0.1375, 0.125, 0.0925, 0.1525, 0.11, 0.1125, 0.1325, 0.1075, 0.0875, 0.0875, 0.1175, 0.09, 0.21, 0.1175, 0.1125, 0.115, 0.1025, 0.0775, 0.12, 0.12280701754385964]"
28,"[0.0798004987531172, 0.155, 0.0975, 0.2325, 0.1025, 0.1, 0.11, 0.0975, 0.18, 0.0925, 0.1075, 0.1175, 0.095, 0.12, 0.12, 0.085, 0.11, 0.0725, 0.1125, 0.08, 0.1075, 0.09, 0.1025, 0.095, 0.10275689223057644]"
29,"[0.11970074812967581, 0.0775, 0.075, 0.0925, 0.0825, 0.1275, 0.125, 0.0925, 0.105, 0.11, 0.1125, 0.1725, 0.115, 0.0875, 0.0875, 0.1175, 0.15, 0.22, 0.1175, 0.1125, 0.145, 0.105, 0.13, 0.12, 0.12030075187969924]"
30,"[0.0798004987531172, 0.215, 0.0975, 0.21, 0.085, 0.1, 0.11, 0.0975, 0.18, 0.0925, 0.1075, 0.1175, 0.095, 0.0775, 0.12, 0.0975, 0.1025, 0.0725, 0.1125, 0.08, 0.1075, 0.09, 0.225, 0.1025, 0.10275689223057644]"
31,"[0.11970074812967581, 0.0775, 0.075, 0.0925, 0.0825, 0.1025, 0.1075, 0.0925, 0.105, 0.11, 0.17, 0.15, 0.125, 0.0875, 0.0875, 0.115, 0.17, 0.205, 0.1175, 0.1125, 0.11, 0.105, 0.12, 0.12, 0.10275689223057644]"
32,"[0.0798004987531172, 0.22, 0.0975, 0.11, 0.0825, 0.1, 0.15, 0.14, 0.2475, 0.0925, 0.1075, 0.1175, 0.095, 0.0775, 0.12, 0.0975, 0.1025, 0.0725, 0.1125, 0.08, 0.115, 0.09, 0.115, 0.1375, 0.19298245614035087]"
33,"[0.11970074812967581, 0.0775, 0.08, 0.1775, 0.0825, 0.1025, 0.1075, 0.095, 0.105, 0.11, 0.0925, 0.0875, 0.18, 0.0875, 0.0875, 0.1125, 0.1025, 0.1625, 0.1175, 0.1125, 0.095, 0.105, 0.1, 0.105, 0.10275689223057644]"
