none,[]
18,"[0.3374248120300752, 0.4825, 0.1775, 0.2625, 0.2825, 0.4325, 0.3775, 0.2175, 0.1125, 0.2775, 0.3625, 0.3374248120300752, 0.4825, 0.3374248120300752, 0.3625, 0.3725, 0.48, 0.4325, 0.29, 0.3374248120300752, 0.3374248120300752, 0.2725, 0.325, 0.3475, 0.39849624060150374]"
19,"[0.34941228070175434, 0.31, 0.355, 0.325, 0.4, 0.2475, 0.4125, 0.34, 0.385, 0.325, 0.4625, 0.34941228070175434, 0.5125, 0.34941228070175434, 0.3125, 0.3175, 0.325, 0.385, 0.125, 0.34941228070175434, 0.34941228070175434, 0.3125, 0.4125, 0.425, 0.2982456140350877]"
20,"[0.33893107769423564, 0.525, 0.1975, 0.3125, 0.2825, 0.345, 0.375, 0.2175, 0.1125, 0.225, 0.3, 0.33893107769423564, 0.465, 0.33893107769423564, 0.365, 0.4225, 0.4775, 0.45, 0.285, 0.33893107769423564, 0.33893107769423564, 0.2925, 0.3025, 0.3775, 0.44862155388471175]"
21,"[0.3506635338345864, 0.3125, 0.3875, 0.3, 0.4175, 0.2425, 0.4475, 0.335, 0.335, 0.2625, 0.4, 0.3506635338345864, 0.53, 0.3506635338345864, 0.315, 0.2875, 0.345, 0.4, 0.2025, 0.3506635338345864, 0.3506635338345864, 0.305, 0.4375, 0.4425, 0.3082706766917293]"
22,"[0.3446817042606515, 0.51, 0.2675, 0.35, 0.2925, 0.3, 0.445, 0.24, 0.1125, 0.195, 0.3, 0.3446817042606515, 0.49, 0.3446817042606515, 0.3575, 0.465, 0.4975, 0.4375, 0.2475, 0.3446817042606515, 0.3446817042606515, 0.2875, 0.265, 0.38, 0.45363408521303256]"
23,"[0.3642916666666667, 0.41, 0.3575, 0.265, 0.4525, 0.255, 0.435, 0.3475, 0.3775, 0.315, 0.36, 0.3642916666666667, 0.55, 0.3642916666666667, 0.3175, 0.2475, 0.3775, 0.4325, 0.245, 0.3642916666666667, 0.3642916666666667, 0.3175, 0.4275, 0.4625, 0.3333333333333333]"
24,"[0.3481776315789474, 0.465, 0.3475, 0.395, 0.3225, 0.235, 0.4725, 0.2675, 0.1125, 0.1925, 0.225, 0.3481776315789474, 0.4975, 0.3481776315789474, 0.355, 0.52, 0.53, 0.425, 0.2325, 0.3481776315789474, 0.3481776315789474, 0.29, 0.2625, 0.395, 0.42105263157894735]"
25,"[0.3626676065162907, 0.275, 0.365, 0.26, 0.4525, 0.2675, 0.4625, 0.34, 0.335, 0.3575, 0.39, 0.3626676065162907, 0.5425, 0.3626676065162907, 0.3175, 0.2725, 0.385, 0.425, 0.24, 0.3626676065162907, 0.3626676065162907, 0.3175, 0.43, 0.4775, 0.3408521303258145]"
26,"[0.3371741854636592, 0.38, 0.375, 0.3575, 0.33, 0.24, 0.4975, 0.35, 0.1125, 0.1125, 0.155, 0.3371741854636592, 0.5075, 0.3371741854636592, 0.3575, 0.44, 0.5425, 0.405, 0.2, 0.3371741854636592, 0.3371741854636592, 0.31, 0.2725, 0.405, 0.39348370927318294]"
27,"[0.3616676065162908, 0.14, 0.3925, 0.215, 0.445, 0.2775, 0.465, 0.435, 0.3525, 0.3, 0.36, 0.3616676065162908, 0.53, 0.3616676065162908, 0.315, 0.3325, 0.4325, 0.465, 0.225, 0.3616676065162908, 0.3616676065162908, 0.315, 0.4225, 0.4725, 0.3408521303258145]"
28,"[0.35442575187969927, 0.3875, 0.3375, 0.37, 0.38, 0.2825, 0.535, 0.3725, 0.1125, 0.1125, 0.2775, 0.35442575187969927, 0.505, 0.35442575187969927, 0.3625, 0.3375, 0.5075, 0.4775, 0.225, 0.35442575187969927, 0.35442575187969927, 0.3375, 0.3, 0.4625, 0.40601503759398494]"
29,"[0.3566691729323309, 0.14, 0.34, 0.1425, 0.435, 0.43, 0.4925, 0.4475, 0.3375, 0.3175, 0.3225, 0.3566691729323309, 0.4975, 0.3566691729323309, 0.315, 0.16, 0.445, 0.5325, 0.23, 0.3566691729323309, 0.3566691729323309, 0.315, 0.445, 0.435, 0.3533834586466165]"
30,"[0.37280419799498754, 0.42, 0.3575, 0.3425, 0.3775, 0.3225, 0.5575, 0.4375, 0.1125, 0.2075, 0.285, 0.37280419799498754, 0.5225, 0.37280419799498754, 0.385, 0.275, 0.4475, 0.53, 0.325, 0.37280419799498754, 0.37280419799498754, 0.3525, 0.32, 0.445, 0.43358395989974935]"
31,"[0.3601713659147869, 0.1525, 0.315, 0.255, 0.4225, 0.4325, 0.5175, 0.4275, 0.3625, 0.2675, 0.3225, 0.3601713659147869, 0.5025, 0.3601713659147869, 0.3125, 0.1025, 0.4175, 0.5325, 0.3, 0.3601713659147869, 0.3601713659147869, 0.325, 0.4325, 0.4325, 0.37092731829573933]"
32,"[0.382549185463659, 0.4375, 0.395, 0.325, 0.35, 0.44, 0.58, 0.49, 0.1125, 0.21, 0.18, 0.382549185463659, 0.5175, 0.382549185463659, 0.38, 0.265, 0.425, 0.48, 0.3625, 0.382549185463659, 0.382549185463659, 0.4075, 0.475, 0.425, 0.39348370927318294]"
