eigenvector_centrality,[3 5 6 7]
10,"[tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1')]"
11,"[tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1')]"
12,"[tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0045, device='cuda:1')]"
13,"[tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1')]"
14,"[tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0045, device='cuda:1')]"
15,"[tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1')]"
16,"[tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1')]"
17,"[tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1')]"
18,"[tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0044, device='cuda:1')]"
19,"[tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1')]"
20,"[tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0044, device='cuda:1')]"
21,"[tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0044, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1')]"
22,"[tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1')]"
23,"[tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1')]"
24,"[tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0042, device='cuda:1'), tensor(0.0040, device='cuda:1'), tensor(0.0043, device='cuda:1'), tensor(0.0041, device='cuda:1'), tensor(0.0043, device='cuda:1')]"
