betweeness_centrality,[ 0  1  3 13]
10,"[tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
11,"[tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1')]"
12,"[tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
13,"[tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
14,"[tensor(0.0047, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0053, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0047, device='cuda:1')]"
15,"[tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0052, device='cuda:1'), tensor(0.0052, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
16,"[tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0055, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0053, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0048, device='cuda:1')]"
17,"[tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0056, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0052, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0048, device='cuda:1')]"
18,"[tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0055, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0054, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0048, device='cuda:1')]"
19,"[tensor(0.0048, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0058, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0050, device='cuda:1')]"
20,"[tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0054, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1')]"
21,"[tensor(0.0051, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0052, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0050, device='cuda:1')]"
22,"[tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0053, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0052, device='cuda:1'), tensor(0.0055, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1')]"
23,"[tensor(0.0052, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0045, device='cuda:1'), tensor(0.0051, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0048, device='cuda:1'), tensor(0.0050, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0047, device='cuda:1'), tensor(0.0046, device='cuda:1'), tensor(0.0049, device='cuda:1'), tensor(0.0054, device='cuda:1'), tensor(0.0049, device='cuda:1')]"
