out_deg_centrality,[8.]
0,"[0.102, 0.091, 0.109, 0.105, 0.112, 0.102, 0.102, 0.215, 0.1, 0.149]"
1,"[0.116, 0.093, 0.087, 0.105, 0.094, 0.101, 0.092, 0.089, 0.104, 0.101]"
2,"[0.204, 0.093, 0.145, 0.105, 0.112, 0.095, 0.103, 0.113, 0.099, 0.155]"
3,"[0.229, 0.164, 0.087, 0.199, 0.1, 0.102, 0.198, 0.089, 0.178, 0.146]"
4,"[0.198, 0.259, 0.145, 0.189, 0.17, 0.143, 0.296, 0.098, 0.265, 0.205]"
5,"[0.281, 0.175, 0.223, 0.239, 0.1, 0.105, 0.125, 0.292, 0.23, 0.226]"
6,"[0.25, 0.391, 0.233, 0.151, 0.238, 0.182, 0.342, 0.239, 0.363, 0.139]"
7,"[0.424, 0.315, 0.317, 0.393, 0.172, 0.202, 0.246, 0.228, 0.265, 0.349]"
8,"[0.426, 0.421, 0.29, 0.273, 0.234, 0.256, 0.34, 0.143, 0.409, 0.153]"
9,"[0.436, 0.359, 0.33, 0.415, 0.379, 0.188, 0.301, 0.304, 0.287, 0.311]"
10,"[0.518, 0.515, 0.342, 0.421, 0.321, 0.293, 0.418, 0.164, 0.38, 0.195]"
11,"[0.43, 0.522, 0.292, 0.29, 0.343, 0.196, 0.389, 0.331, 0.276, 0.343]"
12,"[0.458, 0.425, 0.414, 0.366, 0.21, 0.338, 0.462, 0.208, 0.271, 0.246]"
13,"[0.318, 0.522, 0.223, 0.168, 0.286, 0.149, 0.446, 0.259, 0.333, 0.324]"
14,"[0.423, 0.387, 0.341, 0.328, 0.164, 0.318, 0.424, 0.333, 0.136, 0.314]"
15,"[0.32, 0.432, 0.205, 0.22, 0.307, 0.329, 0.423, 0.117, 0.337, 0.186]"
16,"[0.409, 0.342, 0.417, 0.388, 0.171, 0.142, 0.305, 0.287, 0.145, 0.353]"
17,"[0.36, 0.413, 0.241, 0.347, 0.364, 0.329, 0.431, 0.197, 0.309, 0.193]"
18,"[0.395, 0.32, 0.4, 0.275, 0.209, 0.215, 0.358, 0.312, 0.301, 0.291]"
19,"[0.383, 0.433, 0.267, 0.426, 0.388, 0.29, 0.449, 0.241, 0.305, 0.307]"
20,"[0.394, 0.306, 0.399, 0.204, 0.263, 0.234, 0.398, 0.314, 0.359, 0.295]"
21,"[0.366, 0.437, 0.283, 0.41, 0.416, 0.297, 0.462, 0.31, 0.32, 0.35]"
22,"[0.411, 0.326, 0.387, 0.284, 0.353, 0.284, 0.411, 0.299, 0.376, 0.29]"
23,"[0.354, 0.44, 0.353, 0.387, 0.493, 0.294, 0.489, 0.347, 0.328, 0.348]"
24,"[0.429, 0.36, 0.383, 0.348, 0.395, 0.33, 0.412, 0.316, 0.382, 0.303]"
25,"[0.359, 0.401, 0.362, 0.34, 0.538, 0.29, 0.453, 0.35, 0.338, 0.332]"
26,"[0.468, 0.377, 0.406, 0.362, 0.402, 0.349, 0.396, 0.323, 0.376, 0.327]"
27,"[0.38, 0.473, 0.368, 0.364, 0.526, 0.297, 0.524, 0.348, 0.402, 0.327]"
28,"[0.494, 0.423, 0.401, 0.374, 0.415, 0.351, 0.471, 0.391, 0.372, 0.404]"
29,"[0.366, 0.492, 0.354, 0.375, 0.515, 0.336, 0.503, 0.312, 0.4, 0.304]"
30,"[0.481, 0.394, 0.394, 0.375, 0.426, 0.317, 0.45, 0.397, 0.367, 0.422]"
31,"[0.36, 0.475, 0.353, 0.406, 0.506, 0.359, 0.485, 0.323, 0.386, 0.291]"
32,"[0.452, 0.416, 0.388, 0.368, 0.452, 0.316, 0.459, 0.402, 0.359, 0.416]"
33,"[0.359, 0.472, 0.355, 0.409, 0.509, 0.368, 0.476, 0.342, 0.369, 0.288]"
34,"[0.463, 0.429, 0.387, 0.352, 0.441, 0.317, 0.43, 0.406, 0.365, 0.434]"
35,"[0.366, 0.471, 0.363, 0.414, 0.491, 0.381, 0.47, 0.35, 0.361, 0.29]"
36,"[0.475, 0.438, 0.371, 0.35, 0.437, 0.329, 0.419, 0.384, 0.361, 0.424]"
37,"[0.387, 0.469, 0.371, 0.412, 0.457, 0.368, 0.497, 0.362, 0.369, 0.291]"
38,"[0.474, 0.435, 0.392, 0.347, 0.449, 0.333, 0.42, 0.395, 0.383, 0.421]"
39,"[0.391, 0.506, 0.374, 0.402, 0.482, 0.364, 0.492, 0.374, 0.357, 0.286]"
40,"[0.436, 0.433, 0.373, 0.352, 0.439, 0.34, 0.43, 0.376, 0.359, 0.371]"
41,"[0.375, 0.497, 0.353, 0.389, 0.481, 0.362, 0.498, 0.362, 0.354, 0.293]"
42,"[0.442, 0.448, 0.355, 0.347, 0.419, 0.335, 0.431, 0.366, 0.359, 0.35]"
43,"[0.393, 0.509, 0.363, 0.357, 0.5, 0.355, 0.478, 0.348, 0.345, 0.293]"
44,"[0.458, 0.48, 0.352, 0.355, 0.399, 0.313, 0.419, 0.365, 0.357, 0.348]"
45,"[0.435, 0.527, 0.366, 0.353, 0.524, 0.35, 0.463, 0.351, 0.37, 0.304]"
46,"[0.479, 0.56, 0.358, 0.367, 0.411, 0.287, 0.429, 0.382, 0.365, 0.361]"
47,"[0.424, 0.519, 0.365, 0.382, 0.551, 0.338, 0.451, 0.36, 0.393, 0.319]"
48,"[0.526, 0.56, 0.392, 0.398, 0.447, 0.289, 0.45, 0.392, 0.364, 0.394]"
49,"[0.435, 0.532, 0.365, 0.382, 0.55, 0.361, 0.457, 0.355, 0.405, 0.325]"
50,"[0.517, 0.56, 0.408, 0.403, 0.466, 0.276, 0.478, 0.402, 0.359, 0.415]"
51,"[0.436, 0.542, 0.373, 0.381, 0.538, 0.372, 0.489, 0.338, 0.417, 0.325]"
52,"[0.51, 0.542, 0.403, 0.401, 0.474, 0.276, 0.483, 0.419, 0.37, 0.431]"
53,"[0.457, 0.545, 0.375, 0.386, 0.522, 0.38, 0.503, 0.348, 0.442, 0.327]"
