out_deg_centrality,[8.]
10,"[tensor(2.1032), tensor(2.0980), tensor(2.1502), tensor(2.1375), tensor(2.1583), tensor(2.2212), tensor(2.1354), tensor(2.1584), tensor(2.1184), tensor(2.1219)]"
11,"[tensor(2.0633), tensor(2.0588), tensor(2.1216), tensor(2.0998), tensor(2.1731), tensor(2.1604), tensor(2.0834), tensor(2.1470), tensor(2.0806), tensor(2.0859)]"
12,"[tensor(2.0362), tensor(2.0059), tensor(2.1136), tensor(2.1171), tensor(2.1415), tensor(2.1428), tensor(2.0602), tensor(2.0925), tensor(2.0520), tensor(2.0496)]"
13,"[tensor(2.0266), tensor(1.9984), tensor(2.0889), tensor(2.0722), tensor(2.1496), tensor(2.0952), tensor(2.0073), tensor(2.0999), tensor(2.0580), tensor(2.0272)]"
14,"[tensor(2.0280), tensor(1.9708), tensor(2.1057), tensor(2.1232), tensor(2.0935), tensor(2.0925), tensor(2.0001), tensor(2.0959), tensor(2.0433), tensor(2.0314)]"
15,"[tensor(2.0104), tensor(2.0219), tensor(2.0693), tensor(2.0407), tensor(2.1157), tensor(2.0912), tensor(1.9933), tensor(2.0740), tensor(2.0830), tensor(2.0306)]"
16,"[tensor(2.0201), tensor(1.9734), tensor(2.0807), tensor(2.0926), tensor(2.0561), tensor(2.0658), tensor(1.9816), tensor(2.1139), tensor(2.0402), tensor(2.0746)]"
17,"[tensor(2.0032), tensor(2.0256), tensor(2.0608), tensor(2.0418), tensor(2.0745), tensor(2.1141), tensor(2.0109), tensor(2.0533), tensor(2.0793), tensor(2.0350)]"
18,"[tensor(2.0220), tensor(1.9751), tensor(2.0638), tensor(2.0703), tensor(2.0366), tensor(2.0468), tensor(1.9963), tensor(2.0987), tensor(2.0293), tensor(2.0738)]"
19,"[tensor(1.9917), tensor(2.0097), tensor(2.0482), tensor(2.0584), tensor(2.0565), tensor(2.1023), tensor(1.9937), tensor(2.0295), tensor(2.0687), tensor(2.0169)]"
20,"[tensor(2.0123), tensor(1.9647), tensor(2.0567), tensor(2.0504), tensor(2.0209), tensor(2.0280), tensor(1.9833), tensor(2.0840), tensor(2.0105), tensor(2.0659)]"
21,"[tensor(1.9753), tensor(1.9851), tensor(2.0294), tensor(2.0583), tensor(2.0394), tensor(2.0886), tensor(1.9739), tensor(2.0090), tensor(2.0530), tensor(1.9940)]"
22,"[tensor(1.9927), tensor(1.9470), tensor(2.0447), tensor(2.0260), tensor(2.0041), tensor(2.0069), tensor(1.9621), tensor(2.0711), tensor(1.9854), tensor(2.0530)]"
23,"[tensor(1.9585), tensor(1.9695), tensor(2.0126), tensor(2.0451), tensor(2.0221), tensor(2.0742), tensor(1.9603), tensor(1.9877), tensor(2.0361), tensor(1.9704)]"
24,"[tensor(1.9771), tensor(1.9285), tensor(2.0263), tensor(2.0037), tensor(1.9898), tensor(1.9874), tensor(1.9414), tensor(2.0573), tensor(1.9627), tensor(2.0383)]"
25,"[tensor(1.9399), tensor(1.9542), tensor(1.9926), tensor(2.0317), tensor(2.0038), tensor(2.0565), tensor(1.9556), tensor(1.9671), tensor(2.0217), tensor(1.9502)]"
